article,ProblemeLocalisation ?
DT71-00154,"commune de Sainte-Foy, affluent de droite du Merdasson.","commune de Ste-Foy         , affluent de droite du Merdasson."
DT71-00193,commune de Barnay.,commune de Bernay         .
DT71-00820,commune de Saint-Romain-sous-Gourdon.,commune de Saint-Rémy-sous-Gourdon         .
DT71-00994,commune de Sainte-Cécile.,commune de Saint-Cécile         .
DT71-01105,commune de Laizy.,commune de Iaizy         .
DT71-01143,"commune de Saint-Amour, pénètre en Saône-et-Loire sur le territoire de Condal et dans cette commune se jette dans le Solnan, rive gauche.","commune de Saint-Amour)         , pénètre en Saône-et-Loire sur le territoire de Condal et dans cette commune se jette dans le Solnan, rive gauche."
DT71-01394,commune de Mary.,commune de Mary-domus de Bosco         .
DT71-01443,commune de Sainte-Cécile.,commune de Saint-Cécile         .
DT71-02875,commune de Sainte-Foy.,commune de Ste-Foy         .
DT71-04960,commune de Saint-Maurice-lès-Châteauneuf.,commune de Saint-Martin-lès-Châteauneuf         .
DT71-05825,communes de Branges et de Savigny-sur-Seille.,communes de Branges et de Savigny-sur-Seile.
DT71-05844,"communes de Fleury-la-Montagne, Mailly et Saint-Bonnet-de-Cray.","communes de Fleury-la-Montagne, Mailly et Saint-Bonne-de-Cray."
DT71-05905,"Saint-Vallerin, passe par Jully-lès-Buxy, Saint Germain-lès-Buxy, La Charmée, fait limite entre Saint Remy et Sevrey et finit son cours sous le nom de roie de Droux.","Saint Vallerin, passe par Jully-lès-Buxy, Saint Germain-lès-Buxy, La Charmée, fait limite entre Saint Remy et Sevrey et finit son cours sous le nom de roie de Droux."
DT71-06446,commune de Ciry-le-Noble.,commune de Giry-le-Noble         .
DT71-06584,commune de Charbonnat.,commune de Charonnat         .
DT71-06664,commune d’Authumes.,commune d'Anthumes         .
DT71-06767,"communes de Demigny, Fontaines, Gergy et Saint-Gervais-en-Vallière.","communes de Demigny, Fontaines, Gergy et Saint Gervais-en-Vallière."
DT71-06792,commune de Vitry-sur-Loire.,commune de Vitry-sur-loire         .
DT71-11022,communes de Charnay-lès-Mâcon et de Prissé.,communes de Chanay-lès-Mâcon et de Prissé.
DT71-11131,commune de Charnay-lès-Mâcon.,commune de Charay-lès-Mâcon         .
DT71-11423,commune de Sainte-Croix.,commune de Ste-Croix         .
DT71-11495,commune de Sainte-Croix.,commune de Ste-Croix         .
DT71-11527,commune de Sainte-Radegonde.,commune de Ste-Radegonde         .
DT71-11600,commune de Sainte-Cécile.,commune de Ste-Cécile         .
DT71-11608,commune de Sainte-Croix.,commune de Ste-Croix         .
DT71-11716,commune de Sainte-Hélène.,commune de Ste-Hélène         .
DT71-11945,commune de Bissy-la-Mâconnaise.,commune de Bissy-le-Mâconnaise         .
DT71-12052,commune de Sainte-Radegonde.,commune de Ste-Radegonde         .
DT71-13768,commune de Sanvignes.,commune de Sauvignes         .
DT71-15181,"communes de Malay, Saint-Gengoux-le-National et Sercy.","communes de Malay, Saint-Gengoux-le-national et Sercy."
DT71-15387,commune de Charnay-lès-Mâcon.,commune de Chanay-lès-Mâcon         .
DT71-16774,commune de Bresse-sur-Grosne.,commune de Bresse-sous-Grosne         .
DT71-17113,"commune de Sainte-Cécile, anc. station des lignes de Moulins à Mâcon et de Roanne à Chalon-sur-Saône.","commune de Ste-Cécile         , anc. station des lignes de Moulins à Mâcon et de Roanne à Chalon-sur-Saône."
DT71-17587,commune de Gueugnon.,commune de Geugnon         .
DT71-17722,commune de Cussy-en-Morvan.,commune de Sussy-en-Morvan         .
DT71-17825,commune de Morlet.,commune de Moelet         .
DT71-17891,commune de Saint-Jean-de-Vaux.,commune de Saint-Jean-de-Vieux         .
DT71-18396,commune de Sainte-Radegonde.,commune de Ste-Radegonde         .
DT71-18421,commune d’Huilly-sur-Seille.,commune d'Huilly-sur-Saône         .
DT71-18569,commune de Sainte-Hélène.,commune de Ste-Hélène         .
DT71-18583,commune de Charnay-lès-Mâcon.,commune de Chanay-lès-Mâcon         .
DT71-18861,commune de Sainte-Croix.,commune de Ste-Croix         .
DT71-18863,commune de Sainte-Hélène.,commune de Ste-Hélène         .
DT71-18944,communes de Bruailles et de Sainte-Croix.,communes de Bruailles et de Ste-Croix.
DT71-19178,communes de Condal et de Dommartin-lès-Cuiseaux.,communes de Condal et de Dommartin-lès-Cuisezux.
DT71-19195,commune de Chaudenay.,commune de Chaussenay         .
DT71-19794,communes de Barisey et de Châtel-Moron.,communes de Barise et de Châtel-Moron.
DT71-19813,commune de Frontenard.,commune de Fontenard         .
