Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT60-00342		Audignicourt	Non		C’est Audignicourt qu’il faut identifier, 02034
DT60-01732		Retheuil	Non		C’est Retheuil qu’il faut identifier, 02644
DT60-00435		Aux-Marais	60703		Non identifié (art. DT60-00130)
DT60-00586		Aux-Marais	60703		
DT60-03251		Babœuf	60037		! pb de segmentation avec oe
DT60-02621		Bonnières.	60084		
DT60-02547		Bourlers			Commune en Belgique !
DT60-02986		Braines	60099		
DT60-01202		Chiry-Ourscamp	60150		
DT60-01249		Compainville	76185		
DT60-00389		Compiègne-nord	60159		
DT60-00932		Compiègne-nord	60159		
DT60-00950		Compiègne-nord	60159		
DT60-01913		Compiègne-nord	60159		
DT60-02166		Compiègne-nord	60159		
DT60-01139		Compiègne-sud	60159		
DT60-01919		Compiègne-sud	60159		
DT60-01923		Compiègne-sud	60159		
DT60-02258		Compiègne-sud	60159		
DT60-03259		Compiègne-sud	60159		
DT60-03343		Compiègne-sud	60159		
DT60-03703		Compiègne-sud	60159		
DT60-03746		Compiègne-sud	60159		
DT60-00991		Coye	60172		
DT60-02510		Creil-Nogent-sur-Oise	Non		
DT60-03787		Creil-Nogent-sur-Oise	Non		
DT60-00931		Cuts.	60189		
DT60-03065		Evêque	60316		!! Pb de segmentation
DT60-00780		Hodenc-l'Évêque	60316		!! Pb de segmentation
DT60-01584		Gueux	Non		
DT60-00297		Halloy	60295		
DT60-02674		Halloy	60295		
DT60-00780		Hodenc-l	60316		!! Pb de segmentation
DT60-01893		Juvigny	02398		
DT60-00885		Laigue	Non		
DT60-01259		Laigue	Non		
DT60-02973		Laigue	Non		
DT60-03293		Laigue	Non		
DT60-03425		Laigue	Non		
DT60-01291		Milly-sur-Thérain.	60403		
DT60-00556		Montigny-Lengrain	02514		
DT60-03663		Retheuil	02644		
DT60-02583		Riz	Non		
DT60-03750		Roy-Roissy	60557	Roy-Boissy	
DT60-02889		Russy-Rémont	60561	Russy-Bémont	
DT60-01735		Saint-Crépin-Houvillers	60570	Saint-Crépin-Ibouvillers	
DT60-01630		Saint-Martin-le-Nœud	60586		! Segmentation
DT60-02367		Saint-Witz	95580		
DT60-03421		Silly	60620		
DT60-02563		Vallée	Non		
DT60-00122		Villers-Cotterêts	02810		
