article,ProblemeLocalisation ?
DT60-00435,commune d’Aux Marais depuis ,commune d'Aux-Marais depuis 
DT60-00586,commune d’Aux Marais depuis ,commune d'Aux-Marais depuis 
DT60-00608,"vers Maulers, à huit km en amont. La rivière sépare en deux parties un petit massif de collines boisées. Coupure utilisée comme lieu de passage : aujourd’hui RN n° 16 et voie ferrée Paris-Creil-Amiens..","vers Maulers, à huit km en amont. La rivière sépare en deux parties un petit massif de collines boisées"
DT60-00634,"commune de Thieuloy-Saint-Antoine. Autrefois Briostel dépendant de Saint-Maur, comme Thieuloy qui était un hameau de la paroisse de Saint-Maur ",commune de Thieuloy-Saint-Antoine         
DT60-00674,commune d’Énencourt-Léage.,commune d'Enencourt-Léage.
DT60-00761,"Cambronne-lès-Clermont, ","Cambronne-les-Clermont, "
DT60-00761,Gouvieux (hameau important (100 habitants) : les Carrières ,Gouvieux         
DT60-00869,"Étouy, ","Etouy, "
DT60-00878,commune de Saint-Remy-en-l’Eau.,commune de Saint-Rémy-en-l'Eau.
DT60-00931,"commune de Cuts, alt. 155 m.","commune de Cuts., alt. 155 m."
DT60-00942,Villers-Saint-Paul (les cités ouvrières de cette commune comptent aujourd’hui 1 500 habitants.).,Villers-Saint-Paul         
DT60-00973,commune d’Étouy.,commune d'Etouy.
DT60-01154,communes de Candor et d’Écuvilly.,communes de Candor et d'Ecuvilly.
DT60-01244,commune d’Évricourt.,commune d'Evricourt.
DT60-01291,commune de Milly-sur-Thérain.,commune de Milly-sur-Thérain..
DT60-01299,Élencourt.,Elencourt.
DT60-01302,Saint-Pierre-lès-Bitry (la Fabrique ,Saint-Pierre-lès-Bitry         
DT60-01319,commune d’Épineuse. 120 ha.,commune d'Epineuse. 120 ha.
DT60-01353,commune d’Éragny-sur-Epte.,commune d'Eragny-sur-Epte.
DT60-01686,commune d’Étavigny.,commune d'Etavigny.
DT60-01722,commune de Pont-l’Évêque.,commune de Pont-l'Evêque.
DT60-01735,commune de Saint-Crépin-Ibouvillers.,commune de Saint-Crépin-Houvillers.
DT60-01968,commune d’Étouy.,commune d'Etouy.
DT60-02034,commune de Lagny-le-Sec.,commune de Lagny-le-sec.
DT60-02117,commune de Saint-Remy-en-l’Eau.,commune de Saint-Rémy-en-l'Eau.
DT60-02140,Chevrières (le Marais ,Chevrières         
DT60-02140,Montjavoult (les marests ,Montjavoult         
DT60-02184,commune d’Évricourt.,commune d'Evricourt.
DT60-02262,commune de Villers-Saint-Paul.,commune de Villers-saint-Paul.
DT60-02272,"vers Méru ? (Serait identifié vers Montlignon, Val d’Oise ; cf. aujourd’hui le lieu-dit les Mestigers à Montlignon CAD, ",vers Méru ?
DT60-02374,Bonneuil-les-Eaux (ferme de Mon plaisir ,Bonneuil-les-Eaux         
DT60-02374,"Le Coudray-Saint-Germer (aujourd’hui détruit.), ",Le Coudray-Saint-Germer         
DT60-02412,Carlepont (le Mote ,Carlepont         
DT60-02412,Cuise-la-Motte (la mote ,Cuise-la-Motte         
DT60-02412,Porquéricourt (la Motte Ollezy ,Porquéricourt         
DT60-02449,Libermont (les Moulins-de-Cachy ,Libermont         
DT60-02547,commune de Bourlers (Belgique) – sur une inscription (indicateur routier de Macquenoise découvert en ,commune de Bourlers (Belgique)
DT60-02558,commune d’Ève.,commune d'Eve.
DT60-02594,commune de Pont-l’Évêque.,commune de Pont-l'Evêque.
DT60-02619,"Vineuil-Saint-Firmin, … (36 passages à niveau cités par INS, ","Vineuil-Saint-Firmin, …"
DT60-02621,commune de Bonnières.,commune de Bonnières..
DT60-02624,commune d’Éragny-sur-Epte.,commune d'Eragny-sur-Epte.
DT60-02822,commune de Saint-Remy-en-l’Eau.,commune de Saint-Rémy-en-l'Eau.
DT60-02859,commune de Pont-l’Évêque.,commune de Pont-l'Evêque.
DT60-02889,commune de Russy-Bémont.,commune de Russy-Rémont.
DT60-02933,commune de Saint-Remy-en-l’Eau.,commune de Saint-Rémy-en-l'Eau.
DT60-03039,commune d’Énencourt-le-Sec.,commune d'Enencourt-le-Sec.
DT60-03065,commune d’Évêque.,commune d'Hodenc-l'Evêque.
DT60-03193,commune d’Éragny-sur-Epte.,commune d'Eragny-sur-Epte.
DT60-03319,commune d’Étavigny.,commune d'Etavigny.
DT60-03453,"Francières (sucrerie de Francières, aujourd’hui hameau important – 120 habitants), ",Francières         
DT60-03467,commune de Saint-Remy-en-l’Eau.,commune de Saint-Rémy-en-l'Eau.
DT60-03657,commune d’Éragny-sur-Epte.,commune d'Eragny-sur-Epte.
DT60-03700,commune d’Évricourt.,commune d'Evricourt.
DT60-03728,communes de Mont-l’Évêque et de Senlis.,communes de Mont-l'Evêque et de Senlis.
DT60-03750,commune de Roy-Boissy.,commune de Roy-Roissy.
DT60-03767,communes de Pierrefonds et de Saint-Étienne-Roilaye.,communes de Pierrefonds et de Saint-Etienne-Roilaye.
DT60-03815,communes de Fresnes-l’Éguillon et de Fleury.,communes de Fresnes-l'Eguillon et de Fleury.
DT60-03835,commune d’Éragny-sur-Epte.,commune d'Eragny-sur-Epte.
