ID	NomCommune	NomNormalise	NomCanton	INSEE	NCC
DT73-06236	Naves	NAVES	canton de Moûtiers	73187	La Léchère
DT73-06397	Outrechaise	OUTRECHAISE	canton d’Ugines	73303	UGINE
DT73-06648	Petit-Cœur	PETIT-CŒUR	canton de Moûtiers	73187	La Léchère
DT73-07489	Pussy	PUSSY	canton de Moûtiers	73187	La Léchère
DT73-08298	Saint-Laurent-de-la-Côte	SAINT-LAURENT-DE-LA-COTE	canton de Moûtiers	73257	SAINT-MARTIN-DE-BELLEVILLE
DT73-08364	Saint-Rémi	SAINT-REMI	canton de La Chambre	73278	Saint-rémy-de-maurienne
DT73-08371	Saint-Sigismond	SAINT-SIGISMOND	canton d’Albertville	73011	albertville
DT73-08824	Tessens	TESSENS	canton d’Aime	73006	aime
DT73-08902	Thyl	THYL	canton de Saint-Michel	73261	SAINT-MICHEL-DE-MAURIENNE
DT73-09147	Ugines	UGINES	Albertville	73303	UGINE
DT73-09187	Valloires	VALLOIRES	canton de Saint-Michel	73306	VALLOIRE
DT73-09569	Villargerel	VILLARGEREL	canton de Moûtiers	73003	Aigueblanche
DT73-09625	Villette	VILLETTE	canton d’Aime	73006	aime
