article,output6.xml,DT01.xml
DT01-00028,communes réunies d’Abergement-le-Grand et d’Abergement-le-Petit.,communes réunies du Grand et du Petit-Abergement.
DT01-00078,Saint-Benoit-de-Cessieu.,      Saint-Benoît-de-Cessieu.
DT01-00492,commune de Chamfromier.,commune de Champfronier.
DT01-00512,commune d’Abergement-le-Grand.,commune du Grand-Abergement.
DT01-00535,commune de Labalme.,commune de la Balme-Sappel.
DT01-00593,commune de Labalme.,commune de la Balme.
DT01-00776,communes de Lalleyriat et d’Abergement-le-Grand.,communes de Lalleyriat et du Grand-Abergement.
DT01-00777,commune d’Abergement-le-Grand.,commune du Grand-Abergement.
DT01-00893,commune de Labalme.,commune de la Balme-sur-Cerdon.
DT01-00947,"finage de Saint-Sulpice et se réunit au ruisseau de Loëse, sur les confins de","finage de Saint Sulpice et se réunit au ruisseau de Loëse, sur les confins de"
DT01-00948,Bereyziat et se jette dans la Reyssouze à ,      Béreyziat et se jette dans la Reyssouze à 
DT01-00977,commune de Rillieux.,commune de Rilleux.
DT01-01070,commune de Saint-Olive.,commune de Sainte-Olive.
DT01-02116,Saint-Benoit-de-Cessieu.,      Saint-Benoît-de-Cessieu.
DT01-02154,Chatillon-sur-Chalaronne.,      Châtillon-sur-Chalaronne.
DT01-02709,commune de Labalme.,commune de La Balme.
DT01-02791,commune de Saint-Denis-le-Chosson.,commune de Saint Denis-le-Chausson.
DT01-02860,Brenod.,      Brénod.
DT01-02938,commune de Vieu-d’Izenave.,commune de Vieu-d'Yzenave.
DT01-03073,Montreal.,Montréal.
DT01-03151,commune de Vieu-d’Izenave.,commune de Vieu-d'Yzenave.
DT01-03233,entre Lagnieu et Saint-Rambert.,entre Lagnieu et Saint Rambert.
DT01-03246,commune de Saint-Olive.,commune de Sainte-Olive.
DT01-03420,commune de Marboz.,commune de Marloz.
DT01-03438,Chanoz-Chatenay.,      Chanoz-Châtenay.
DT01-03461,commune de Montcet.,commune de Montcey.
DT01-03493,Nievroz.,Niévroz.
DT01-03565,commune d’Abergement-le-Grand.,commune du Grand-Abergement.
DT01-03696,commune de Mantenay-Montlin.,commune de Montenay.
DT01-03815,commune de Labalme.,commune de La Balme-Sappel.
DT01-03856,canton de Seyssel.,canton de Sesysel.
DT01-03947,commune d’Ambronay.,commune d'Ambronnay.
DT01-03976,commune de Saint-Olive.,commune de Sainte-Olive.
DT01-04013,commune d’Abergement-le-Grand.,commune du Grand-Abergement.
DT01-04279,commune d’Abergement-le-Grand.,commune du Grand-Abergement.
