article,output6.xml,DT01.xml
DT01-04412,commune de Saint-Olive.,commune de Sainte-Olive.
DT01-04463,commune de Saint-Olive.,commune de Sainte-Olive.
DT01-04466,commune de Condamine-la-Doye.,commune de Coudamine-la-Doye.
DT01-04510,commune de Villette.,commune de Vilette.
DT01-04549,commune de Nattages.,commune de Parves-Nattage.
DT01-04575,commune de Saint-Olive.,commune de Sainte-Olive.
DT01-05651,Saint-Andre-d'Huiriat.,      Saint-André-d'Huiriat.
DT01-05761,commune de Mantenay-Montlin.,commune de Montlin.
DT01-05805,Sainte-Euphemie.,      Sainte-Euphémie.
DT01-06176,commune de Mantenay-Montlin.,commune de Montenay-Montlin.
DT01-06367,Trevoux.,      Trévoux.
DT01-06373,commune d’Abergement-le-Grand.,commune du Grand-Abergement.
DT01-06491,Bage-le-Chatel.,      Bâgé-le-Châtel.
DT01-06691,commune d’Abergement-le-Grand.,commune du Grand-Abergement.
DT01-06910,commune de Vieu-d’Izenave.,commune de Vieux-d'Izenave.
DT01-07044,Ceyzeriat.,Ceyzériat.
DT01-07283,commune d’Abergement-le-Grand.,commune du Grand-Abergement.
DT01-07502,commune de Reyrieux.,commune de Neyrieux.
DT01-07535,commune de Montcet.,commune de Moncet.
DT01-07576,commune d’Ambronay.,commune d'Amb[r]onay.
DT01-07589,Saint-Andre-d'Huiriat.,            Saint-André-d'Huiriat.
DT01-07768,Brenod.,            Brénod.
DT01-07822,commune d’Abergement-le-Grand.,commune du Grand-Abergement.
DT01-07857,commune de Montcet.,commune de Moncey.
DT01-08346,Chapelle-du-Chatelard.,            Chapelle-du-Châtelard.
DT01-08662,commune d’Abergement-le-Grand.,commune du Grand-Abergement.
DT01-08672,Saint-Maurice-de-Remens.,            Saint-Maurice-de-Rémens.
DT01-08847,commune de Virignin.,commune de Virginin.
DT01-08922,commune de Saint-Olive.,commune de Sainte-Olive.
DT01-09074,"Miribel, 362Mionnay, Saint-André-de-Corcy, Saint-Marcel, la Peyrouse, Villars, Marlieux, Saint-Paul-de-Varax, Servas, Péronnas, Bourg, Viriat, Saint-Étienne-du-Bois, Bény, Villemotier, Salavre, Coligny et pénètre dans le ","Miribel, 362Mionnay, Saint-André de Corcy, Saint-Marcel, la Peyrouse, Villars, Marlieux, Saint-Paul-de-Varax, Servas, Péronnas, Bourg, Viriat, Saint-Étienne-du-Bois, Bény, Villemotier, Salavre, Coligny et pénètre dans le "
DT01-09076,"Bregnier-Cordon, passe à ","Brégnier-Cordon, passe à "
DT01-09141,communes de Labalme et de Cerdon.,communes de la Balme et de Cerdon.
DT01-09311,commune de Parves.,commune de Parves-Nattage.
DT01-09342,commune de Parves.,commune de Parves-Nattage.
DT01-09355,Perouges.,            Pérouges.
DT01-09409,commune de Labalme.,commune de La Balme.
DT01-09582,commune d’Abergement-le-Grand (Cassini).,commune du Grand-Abergement (Cassini).
DT01-09618,commune de Labalme.,commune de la Balme-Sappel.
DT01-09671,canton de Lagnieu.,commune de Lagnieu.
DT01-09757,Montreal.,            Montréal.
DT01-09919,commune d’Abergement-le-Grand.,commune du Grand-Abergement.
DT01-09999,commune d’Abergement-le-Grand.,commune du Grand-Abergement.
DT01-10024,commune de Montcet.,commune de Montcey.
DT01-10025,"communes de Montcet et de Vandeins, ","communes de Montcey et de Vandeins, "
DT01-10076,commune d’Abergement-le-Grand.,commune du Grand-Abergement.
DT01-10091,commune de Rignieux-le-Franc.,commune de Bignieux-le-Franc.
DT01-10115,commune de Montcet.,commune de Montcey.
DT01-10123,commune de Montcet.,commune de Montcey.
DT01-10332,Saint-Etienne-sur-Reyssouze.,            Saint-Étienne-sur-Reyssouze.
DT01-10388,commune de Labalme.,commune de la Balme-Sappel.
DT01-10399,commune de Labalme.,commune de la Balme-Sappel.
DT01-10466,commune de Saint-Olive.,commune de Sainte-Olive.
DT01-10508,commune de Lantenay.,commune de Lentenay.
DT01-10518,commune de Saint-Olive.,commune de Sainte-Olive.
DT01-10687,commune d’Abergement-le-Grand.,commune du Grand-Abergement.
DT01-10692,"Ceyzeriat et atteint la Reyssouze, à ","Ceyzériat et atteint la Reyssouze, à "
DT01-10711,"Lelex (922 m.), passe à ","Lélex (922 m.), passe à "
DT01-10711,"Chezery, à ","Chézery, à "
DT01-10711,"Chatillon-de-Michaille, où elle se grossit de la Semine, se perd pendant 300 mètres dans de profondes fissures de rochers, au lieu dit ","Châtillon-de-Michaille, où elle se grossit de la Semine, se perd pendant 300 mètres dans de profondes fissures de rochers, au lieu dit "
DT01-10850,commune de Montcet.,commune de Montcey.
DT01-10977,commune de Saint-Jean-de-Gonville.,commune de S            t-Jean-de-Gonville.
DT01-10981,commune de Saint-Bénigne.,commune de S            t-Bénigne.
DT01-10982,commune de Saint-Trivier-sur-Moignans.,commune de S            t-Trivier-sur-Moignans.
DT01-10988,commune de Saint-Germain-sur-Renon.,commune de S            t-Germain-sur-Renon.
DT01-10989,commune de Labalme.,commune de la Balme-Sappel.
DT01-10997,Brenod.,            Brénod.
DT01-11022,"Chatenay, traverse ","            Châtenay, traverse "
DT01-11039,commune d’Abergement-le-Grand.,commune du Grand-Abergement.
DT01-11092,commune de Montcet.,commune de Montcey.
DT01-11208,Perouges.,            Pérouges.
