Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT01-00552	de-Haut (Les),	Abergement-Clémentiat	01001		
DT01-01552	Bramafan,	Abergement-Clémentiat	01001		
DT01-02213	Chamandrey,	Abergement-Clémentiat	01001		
DT01-02455	Chapirey,	Abergement-Clémentiat	01001		
DT01-04567	Fayard (Le),	Abergement-Clémentiat	01001		
DT01-04645	Fiole (La),	Abergement-Clémentiat	01001		
DT01-06710	Métrats (Les),	Abergement-Clémentiat	01001		
DT01-07621	Ordre (L'),	Abergement-Clémentiat	01001		
DT01-07772	Péage (Le),	Abergement-Clémentiat	01001		
DT01-08175	Pommerelle,	Abergement-Clémentiat	01001		
DT01-10319	Tisserand,	Abergement-Clémentiat	01001		
DT01-11090	Vignes (Les),	Abergement-Clémentiat	01001		
DT01-07576	Noyerat (Le),	Amb[r]onay	01007	Ambronay	
DT01-00931	Bied-de-Borgeil (Le),	Ambérieu	01004		
DT01-03152	Colonge (La),	Ambérieu	01004		
DT01-04240	Enfondre-Vaissel,	Ambérieu	01004		
DT01-04246	Enversis (Les),	Ambérieu	01004		
DT01-05664	Île (En),	Ambérieu	01004		
DT01-07169	Mortalité (La),	Ambérieu	01004		
DT01-08416	Poysats (Les),	Ambérieu	01004		
DT01-09223	Sachins,	Ambérieu	01004		
DT01-10414	Tour-de-Saint-Germain (La),	Ambérieu	01004		
DT01-10696	Vallières,	Ambérieu	01004		
DT01-03947	Darbonnay,	Ambronnay	01007	Ambronay	
DT01-08586	*Quintaine,	Ameyzieu	01415		
DT01-01254	Boissière (La),	Arandaz	01013		
DT01-02419	Chantignieu,	Arandaz	01013		
DT01-03184	Combe-aux-Archers (La),	Arandaz	01013		
DT01-10236	Teyspe,	Arans	01012		
DT01-04677	Flon (Le),	Artemare	01022		
DT01-07153	Morflan (La),	Artemare	01022		
DT01-09118	Ruisseau-d'Artemare (Le),	Artemare	01022		
DT01-02880	*Chazot,	Bâgé	01026		
DT01-06190	Luyat,	Bâgé	01026		
DT01-00593	Bâtie-sur-Cerdon (La),	Balme	01200	Labalme	
DT01-02709	Châtelard (Le),	Balme	01200	Labalme	
DT01-09141	Ruisseau-de-la-Balme (Le),	Balme	01200	Labalme	
DT01-09409	Saint-Julien-la-Balme,	Balme	01200	Labalme	
DT01-00535	Barrioz (Le),	Balme-Sappel	01200	Labalme	
DT01-03815	Cublaise,	Balme-Sappel	01200	Labalme	
DT01-09618	Sappel,	Balme-Sappel	01200	Labalme	
DT01-10388	Tour-de-Carmier (La),	Balme-Sappel	01200	Labalme	
DT01-10399	Tour-de-la-Balme (La),	Balme-Sappel	01200	Labalme	
DT01-10989	Verruquière (La),	Balme-Sappel	01200	Labalme	
DT01-00893	Beyssiat (Le),	Balme-sur-Cerdon	01200	Labalme	
DT01-07702	Palud (La),	Bélignat	01031		
DT01-01030	Biez-des-Monlaines (Le),	Bellegarde	01033		
DT01-07354	Musinens,	Bellegarde	01033		
DT01-07544	Notre-Dame-d'Acout,	Bellegarde	01033		
DT01-10674	Valbonne (La),	Belligneux	01032		
DT01-05638	Hostel,	Belmont-en-Valromey	01036		
DT01-01920	Caline (La),	Benonces	01037		
DT01-00216	Archers (Les),	Bénonces	01037		
DT01-00240	Arella,	Bénonces	01037		
DT01-00341	Avarcon,	Bénonces	01037		
DT01-00434	Balme-de-Roland (La),	Bénonces	01037		
DT01-00706	Bellet,	Bénonces	01037		
DT01-00718	Belley (En),	Bénonces	01037		
DT01-01000	Biez-de-la-Gorge (Le),	Bénonces	01037		
DT01-01184	Boirieux,	Bénonces	01037		
DT01-01460	Bourbouillon (Le),	Bénonces	01037		
DT01-01921	Calinière (La),	Bénonces	01037		
DT01-01990	Carre (Le),	Bénonces	01037		
DT01-02159	Chalamans,	Bénonces	01037		
DT01-02182	Chale-Ronde (Le Mollard-de-),	Bénonces	01037		
DT01-02201	Chalonière (La),	Bénonces	01037		
DT01-02387	Chânoz (Le),	Bénonces	01037		
DT01-03184	Combe-aux-Archers (La),	Bénonces	01037		
