article,output6.xml,DT79.xml
DT79-00385,commune de Saint-Gelais.,commune de S            t-Gelais.
DT79-00400,commune de Saint-Vincent.,commune de S            t-Vincent.
DT79-00402,commune de Saint-Génard.,commune de S            t-Génard.
DT79-00406,commune de Saint-Pompain.,commune de S            t-Pompain.
DT79-00407,commune de Saint-Martin-de-Saint-Maixent.,commune de S            t-Martin-de-St-Maixent.
DT79-00410,commune de Saint-Martin-de-Saint-Maixent.,commune de S            t-Martin-de-St-Maixent.
DT79-00411,"commune de Saint-Jean-de-Marigny, ","commune de S            t-Jean-de-Marigny, "
DT79-00414,commune de Saint-Jouin-de-Milly.,commune de S            t-Jouin-de-Milly.
DT79-00418,commune de Saint-Martin-de-Mâcon.,commune de S            t-Martin-de-Mâcon.
DT79-00420,"commune de Saint-Éanne, ","commune de S            t-Éanne, "
DT79-00424,commune de Saint-Aubin-le-Cloud.,commune de S            t-Aubin-le-Cloud.
DT79-00428,commune de Saint-Amand-sur-Sèvre.,commune de S            t-Amand-sur-Sèvre.
DT79-00429,commune de Saint-André-sur-Sèvre.,commune de S            t-André-sur-Sèvre.
DT79-00436,commune de Saint-Vincent-la-Châtre.,commune de S            t-Vincent-la-Châtre.
DT79-00440,commune de Saint-Maurice-la-Fougereuse.,commune de S            t-Maurice-la-Fougereuse.
DT79-00452,commune de Saint-Pompain.,commune de S            t-Pompain.
DT79-00453,commune de la Mothe-Saint-Héraye.,commune de la Mothe-S            t-Héraye.
DT79-00455,commune de la Chapelle-Saint-Laurent.,commune de la Chapelle-S            t-Laurent.
DT79-00460,commune de Saint-Amand.,commune de S            t-Amand.
DT79-00468,commune de Saint-Aubin-de-Baubigné.,commune de S            t-Aubin-de-Baubigné.
DT79-00469,"commune de Sainte-Blandine, ","commune de S            te-Blandine, "
DT79-00472,commune de la Mothe-Saint-Héraye.,commune de la Mothe-S            t-Héraye.
DT79-00473,commune de Saint-Martin-du-Fouilloux.,commune de S            t-Martin-du-Fouilloux.
DT79-00481,commune de la Chapelle-Saint-Laurent.,commune de la Chapelle-S            t-Laurent.
DT79-00486,commune de Saint-Porchaire.,commune de S            t-Porchaire.
DT79-00494,commune de Saint-Georges-de-Noisné.,commune de S            t-Georges-de-Noisné.
DT79-00502,commune du Puy-Saint-Bonnet.,commune du Puy-S            t-Bonnet.
DT79-00527,commune de Saint-Sauveur-de-Givre-en-Mai.,commune de S            t-Sauveur-de-Givre-en-Mai.
DT79-00537,commune de Saint-Lin.,commune de S            t-Lin.
DT79-00545,commune de Saint-Aubin-le-Cloud.,commune de S            t-Aubin-le-Cloud.
DT79-00550,commune de la Mothe-Saint-Héraye.,commune de la Mothe-S            t-Héraye.
DT79-00551,commune de Saint-Aubin-le-Cloud.,commune de S            t-Aubin-le-Cloud.
DT79-00564,commune de Saint-Aubin-le-Cloud.,commune de S            t-Aubin-le-Cloud.
DT79-00571,commune de Saint-Loup.,commune de S            t-Loup.
DT79-00573,"commune de Sainte-Radegonde-des-Pommiers, ","commune de S            te-Radegonde-des-Pommiers, "
DT79-00575,commune de Saint-Porchaire.,commune de S            t-Porchaire.
DT79-00589,communes de Saint-Martin-lez-Melle et Saint-Romans-lez-Melle.,communes de St-Martin-lez-Melle et St-Romans-lez-Melle.
DT79-00598,commune de Saint-Jouin-les-Marnes.,commune de S            t-Jouin-les-Marnes.
DT79-00599,commune de Saint-Paul-en-Gâtine.,commune de S            t-Paul-en-Gâtine.
DT79-00611,commune de Saint-Pompain.,commune de S            t-Pompain.
DT79-00615,commune de Sainte-Pezenne.,commune de S            te-Pezenne.
DT79-00616,commune de Saint-Aubin-de-Baubigné.,commune de S            t-Aubin-de-Baubigné.
DT79-00617,commune de Saint-Maurice-la-Fougereuse.,commune de S            t-Maurice-la-Fougereuse.
DT79-00619,commune de Saint-Christophe-sur-Roc.,commune de S            t-Christophe-sur-Roc.
DT79-00622,commune de Saint-Martin-de-Saint-Maixent.,commune de S            t-Martin-de-St-Maixent.
DT79-00632,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-00648,commune de Saint-Maurice-la-Fougereuse.,commune de S            t-Maurice-la-Fougereuse.
DT79-00657,commune de Saint-Gelais.,commune de S            t-Gelais.
DT79-00660,commune de Saint-Cyr-la-Lande.,commune de S            t-Cyr-la-Lande.
DT79-00662,commune de Saint-Sauveur.,commune de S            t-Sauveur.
DT79-00667,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-00668,commune de Saint-Génard.,commune de S            t-Génard.
DT79-00669,commune de Saint-Léger-de-Montbrun.,commune de S            t-Léger-de-Montbrun.
DT79-00676,commune de Saint-Clémentin.,commune de S            t-Clémentin.
DT79-00677,communes de Saint-Maixent-de-Beugné et de Coulonges-sur-l’Autize.,communes de St-Maixent-de-Beugné et de Coulonges-sur-l'Autize.
DT79-00679,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-00685,commune de Saint-Maxire.,commune de S            t-Maxire.
DT79-00686,commune de Saint-Symphorien.,commune de S            t-Symphorien.
DT79-00689,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-00692,commune de Saint-Jouin-sous-Châtillon.,commune de S            t-Jouin-sous-Châtillon.
DT79-00704,commune de Saint-Pierre-à-Champ.,commune de S            t-Pierre-à-Champ.
DT79-00709,commune de Saint-Clémentin.,commune de S            t-Clémentin.
DT79-00710,commune de Sainte-Verge ; ,commune de S            te-Verge ; 
DT79-00712,"paroisse de Saint-Gelais, ressort et élection de S","paroisse de S            t-Gelais, ressort et élection de S"
DT79-00713,commune de Saint-Rémy.,commune de S            t-Rémy.
DT79-00715,"commune de Saint-Jean-de-Bonneval, relev. de Thouars, ","commune de S            t-Jean-de-Bonneval, relev. de Thouars, "
