article,ProblemeLocalisation ?
DT14-00260,commune de Banneville-sur-Ajon.,commune de Bonneville-sur-Ajon         .
DT14-00308,"Saint-Bazile-sur-Monne, qui prend le nom de les Autels-Saint-Bazile, réunie pour le culte à ","Saint-Bazile-sur-Monne, qui prend le nom de "
DT14-00318,commune de Hotot.,commune de Hottot-en-Auge         .
DT14-01269,commune de Vendeuvre.,commune de Vandeuvre         .
DT14-01318,commune de Saint-Martin-du-Bû.,commune de Saint-Pierre-du-Bût         .
DT14-01613,commune de Saint-Martin-de-Bienfaite.,commune de Saint-Germain-de-Bienfaite         .
DT14-01853,canton de Caen (Ouest).,"canton de Caen (Ouest), ou "
DT14-02243,commune de Saint-Paul-du-Vernay.,commune de Saint-Pierre-du-Vernay         .
DT14-02252,commune de la Rocques.,commune de la Roque         .
DT14-02522,commune de Saint-Julien-de-Mailloc.,commune de Saint-Jean-de-Mailloc         .
DT14-03006,commune de Formentin.,commune de Saint-Eugène         .
DT14-03892,commune de Banneville-sur-Ajon.,commune de Bonneville-sur-Ajon         .
DT14-03917,commune de Bonneuil.,commune de Bonnœil         .
DT14-04011,commune de Hotot.,commune de Hottot         .
DT14-04065,commune de la Chapelle-Infray.,commune de la Chapelle-Hinfray         .
DT14-04141,commune de Bonneuil.,commune de Bonnœil         .
DT14-04168,commune de Hotot (Pont-l’Évêque).,commune de Hottot          (Pont-l'Évêque).
DT14-04217,commune de Formentin.,commune de Saint-Eugène         .
DT14-04673,commune de Coudray.,commune de Couvray         .
DT14-04873,"près de Hotot, après avoir arrosé ","près de Hottot-en-Auge, après avoir arrosé "
DT14-05055,commune de Saint-Bénin.,commune de Saint-Benin         .
DT14-05101,commune de Fourneville.,commune de Tourneville         .
DT14-05180,commune de Sainte-Marguerite-des-Loges.,commune de Sainte-Marie-des-Loges         .
DT14-05202,commune de Lingèvres.,commune de Liugèvres         .
DT14-05361,canton d’Aunay,"canton d'Aunay, appelée aussi la "
DT14-05695,commune de Formentin.,commune de Saint-Eugène         .
DT14-05707,commune de la Chapelle-Infray.,commune de la Chapelle-Hainfray         .
DT14-05710,commune de la Chapelle-Infray.,commune de la Chapelle-Hainfray         .
DT14-05844,commune de la La Mousse.,commune de la Mousse         .
DT14-06047,commune de Formentin.,commune de Saint-Eugène         .
DT14-06196,commune de Champt-du-Boult.,commune de Champ-de-Boult         .
DT14-06543,commune de Rieu.,commune de Rieux         .
DT14-06620,commune de Genneville.,commune de Gonneville         .
DT14-07262,commune de Formentin.,commune de Saint-Eugène         .
DT14-07326,commune de Hotot (Pont-l’Évêque).,commune de Hottot          (Pont-l'Évêque).
DT14-08376,commune de Monteille.,commune de Mouteilles         .
DT14-08408,commune de la Chapelle-Infray.,commune de la Chapelle-Hainfray         .
DT14-08462,commune de Breuil.,commune de Verneuil         .
DT14-08503,commune de la Chapelle-Infray.,commune de la Chapelle-Hainfray         .
DT14-08533,commune de la Chapelle-Infray.,commune de la Chapelle-Hainfray         .
DT14-08637,commune de la Chapelle-Infray.,commune de la Chapelle-Hainfray         .
DT14-08755,commune de Formentin.,commune de Saint-Eugène         .
DT14-08799,commune de Formentin.,commune de Saint-Eugène         .
DT14-08804,commune de Hotot.,commune de Hottot         .
DT14-08956,commune de Leffard.,commune de Lessard         .
DT14-09170,"Trévieres, ","            Trévières         , "
DT14-09415,"canton de Trévières, anciennement Manneville, accru de la ","canton de Trévières, anciennement "
DT14-09886,commune d’Ammeville.,commune d'Anneville         .
DT14-10194,Quétieville en ,            Quétiéville          en 
DT14-10947,Pertheville-Ners.,            Pertheville          qui prend le nom de 
DT14-11401,"Tourniéres, ","            Tournières         , "
DT14-11491,commune de Sommervieu.,commune de Sommerville         .
DT14-11640,commune de Sainte-Marie-Laumont.,commune de Saint-Marie-Laumont         .
DT14-11768,commune de la Chapelle-Infray.,commune de la Chapelle-Hainfray         .
DT14-11957,Vendoeuvre en ,            Vendœuvre          en 
DT14-12019,commune de Hotot.,commune de Hottot         .
DT14-12047,commune de Hotot (Pont-l’Évêque).,commune de Hottot          (Pont-l'Évêque).
DT14-12385,commune de Banneville.,commune de Bonneville         .
DT14-12456,commune de Sainte-Marie-Laumont.,commune de Saint-Marie-Laumont         .
