article,ProblemeLocalisation ?
DT14-12531,Coudray-Rabut.,            Coudray          qui prend le nom de 
DT14-12539,commune de Hotot (Pont-l’Évêque).,commune de Hottot          (Pont-l'Évêque).
DT14-12650,commune de Leffard.,commune de Lessard         .
DT14-12795,commune de Hotot.,commune de Hottot         .
DT14-12930,commune de Louvières.,commune de Souvières         .
DT14-13468,commune de Notre-Dame-d’Estrées.,commune de Notre-Dame-des-Entrées         .
DT14-13508,Ouilly-du-Houley.,canton de Lisieux ; en 
DT14-13517,Sainte-Marie-aux-Anglais.,"            Doux-Marais         , sous le nom de "
DT14-13555,canton du Bény-Bocage.,"canton du Bény-Bocage, aussi appelé "
DT14-13613,"Soûmont, sous le nom de Soûmont-Saint-Quentin, l’autre (Tassilly) est réunie à Bons, qui prend le nom de ","            Soûmont         , sous le nom de "
DT14-13613,Bons-Tassilly.,"Bons, qui prend le nom de "
DT14-13669,commune de Genneville.,commune de Gonneville         .
DT14-13822,Ecajeul.,            Écajeul         .
DT14-14072,arrondissement de Caen.,"arrondissement de Caen, anciennement "
DT14-14106,Saint-Benoit-d'Hebertot en ,            Saint-Benoît-d'Hébertot          en 
DT14-14140,Cricqueboeuf jusqu’à ,Cricquebœuf jusqu'à 
DT14-14140,Saint-Benoit-d'Hébertot.,Saint-Benoît-d'Hébertot.
DT14-14148,commune de Formentin.,commune de Saint-Eugène         .
DT14-14215,commune de Leffard.,commune de Lessard         .
DT14-14225,commune de Formentin.,commune de Saint-Eugène         .
DT14-14713,commune de Formentin.,commune de Saint-Eugène         .
DT14-14867,Hermival-les-Vaux.,"            Hermival         , qui prend le nom d'"
DT14-15307,commune de Vierville.,commune de Fierville         .
