Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT14-00002	Abbaye (L’),	Aunay-sur-Odon	14027		
DT14-00004	Abbaye (L’),	Condé-sur-Noireau	14174		Commune non reconnue dans le DT
DT14-00040	Adams (Les),	Blangy	14077		
DT14-00053	Aignerville,	Biéville-sur-Orne	14068		
DT14-00055	Aigues-aux-Gendres (Les),	Cartigny-l’Épinay	14138		
DT14-00069	Aitre (L’),	Putot-en-Auge	14524		
DT14-00080	Alençon (Bois d’),	Cinglais	non		
DT14-00088	Allemagne,	Caen	non		
DT14-00095	Amboine,	Roque	14539		
DT14-00112	Ancienne-Forge-du-Vannier (L’),	Cresseveuille	14198		Commune non reconnue dans le DT
DT14-00115	Ancien-Presbytère (L’),	Engranville	14281		
DT14-00120	Ancien-Presbytère (L’),	Saint-Yvon	non		
DT14-00127	André,	Juaye-Mondaye	14346		
DT14-00131	Anelles,	Juaye-Mondaye	14346		
DT14-00170	Anguerny,	Douvres	14228		
DT14-00172	Anneau de la Marguerite (L’),	Seulle	non		
DT14-00195	Archette (L’),	Sainte-Marie-Outre-l’Eau	14619		
DT14-00198	Ardennes,	Saint-Germain-la-Blanche-Herbe	14587		
DT14-00212	Armendière (L’),	Montchauvet	14443		
DT14-00230	Assemont,	Saint-Désir-de-Lisieux	14574		
DT14-00247	Aubets (Les),	Hennequeville	14715		
DT14-00256	Aubray (L’),	Couvert	14346		
DT14-00260	Auger (L’),	Bonneville-sur-Ajon	14037	Banneville-sur-Ajon	
DT14-00269	Aumondière (L’),	Condé-sur-Noireau	14174		Commune non reconnue dans le DT
DT14-00273	Aumônerie (L’),	Beaulieu	14052		Commune non reconnue dans le DT
DT14-00282	Aunaies (Les),	Montchauvet	14443		
DT14-00312	Authieux-sur-Calonne (Les),	Blangy	14077		
DT14-00318	Auvillers,	Hottot-en-Auge	14335	Hotot	
DT14-00321	Auvray,	Truttemer-le-Petit	14718		
DT14-00331	Avenay,	Pont-Bellanger	14511		
DT14-00336	Avenue (L’),	Juaye-Mondaye	14346		
DT14-00358	Bacquelière (La),	Pont-Bellanger	14511		
DT14-00369	Baigneux (Le),	Juaye-Mondaye	14346		
DT14-00375	Bailleul,	Pierrefitte-en-Auge	14500		
DT14-00377	Bainie (La),	Montbertrand	14441		
DT14-00387	Balençon,	Cartigny-Tesson	14614		
DT14-00427	Barberie (La),	Saint-Étienne-la-Thillaye	14575		
DT14-00430	Barbery,	Bretteville-sur-Laize	non		
DT14-00430	Barbery,	Mesnil-Touffray	non		
DT14-00450	Bardets (Les),	Saint-Denis-de-Mailloc	14571		Commune non reconnue dans le DT
DT14-00469	Bas (Le),	Cartigny-Tesson	14614		
DT14-00487	Bas-de-Bernières (Le),	Juaye-Mondaye	14346		
DT14-00494	Bas-de-la-Couyère (Le),	Hennequeville	14715		
DT14-00510	Baslin,	Cartigny-l’Épinay	14138		
DT14-00512	Bas-Mesnil,	Condé-sur-Noireau	14174		Commune non reconnue dans le DT
DT14-00542	Bas-Tertre (Le),	Saint-Martin-du-Bû	14627		Commune non reconnue dans le DT
DT14-00549	Bas-Vents (Les),	Pontfol	14743		
DT14-00554	Bataille (La),	Clécy	14162		
DT14-00556	Batailles (Les),	Blangy	14077		
DT14-00560	Bateau-du-Vey (Le),	Clécy	14162		
DT14-00569	Baudets (Les),	Blangy	14077		
DT14-00588	Bausan,	Milly	14468		
DT14-00593	Baux (Les),	Ferrière-Duval	14219		
DT14-00594	Bave (La),	Ferrière-Duval	14219		
DT14-00620	Beau-Bout,	Fourches	14283		Commune non reconnue dans le DT
DT14-00641	Beau-Huet (Le),	Saint-Étienne-la-Thillaye	14575		
DT14-00646	Beaulieu (Prison de),	Caen	14118		Commune non reconnue dans le DT
DT14-00649	Beaumanoir,	Condé	14174		Commune non reconnue dans le DT
DT14-00664	Beaumont,	Landelle	non		
DT14-00713	Beau-Vaquelin (Le),	Folletière-Abenon	14273		
DT14-00741	Beffeux (Le),	Bretteville-sur-Laize	14100		Commune non reconnue dans le DT
DT14-00748	Bel-Air,	Engranville	14281		
DT14-00751	Bel-Air,	Monbertrand	14441		
DT14-00759	Béliers (Les),	Grainville-Langannerie	14310		
DT14-00807	Bellevue,	Clécy	14162		
DT14-00821	Bellou,	Bellouet	non		
DT14-00823	Belloyère (La),	Condé-sur-Noireau	14174		Commune non reconnue dans le DT
DT14-00848	Benetière (La),	Montchauvet	14443		
