 id 	old	new	
1964	Kerveguenet	Kervéguénet	
1970	Ploenez	Ploénez	
1973	Rozveguen	Rozvéguen	
1984	Coat ar Gueven (rue)	Coat ar Guéven	
2002	Guernevez (rue de)	Guernévez	
2006	Kerabecam (rue de)	Kerabécam	
2011	Kerampere (rue de)	Kerampéré	
2013	Kerangrenen	Kerangrénen	
2018	Keranquere (rue de)	Keranquéré	
2021	Kerarbelec	Kerarbélec	
2036	Kerdalaes (chemin de)	Kerdalaës	
2038	Kerebezon (rue de)	Kerébézon	
2039	Keredern (impasse de, rue de)	Kerédern	
2041	Kerelle (rue de)	Kerellé	
2043	Kereval	Keréval	
2051	Kerguelen (rue de)	Kerguélen	
2053	Kerguerec	Kerguérec	
2062	Kerleguer (rue de)	Kerléguer	
2063	Kerleo	Kerléo	
2070	Kerneen	Kernéen	
2082	Kervaze (rue de)	Kervazé	
2083	Kerveguen (rue)	Kervéguen	
2086	Kervezennec (rue de)	Kervézennec	
2100	Marregues (rue de)	Marréguès	
2101	Menessiou	Ménessiou	
2102	Menez Paul	Ménèz Paul	
2110	Mezenes (chemin de)	Mézénès	
2111	Mogueriec (rue de)	Moguériec	
2116	Pen ar Creac’h (rue de)	Pen ar Créac'h	
2118	Pen ar Menez (rue)	Pen ar Ménèz	
2119	Pen ar Pave (rue)	Pen ar Pavé	
2121	Pen ar Streat	Pen ar Stréat	
2122	Penhelen (chemin de ; place)	Penhélen	
2128	Pontanezen	Pontanézen	
2137	Pouleder (rue de)	Pouléder	
2144	Prat Ledan (place du ; venelle du)	Prat Lédan	
2147	Quelern (rue de)	Quélern	
2148	Queliverzan (rue de)	Quéliverzan	
2159	Saint Guenole (rue)	Saint Guénolé	
2171	Treninez (rue)	Tréninèz	
2172	Treornou (rue de)	Tréomou	
2182	Feach	Féach	
2216	Messedou	Messédou	
2225	Moulin Kerleguer	Moulin Kerléguer	
2243	Questeria	Questéria	
2256	Barre (- / nevez)	Barré (- / névez)	
2260	Borch Lestrequez	Lestréquèz	
2270	Croas Kerherve	Kerhervé	
2272	Croas Queau	Croas Quéau	
2281	Goarem Kerherve	Kerhervé	
2283	Goarem Kernaveno	Kernavéno	
2288	Gorrequer	Gorréquer	
2292	Guelen	Guélen	
2295	Guernevez	Guernévez	
2297	Gurvale	Gurvalé	
2298	Hellez	Helléz	
2302	Kerael	Keraël	
2306	Kerbernes	Kerbernès	
2318	Kergoloen	Kergoloën	
2321	Kergresil	Kergrésil	
2323	Kerhaerec	Kerhaërec	
2324	Kerhere	Kerhéré	
2325	Kerherve	Kerhervé	
2336	Kerlez (nevez / vihan / vras)	Kerléz	
2347	Kernaveno (- / nevez)	Kernavéno (-/névez)	
2351	Kerobezant (- / bihan)	Kerobézant	
2360	Kerveguen	Kervéguen	
2361	Kervehun	Kervéhun	
2362	Kervelen	Kervélen	
2364	Kervenal	Kervénal	
2379	Kreis Avel Kervehun	Kreis Avel Kervéhun	
2388	Lestrequez (- / nevez)	Lestréquèz (- / névez)	
2389	Lestrevet	Lestrévet	
2390	Leurre (- / bihan)	Leurré (- / bihan)	
2401	Menez Queneach du	Ménez Quénéach Du	
2402	Menez Roch Meur	Ménez Roch Meur	
