article_id,vedette,localisationco,insee_code,id,old-id,label,definition_typologie,definition_localisation,insee,method_dicotopo,localisationde,dpt_code,canton_code,method,reference
PO7-00557,Bresson,none,38057,,,,,,,nulle,Isère,38,Grenoble,dpt_exact,     Bresson     Isère     con de Grenoble       Bresso  capellanus  381 h      Bresson  eccl   373 d    
PO7-00560,Brette,none,26062,P29459401,DT26-00571,Batie,hameau,commune de Brette,26062,communes_fuzzy,,,,,
PO7-00560,Brette,none,26062,P87508641,DT26-01450,Brette Vieille,village ruiné,commune de Brette,26062,communes_fuzzy,,,,,
PO7-00561,Bretten,none,68052,,,,,,,nulle,Haut-Rhin,68,Dannemarie,dpt_exact,     Bretten     Haut Rhin     con de Dannemarie       Bretten  209 f  cappellani  180 d      Brettenen  220 b    
PO7-00563,Breurey Faverney,none,70095,,,,,,,nulle,Haute-Saône,70,Port-sur-Saône,dpt_exact,     Breurey lès Faverney     Haute Saône     con de Port sur Saône       Breurey  eccl   91 e      Briure  eccl   22 c      Bruerey  57 var  b  capellanus  55 c    
PO7-00564,Brevilliers,none,70096,,,,,,,nulle,Haute-Saône,70,Héricourt,dpt_exact,     Brevilliers     Haute Saône     con d Héricourt       Brevillier  eccl   95 b      Bruvelier  capellanus  59 f    
PO7-00565,Brezet,Cessieux,38064,,,,,,,nulle,Isère,38,la Tour-du-Pin,dpt_fuzzy,     Brézet     Isère     con de la Tour du Pin     cne de Cessieux       Breysenet  capellanus  284 c    
PO7-00566,Brezins,none,38058,,,,,,,nulle,Isère,38,Saint-Étienne-de-Saint-Geoirs,dpt_fuzzy,     Brezins     Isère     con de Saint Étienne de Saint Geoirs       Brezinum  capellanus  294 d    
PO7-00567,Bridoire,none,73058,,,,,,,nulle,Savoie,73,Pont-de-Beauvoisin,dpt_exact,     Bridoire  la      Savoie     con du Pont de Beauvoisin       Bredoria  Sanc Petrus  239 e      Bridoria  capellanus  234 h      La Bridoyri  capellanus  231 d    
PO7-00568,Brie,Brié-et-Angonnes,38059,,,,,,,nulle,Isère,38,Vizille,dpt_exact,     Brié     Isère     con de Vizille     cne de Brié et Angonnes       Brez  capellanus  381 g  eccl   373 c      Brecium  capellanus  394 b    
PO7-00570,Brignoud,Froges,38175,,,,,,,nulle,Isère,38,Goncelin,dpt_exact,     Brignoud     Isère     con de Goncelin     cne de Froges       Brinosch  Sanctus Julianus  eccl   373 g    
PO7-00571,Brinighoffen,none,68081,,,,,,,nulle,Haut-Rhin,68,Altkirch,dpt_fuzzy,     Brinighoffen  en all  Brünighofen     Haut Rhin     con d Altkirch       Brunikoven  cappellanus  181 c    
PO7-00572,Brion,Cheylard,07064,P89212380,DT07-02155,Bronquille,montagne,commune du Cheylard,07064,localisationco_fuzzy,,,,,
PO7-00572,Brion,Cheylard,07064,P28090357,DT07-02330,Burianne,domaine,commune du Cheylard,07064,localisationco_fuzzy,,,,,
PO7-00572,Brion,Cheylard,07064,P94788555,DT07-12108,Printes,quartier,commune du Cheylard,07064,localisationco_fuzzy,,,,,
PO7-00572,Brion,Cheylard,07064,P33371796,DT07-14711,Talaron,ruisseau,commune du Cheylard,07064,localisationco_fuzzy,,,,,
PO7-00572,Brion,Cheylard,07064,P65732129,DT07-01001,Bealon,hameau,commune du Cheylard,07064,localisationco_fuzzy,,,,,
PO7-00573,Brion,Lavars,38208,,,,,,,nulle,Isère,38,Mens,dpt_exact,     Brion     Isère     con de Mens     cne de Lavars       Brio  capellanus  421 c  430 d    
PO7-00574,Brion,none,38060,,,,,,,nulle,Isère,38,Saint-Étienne-de-Saint-Geoirs,dpt_exact,     Brion     Isère     con de Saint Étienne de Saint Geoirs       Brion  capellanus  288 b    
PO7-00576,Brotte Luxeuil,none,70098,,,,,,,nulle,Haute-Saône,70,Luxeuil,dpt_exact,     Brotte lès Luxeuil     Haute Saône     con de Luxeuil       Brates  capellanus  56 f  eccl   33 g      Brattes  eccl   90 c    
PO7-00577,Broye Pesmes,none,70101,,,,,,,nulle,Haute-Saône,70,Pesmes,dpt_fuzzy,     Broye lès Pesmes     Haute Saône     con de Pesmes       Broies  capellanus  49 e  eccl   18 h      Broyes  eccl   82 d    
PO7-00578,Bruebach,none,68055,,,,,,,nulle,Haut-Rhin,68,Mulhouse,dpt_exact,     Bruebach     Haut Rhin     con de Mulhouse       Bropach  eccl   148 e      Brutbach  210 a      Brutpach  221 d      Rupach  rector  183 c  vicarius  183 c    
PO7-00579,Brunstatt,none,68056,P40422066,DT68-05288-1,Munimatten,,Brunstatt,68056,communes_fuzzy,,,,,
PO7-00580,Brussey,none,70102,,,,,,,nulle,Haute-Saône,70,Marnay,dpt_exact,     Brussey     Haute Saône     con de Marnay       Brucey  capellanus  50 h  eccl   84 a    
PO7-00582,Bruzac,Gilhac-et-Bruzac,07094,P21568185,DT07-02283,Bruzac,hameau,commune de Gilhac-et-Bruzac,07094,localisationco_exact,,,,,
PO7-00584,Buc,none,90020,,,,,,,nulle,territoire de Belfort,none,Belfort,nodpt_fuzzy,     Buc     territoire de Belfort     con de Belfort       Buc  capellanus  59 f      Bur  eccl   291      Buz  eccl   94 d    
PO7-00585,Bucey Gy,none,70104,,,,,,,nulle,Haute-Saône,70,none,dpt_exact,     Bucey lès Gy     Haute Saône     arr  de Gray       Bucei  eccl   19 e      Bucey  capellanus  50 c  eccl   83 d      Buicey  eccl   32 b    
PO7-00586,Buchsgau,none,NO,,,,,,,nulle,none,none,none,nodpt_fuzzy,     Buchsgau     doyenné        Buchsgaudia  decanatus  195 197  213 214  224 225  227 d      Buchsgowe  decanatus  151 152  157    
PO7-00588,Budenheim,Hombourg,68144,P26965555,DT68-01000,Butenheim,ancien village et château,entre Hombourg et Petit-Landau,68144,localisationco_fuzzy,,,,,
PO7-00593,Buethwiller,none,68057,P31224256,DT68-00945,Buchelberg,colline,commune de Buetwiller,68057,communes_fuzzy,,,,,
PO7-00595,Buffiere,Succieu,38498,,,,,,,nulle,Isère,38,Bourgoin,dpt_exact,     Buffière     Isère     con de Bourgoin     cne de Succieu       Bufferes  capellanus  292 d    
PO7-00596,Buffignecourt,none,70106,,,,,,,nulle,Haute-Saône,70,Amance,dpt_exact,     Buffignécourt     Haute Saône     con d Amance       Bifineycultis  eccl   2 a      Bufignecort  eccl   33 b      Buffignecour  capellanus  53 b      Buffignecourt  eccl   87 c    
PO7-00597,Bugey,none,NO,,,,,,,nulle,none,none,none,nodpt_fuzzy,     Bugey  le      pays        Beugesium  236 c    
PO7-00598,Buhl,none,68058,P34141916,DT68-05919-2,Pful,,commune de Bühl,68058,communes_fuzzy,,,,,
PO7-00599,Buillon,Chenecey-Buillon,25149,,,,,,,nulle,Doubs,25,Quingey,dpt_exact,     Buillon     Doubs     con de Quingey     cne de Chenecey Buillon       Billo  abbas  68 a  monasterium  69 d  73 e      Bullio  abbas  35 e  38 c    
PO7-00600,Buis,Cour-et-Buis,38134,,,,,,,nulle,Isère,38,Beaurepaire,dpt_exact,     Buis     Isère     con de Beaurepaire     cne de Cour et Buis       Vicenel  capellanus  296 d    
PO7-00601,Buisse,none,38061,,,,,,,nulle,Isère,38,Voiron,dpt_exact,     Buisse  la      Isère     con de Voiron       Buxia  capellanus  396 h  eccl   368 d  prior  396 d      Buyssia  prior  385 f    
PO7-00602,Buissiere,none,38062,,,,,,,nulle,Isère,38,Touvet,dpt_exact,     Buissière  la      Isère     con du Touvet       Buxeria  capella  370 h  capellanus  382 h  395 f  castrum  370 h    
PO7-00605,Burbanche,none,01066,,,,,,,nulle,Ain,01,Virieu-le-Grand,dpt_exact,     Burbanche  la      Ain     con de Virieu le Grand       La Bourbenche  Beata Maria  237 f      Vulbenchis  prior  243 b  procurator  243 var  a    
PO7-00606,Burcin,none,38063,,,,,,,nulle,Isère,38,Grand-Lemps,dpt_exact,     Burcin     Isère     con du Grand Lemps       Baurcins  capellanus  288 f    
PO7-00607,Burdigne,none,42028,P70739598,DT42-12417,Vignes,écart,commune de Burdignes,42028,communes_fuzzy,,,,,
PO7-00607,Burdigne,none,42028,P76226685,DT42-12411,Vigne,maison isolée,commune de Burdignes,42028,communes_fuzzy,,,,,
PO7-00608,Burdignin,none,74050,,,,,,,nulle,Haute-Savoie,74,Boëge,dpt_exact,     Burdignin     Haute Savoie     con de Boëge       Burdignin  capellanus  330 h  cura  360 b  curatus  339 a      Burdignins  capellanus  310 b    
PO7-00609,Burgille,none,25101,,,,,,,nulle,Doubs,25,Audeux,dpt_exact,     Burgille     Doubs     con d Audeux       Burgilles  capellanus  40 e  eccl   69 d    
PO7-00611,Burnen,Brunstatt,68056,P34167212,DT68-00984,Burnen,village détruit,près de Brunstatt,68056,localisationco_exact,,,,,
PO7-00612,Burnhaupt,none,68059/68060,,,,,,,nulle,Haut-Rhin,68,Cernay,dpt_fuzzy,     Burnhaupt     Haut Rhin     con de Cernay       Burnehobeten  eccl   156 k      Burnhopten  209 f    
PO7-00613,Burnhaupt,none,68059,,,,,,,nulle,Haut-Rhin,68,Cernay,dpt_exact,     Burnhaupt le Bas     Haut Rhin     con de Cernay       Inferior Burnhopten  cappellanus  180 a  vicarius  180 a    
PO7-00614,Burnhaupt,none,68060,,,,,,,nulle,Haut-Rhin,68,Cernay,dpt_exact,     Burnhaupt le Haut     Haut Rhin     con de Cernay       Superior Burnhopten  rector  180 a  vicarius  180 a      Burnhoupten Superior  220 d    
PO7-00615,Burnkirch,Illfurth,68152,P82734536,DT68-00987,Burnkirch,village détruit,près d’Illfurth,68152,localisationco_exact,,,,,
PO7-00619,Burzet,none,07045,P00668740,DT07-02268,Bruschet,mas,commune de Burzet,07045,communes_fuzzy,,,,,
PO7-00619,Burzet,none,07045,P97723970,DT07-13112,Roure,hameau,commune de Burzet,07045,communes_fuzzy,,,,,
PO7-00619,Burzet,none,07045,P31844252,DT07-04690,Courbe,montagne,commune de Burzet,07045,communes_fuzzy,,,,,
PO7-00619,Burzet,none,07045,P07621859,DT07-12115,Prunaret,hameau,commune de Burzet,07045,communes_fuzzy,,,,,
PO7-00619,Burzet,none,07045,P15759949,DT07-02186,Brouttiere,hameau,commune de Burzet,07045,communes_fuzzy,,,,,
PO7-00619,Burzet,none,07045,P14701029,DT07-13449,Benezet,chapelle,commune de Burzet,07045,communes_fuzzy,,,,,
PO7-00619,Burzet,none,07045,P39071302,DT07-01920,Bourges,rivière,canton de Burzet,07045,communes_fuzzy,,,,,
PO7-00619,Burzet,none,07045,P61459752,DT07-01797,Bouchet,hameau,commune de Burzet,07045,communes_fuzzy,,,,,
PO7-00619,Burzet,none,07045,P64314836,DT07-00355,Aubert,mas,commune de Burzet,07045,communes_fuzzy,,,,,
PO7-00619,Burzet,none,07045,P94287497,DT07-01160,Belvezet,hameau,commune de Burzet,07045,communes_fuzzy,,,,,
PO7-00619,Burzet,none,07045,P47449943,DT07-14425,Serret,hameau,commune de Burzet,07045,communes_fuzzy,,,,,
PO7-00619,Burzet,none,07045,P38312177,DT07-01379,Bindouire,ruisseau,commune de Burzet,07045,communes_fuzzy,,,,,
PO7-00619,Burzet,none,07045,P92416732,DT07-01177,Beque,mas,commune de Burzet,07045,communes_fuzzy,,,,,
PO7-00620,Buschwiller,none,68061,P11685426,DT68-00646,Blumacker,canton,territoire de Buschwiller,68061,communes_fuzzy,,,,,
PO7-00621,Bussieres,none,70107,,,,,,,nulle,Haute-Saône,70,Rioz,dpt_exact,     Bussières     Haute Saône     con de Rioz       Bosseres  eccl   14 d      Bussere supra l Oignon  capellanus  39 e      Bussières  eccl   70 d    
PO7-00622,Busy,none,25103,,,,,,,nulle,Doubs,25,Boussières,dpt_exact,     Busy     Doubs     con de Boussières       Busy  capellanus  40 d  eccl   3 b  14 b  66 b  69 g    
PO7-00623,Buthiers,none,70109,,,,,,,nulle,Haute-Saône,70,Rioz,dpt_exact,     Buthiers     Haute Saône     con de Rioz       Buthier  eccl   71 b      Butié  eccl   30 d      Butye  capellanus  39 e    
PO7-00625,Buvilly,none,39081,,,,,,,nulle,Jura,39,Poligny,dpt_exact,     Buvilly     Jura     con de Poligny       Beveiller  eccl   15 d      Bevilley  capellanus  42 c      Bevilly  eccl   73 a    
PO7-00626,Buvin,Avenières,38022,,,,,,,nulle,Isère,38,Morestel,dpt_exact,     Buvin     Isère     con de Morestel     cne des Avenières       Sanctus Julianus  capellanus  231 f      Buvin  Sanctus Julianus  240 a    
PO7-00627,Byans,none,25105,,,,,,,nulle,Doubs,25,Boussières,dpt_fuzzy,     Byans ou Byans sur Doubs     Doubs     con de Boussières       Bians  capellanus  40 d  eccl   25 d      Byans  eccl   65 c  69 g    
PO7-00628,Calmoutier,none,70111,,,,,,,nulle,Haute-Saône,70,Noroy-le-Bourg,dpt_exact,     Calmoutier     Haute Saône     con de Noroy le Bourg       Colombe Monasterium  capitulum  87 f  88 e  90 c d e  95 e  96 a  eccl   90 c e      Columbe Monasterium  capellanus  57 b  capitulum  54 f      Columbi Monasterium  canonici  12 a  capitulum  12 a  decanatus  12 a  decanus  54 var  a      Colummosteria  eccl   28 e    
PO7-00629,Camet,Montrigaud,26210,P58329503,DT26-01658,Camet,quartier,commune de Montrigaud,26210,localisationco_exact,,,,,
PO7-00630,Capucins,Crest,26108,P12667297,DT26-01674,Capucins,couvent,commune de Crest,26108,localisationco_exact,,,,,
PO7-00632,Carspach,none,68062,,,,,,,nulle,Haut-Rhin,68,Altkirch,dpt_exact,     Carspach     Haut Rhin     con d Altkirch       Karolzpach  eccl   149 b  incuratus  149 b  plebanus  149 b      Karolczbach  208 a d e  218 g  cappellanus  176 a  rector  176 a  vicarius  176 a    
PO7-00634,Celas,Saou,26336,P56684538,DT26-01725,Celas,hameau,commune de Saoû,26336,localisationco_exact,,,,,
PO7-00636,Cellier Luc,none,07047,,,,,,,nulle,Ardèche,07,Saint-Étienne-de-Lugdarès,dpt_exact,     Cellier du Luc     Ardèche     con de Saint Étienne de Lugdarès       Cellarium  454 g  eccl   447 f      Sellarium  eccl   441 b    
PO7-00637,Celliers,none,73187,,,,,,,nulle,Savoie,73,Moûtiers,dpt_fuzzy,     Celliers     Savoie     con de Moûtiers       Celerii  eccl   248 e    
PO7-00638,Cemboing,none,70112,,,,,,,nulle,Haute-Saône,70,Jussey,dpt_exact,     Cemboing     Haute Saône     con de Jussey       Cemboy  eccl   20 e      Cemboing  capellanus  52 f      Sainct Boing  eccl   88 b    
PO7-00639,Cenans,none,70113,,,,,,,nulle,Haute-Saône,70,Montbozon,dpt_exact,     Cenans     Haute Saône     con de Montbozon       Senans  eccl   65 c    
PO7-00640,Cendrecourt,none,70114,,,,,,,nulle,Haute-Saône,70,Jussey,dpt_exact,     Cendrecourt     Haute Saône     con de Jussey       Cendrecour  capellanus  53 b      Cendrecourt  eccl   86 e      Sendrecor  eccl   20 g    
PO7-00641,Cendrey,none,25107,,,,,,,nulle,Doubs,25,Marchaux,dpt_exact,     Cendrey     Doubs     con de Marchaux       Cendrey  eccl   97 d      Sendre  eccl   23 b      Sendrey  capellanus  61 g    
PO7-00642,Cercier,none,74051,,,,,,,nulle,Haute-Savoie,74,Cruseilles,dpt_exact,     Cercier     Haute Savoie     con de Cruseilles       Sersier  capellanus  322 e  cura  354 f  curatus  341 d  348 b      Sexie  capellanus  313 b      Sorsie  cura  352 f    
PO7-00644,Cernans,none,39084,,,,,,,nulle,Jura,39,Salins,dpt_exact,     Cernans     Jura     con de Salins       Cernans  capellanus  41 c  eccl   72 c      Cernens  eccl   15 b    
PO7-00645,Cernay,none,68063,P35896003,DT68-01300,Culenseym,ancien village,canton de Cernay,68063,communes_fuzzy,,,,,
PO7-00646,Cernex,none,74052,,,,,,,nulle,Haute-Savoie,74,Cruseilles,dpt_exact,     Cernex     Haute Savoie     con de Cruseilles       Sernay  capellanus  314 a  323 g  cura  353 a  355 b  curatus  342 g  348 e    
PO7-00647,Cernon,none,39086,,,,,,,nulle,Jura,39,Arinthod,dpt_exact,     Cernon     Jura     con d Arinthod       Cernon  capellanus  43 f  74 g      Cernons  eccl   26 d    
PO7-00648,Cerre Noroy,none,70115,,,,,,,nulle,Haute-Saône,70,Noroy-le-Bourg,dpt_exact,     Cerre lès Noroy     Haute Saône     con de Noroy le Bourg       Cerc  capellanus  56 d      Serc  eccl   91 b    
PO7-00649,Cervens,none,74053,,,,,,,nulle,Haute-Savoie,74,Thonon-les-Bains,dpt_exact,     Cervens     Haute Savoie     con de Thonon les Bains       Cervens  curatus  349 g      Cervent  cura  351 f  354 c      Cervenz  capellanus  319 a  330 d  curatus  338 h    
PO7-00650,Cessens,none,73062,,,,,,,nulle,Savoie,73,Albens,dpt_exact,     Cessens     Savoie     con d Albens       Sessens  capellanus  318 d  325 g  cura  362 b    
PO7-00651,Cessieu,none,38064,,,,,,,nulle,Isère,38,la Tour-du-Pin,dpt_exact,     Cessieu     Isère     con de la Tour du Pin       Chayssieu  capellanus  291 e      Sayseu  capellanus  274 e    
PO7-00652,Cessieux,Saint-Germain-les-Paroisses,01358,P06197431,DT01-02117,Cessieu,hameau,commune de Saint-Germain-les-Paroisses,01358,localisationco_fuzzy,,,,,
PO7-00652,Cessieux,Saint-Germain-les-Paroisses,01358,P01295185,DT01-04319,Essieu,hameau,commune de Saint-Germain-les-Paroisses,01358,localisationco_fuzzy,,,,,
PO7-00652,Cessieux,Saint-Germain-les-Paroisses,01358,P69018933,DT01-06723,Meyrieux,hameau,commune de Saint-Germain-les-Paroisses,01358,localisationco_fuzzy,,,,,
PO7-00653,Cessy,none,01071,,,,,,,nulle,Ain,01,Gex,dpt_exact,     Cessy     Ain     con de Gex       Sessie  capellanus  308 g  prior  304 e  332 a      Sessier  cura  361 b  curatus  336 d  prior  335 b  361 b    
PO7-00654,Cevins,none,73063,,,,,,,nulle,Savoie,73,Albertville,dpt_exact,     Cevins     Savoie     con d Albertville       Civinum  eccl   248 f    
PO7-00655,Ceyzerieu,none,01073,P86251289,DT01-07165,Mornieu,hameau,commune de Ceyzérieu,01073,communes_fuzzy,,,,,
PO7-00656,Chabeuil,none,26064,P87499214,DT26-02247,Chateaudouble,commune,canton de Chabeuil,26064,communes_fuzzy,,,,,
PO7-00656,Chabeuil,none,26064,P46668197,DT26-01935,Champferrier,quartier,commune de Chabeuil,26064,communes_fuzzy,,,,,
PO7-00656,Chabeuil,none,26064,P54327752,DT26-01866,Chambon,quartier,commune de Chabeuil,26064,communes_fuzzy,,,,,
PO7-00656,Chabeuil,none,26064,P26660506,DT26-01796,Chaffal,chef-lieu,village de la Vacherie,26064,communes_fuzzy,,,,,
PO7-00658,Chabons,none,38065,,,,,,,nulle,Isère,38,Grand-Lemps,dpt_exact,     Châbons     Isère     con du Grand Lemps       Chabanz  prior  275 e      Chabons  prior  293 d      Chanbonez  capellanus  293 g    
PO7-00659,Chabotte,Vif,38545,,,,,,,nulle,Isère,38,Vif,dpt_exact,     Chabotte     Isère     con de Vif     cne de Vif       Chabote  capellanus  398 a  eccl   375 a      Chabotes  capellanus  384 b    
PO7-00660,Chabreilles,Beaumont,07029,P17468049,DT07-13468,Christol,montagne,commune de Beaumont,07029,localisationco_fuzzy,,,,,
PO7-00660,Chabreilles,Beaumont,07029,P40077230,DT07-10344,Notre Dame Chabreilles,église,commune de Beaumont,07029,localisationco_fuzzy,,,,,
PO7-00660,Chabreilles,Beaumont,07029,P37443182,DT07-09563,Miaille,mas,commune de Beaumont,07029,localisationco_fuzzy,,,,,
PO7-00660,Chabreilles,Beaumont,07029,P63551879,DT07-02629,Chabreilles,hameau,commune de Beaumont,07029,localisationco_fuzzy,,,,,
PO7-00660,Chabreilles,Beaumont,07029,P82561397,DT07-05632,Fabre,mas,commune de Beaumont,07029,localisationco_fuzzy,,,,,
PO7-00660,Chabreilles,Beaumont,07029,P59135438,DT07-03371,Charnier,mas et ruisseau,commune de Beaumont,07029,localisationco_fuzzy,,,,,
PO7-00660,Chabreilles,Beaumont,07029,P61028133,DT07-03252,Chapieux,hameau,commune de Beaumont,07029,localisationco_fuzzy,,,,,
PO7-00660,Chabreilles,Beaumont,07029,P82219038,DT07-07438,Habitarelle,montagne,commune de Beaumont,07029,localisationco_fuzzy,,,,,
PO7-00660,Chabreilles,Beaumont,07029,P70585667,DT07-02396,Canaille,ruisseau,commune de Beaumont,07029,localisationco_fuzzy,,,,,
PO7-00660,Chabreilles,Beaumont,07029,P11839573,DT07-02630,Chabreilles,chapelle,commune de Beaumont,07029,localisationco_fuzzy,,,,,
PO7-00660,Chabreilles,Beaumont,07029,P28690944,DT07-02636,Chabreyre,quartier,commune de Beaumont,07029,localisationco_fuzzy,,,,,
PO7-00660,Chabreilles,Beaumont,07029,P24307460,DT07-02850,Chamblat,ruisseau,commune de Beaumont,07029,localisationco_fuzzy,,,,,
PO7-00661,Chabrillan,none,26065,P03856620,DT26-00451,Bariol,quartier,commune de Chabrillan,26065,communes_fuzzy,,,,,
PO7-00661,Chabrillan,none,26065,P11028847,DT26-10034,Chabrillan,ruisseau,commune de Chabrillan,26065,communes_fuzzy,,,,,
PO7-00661,Chabrillan,none,26065,P18096510,DT26-01792,Chabrillan,ruisseau,commune de Chabrillan,26065,communes_fuzzy,,,,,
PO7-00661,Chabrillan,none,26065,P47833958,DT26-10437,Martin,quartier,commune de Chabrillan,26065,communes_fuzzy,,,,,
PO7-00662,Chaffal,none,26066,,,,,,,nulle,Drôme,26,Chabeuil,dpt_exact,     Chaffal  le   auj  l Escoulin     Drôme     con de Chabeuil       Chafaldum  capellanus  431 f  prior  429 a      Chaffalum  prior  420 c      Chalfellutz  capellanus  417 c    
PO7-00663,Chaffois,none,25110,,,,,,,nulle,Doubs,25,Pontarlier,dpt_exact,     Chaffois     Doubs     con de Pontarlier       Chaffoy  capellanus  62 f  eccl   100 b      Chafois  eccl   24 h      Chaphai  eccl   8 a      Chaphay  8 var  e    
PO7-00664,Chagey,none,70116,,,,,,,nulle,Haute-Saône,70,Héricourt,dpt_exact,     Chagey     Haute Saône     con d Héricourt       Chargey  capellanus  59 g  eccl   94 e      Cherges  eccl   291    
PO7-00665,Chainaz,Chainaz-les-Frasses,74054,,,,,,,nulle,Haute-Savoie,74,Alby,dpt_exact,     Chainaz     Haute Savoie     con d Alby     cne de Chainaz les Frasses       Chenal  capellanus  317 a      Cheynas  cura  353 c      Cheynaz  capellanus  323 g    
PO7-00666,Chaise Dieu,none,43048,P84925431,DT43-01563,Cassiaux,écart,commune de la Chaise-Dieu,43048,communes_fuzzy,,,,,
PO7-00666,Chaise Dieu,none,43048,P93713714,DT43-02160,Chau,village,commune de la Chaise-Dieu,43048,communes_fuzzy,,,,,
PO7-00667,Chalais,Voreppe,38565,,,,,,,nulle,Isère,38,Voiron,dpt_exact,     Chalais     Isère     con de Voiron     cne de Voreppe       Calesium  abbas  384 c      Chalesium  prior  396 d    
PO7-00669,Chalancon,none,26067,P54630370,DT26-01844,Chamache,quartier,commune de Chalancon,26067,communes_fuzzy,,,,,
PO7-00669,Chalancon,none,26067,P92305196,DT26-04028,Echaillon,passage,commune de Chalancon,26067,communes_fuzzy,,,,,
PO7-00669,Chalancon,none,26067,P73138755,DT26-04263,Faucon,ferme et quartier,commune de Chalancon,26067,communes_fuzzy,,,,,
PO7-00670,Chalencon,none,07048,P66431881,DT07-03742,Chazalet,montagne,commune de Chalencon,07048,communes_fuzzy,,,,,
PO7-00670,Chalencon,none,07048,P74127703,DT07-02887,Chambonnet,mas,commune de Chalencon,07048,communes_fuzzy,,,,,
PO7-00670,Chalencon,none,07048,P75755356,DT07-03618,Chaumenas,hameau,commune de Chalencon,07048,communes_fuzzy,,,,,
PO7-00670,Chalencon,none,07048,P98555601,DT07-03513,Chateau,quartier,commune de Chalencon,07048,communes_fuzzy,,,,,
PO7-00671,Chaleyssin,Saint-Just-Chaleyssin,38408,,,,,,,nulle,Isère,38,Heyrieux,dpt_exact,     Chaleyssin     Isère     con d Heyrieux     cne de Saint Just Chaleyssin       Chalaysins  capellanus  282 d      Chaleyssinum  capellanus  290 c    
PO7-00672,Chaleze,none,25111,,,,,,,nulle,Doubs,25,Besançon,dpt_exact,     Chalèze     Doubs     con de Besançon       Chalese  eccl   14 f      Chalesia  capellanus  40 a      Chaleze  eccl   69 f    
PO7-00673,Chalezeule,none,25112,,,,,,,nulle,Doubs,25,Besançon,dpt_exact,     Chalezeule     Doubs     con de Besançon       Calisola  eccl   1 a      Chalesueles  eccl   26 a      Chalezeules  dominus  69 d    
PO7-00676,Challex,none,01078,P48935953,DT01-02539,Charmilles,maison isolée,commune de Challex,01078,communes_fuzzy,,,,,
PO7-00676,Challex,none,01078,P94462154,DT01-01932,Calvaire,hameau,commune de Chalex,01078,communes_fuzzy,,,,,
PO7-00677,Challonges,none,74055,,,,,,,nulle,Haute-Savoie,74,Seyssel,dpt_exact,     Challonges     Haute Savoie     con de Seyssel       Chalongium  capellanus  307 a  cura  352 i  curatus  340 e      Chalungium  capellanus  325 c    
PO7-00678,Chalon,none,26068,P02464943,DT26-01797,Chaffal,quartier,commune du Chalon,26068,communes_fuzzy,,,,,
PO7-00679,Chalon Saone,none,71076,P01213599,DT71-03443,Chalonnais,comté médiéval,Chalon-sur-Saône,71076,communes_fuzzy,,,,,
PO7-00679,Chalon Saone,none,71076,P69484988,DT71-04628,Chatelet,quartier,commune de Chalon-sur-Saône,71076,communes_fuzzy,,,,,
PO7-00679,Chalon Saone,none,71076,P36829468,DT71-19713,Vers Saone,lieu détruit,commune de Chalon-sur-Saône,71076,communes_fuzzy,,,,,
PO7-00679,Chalon Saone,none,71076,P16089391,DT71-03360,Chagnots,château,commune de Chalon-sur-Saône,71076,communes_fuzzy,,,,,
PO7-00680,Chalons,none,38066,,,,,,,nulle,Isère,38,Beaurepaire,dpt_exact,     Châlons     Isère     con de Beaurepaire       Chalon  capellanus  286 d      Eschalo  capellanus  296 d    
PO7-00681,Chalons Marne,none,51108,P97075626,DT51-04579,Moulins Porte Marne,,Châlons-sur-Marne,51108,communes_fuzzy,,,,,
PO7-00681,Chalons Marne,none,51108,P86487383,DT51-01489,Conde Marne,,canton de Châlons,51108,communes_fuzzy,,,,,
PO7-00681,Chalons Marne,none,51108,P37339863,DT51-00977,Chalonnais,ancien pagus ou comté dont le chef-lieu,Châlons-sur-Marne,51108,communes_fuzzy,,,,,
PO7-00682,Chalonvillars,none,70117,,,,,,,nulle,Haute-Saône,70,Héricourt,dpt_fuzzy,     Chalonvillars     Haute Saône     con d Héricourt       Chalonveler  eccl   34 f      Chalonviler  capellanus  60 a      Chalonvillers  eccl   95 c    
PO7-00683,Chamaloc,none,26069,P90060743,DT26-02206,Chateau,ruines,commune de Chamaloc,26069,communes_fuzzy,,,,,
PO7-00684,Chambalud,Bougé-Chambalud,38051,,,,,,,nulle,Isère,38,Roussillon,dpt_exact,     Chambalud     Isère     con de Roussillon     cne de Bougé Chambalud       Chambaluyse  prior  279 b      Chambelay  priorissa  295 c    
PO7-00686,Chamberia,none,39092,,,,,,,nulle,Jura,39,Orgelet,dpt_exact,     Chambéria     Jura     con d Orgelet       Chambarie  capellanus  43 d      Chambeirya  eccl   74 c    
PO7-00687,Chambery,none,73065,,,,,,,nulle,Savoie,73,none,dpt_exact,     Chambéry     Savoie       Cambariacum  capellanus  382 e  castrum  382 e  mensura  377 e  Sanctus Anthonius  hospitale  391 a  templum  391 b      Chambariacum  capella  370 b  376 c  capellanus  395 c  castellum  370 b  castrum  376 c  eccl   370 b      Chamberiacum  Sanctus Anthonius  preceptor  398 g      Chamberriacum  castrum  395 d    
