article_id,vedette,localisationco,insee_code,id,old-id,label,definition_typologie,definition_localisation,insee,method_dicotopo,localisationde,dpt_code,canton_code,method,reference
PO7-00032,Ainvelle,none,70008,,,,,,,nulle,Haute-Saône,70,Saint-Loup-sur-Semouse,dpt_exact,     Ainvelle     Haute Saône     con de Saint Loup sur Semouse       Aynvelle  eccl   87 d      Dainvilla  eccl   2 b      Denvile  eccl   33 b      Hainvilla  capellanus  53 e    
PO7-00033,Aire,none,NO,,,,,,,nulle,none,none,none,nodpt_fuzzy,     Aire  l       affluent de l Arve        Aeria  353 f    
PO7-00034,Aisey et Richecourt,none,70009,,,,,,,nulle,Haute-Saône,70,Jussey,dpt_exact,     Aisey et Richecourt     Haute Saône     con de Jussey       Aisey  eccl   87 b      Aizey  capellanus  54 f      Azeium  eccl   20 g    
PO7-00035,Aiton,none,73007,,,,,,,nulle,Savoie,73,Aiguebelle,dpt_exact,     Aiton     Savoie     con d Aiguebelle       Etho  capellanus  461 c  domus  463 c  prioratus  463 c      Eyto  prior  465 e      Oytho  curatus  467 h    
PO7-00036,Aix,none,26001,P51630925,DT26-07945,Pas Aix,passage,commune d’Aix,26001,communes_fuzzy,,,,,
PO7-00036,Aix,none,26001,P92767065,DT26-01820,Chaix,coteau,commune d’Aix,26001,communes_fuzzy,,,,,
PO7-00037,Aix Bains,none,73008,,,,,,,nulle,Savoie,73,none,dpt_exact,     Aix les Bains     Savoie     arr  de Chambéry       Aque  eccl   376 a  Sancta Maria  eccl   369 g  Sanctus Johannes  capella  369 g  capellanus  389 b  prior  385 c  394 g  Sanctus Paulus  eccl   370 a  prior  394 g  Sanctus Ypolitus  prior  385 b    
PO7-00038,Aizac,none,07003,P80071710,DT07-04157,Col Aizac,hameau,commune d’Aizac,07003,communes_fuzzy,,,,,
PO7-00038,Aizac,none,07003,P85107859,DT07-00118,Aizac,colline,commune d’Aizac,07003,communes_fuzzy,,,,,
PO7-00038,Aizac,none,07003,P24536754,DT07-00117,Aizac,montagne,commune d’Aizac,07003,communes_fuzzy,,,,,
PO7-00038,Aizac,none,07003,P08428048,DT07-04677,Coupe Aizac,montagne,commune d’Aizac,07003,communes_fuzzy,,,,,
PO7-00039,Ajoie,none,NO,,,,,,,nulle,none,none,none,nodpt_fuzzy,     Ajoie  l       doyenné du diocèse de Besançon        Agoia  7 var  d      Ajoya  decanatus  57 59  67 a  91 f      Ajuoia  decanatus  29      Anjoia  decanatus  22 d      Asjoya  archidiaconatus  7 b      Asyoya  ministerium  2 c      Aujoia  decanatus  34    
PO7-00040,Ajoux,none,07004,,,,,,,nulle,Ardèche,07,Privas,dpt_exact,     Ajoux     Ardèche     con de Privas       Ago  eccl   442 b      Ajao  456 c      Cf  Jorgao    
PO7-00041,Ajoye,none,NO,,,,,,,nulle,none,none,none,nodpt_fuzzy,     Ajoye  en all  Elsgau     doyenné du diocèse de Bâle      Elsgaudia  decanatus  188 189  211  222 223      Elsgowe  decanatus  150  156    
PO7-00042,Alaincourt,none,70010,,,,,,,nulle,Haute-Saône,70,Vauvillers,dpt_exact,     Alaincourt     Haute Saône     con de Vauvillers       Alaincour  capellanus  54 e      Alaincourt  eccl   87 d      Aleincort  eccl   21 c    
PO7-00043,Alaise,none,25223,,,,,,,nulle,Doubs,25,Amancey,dpt_fuzzy,     Alaise     Doubs     con d Amancey       Alaise  eccl   31 a  73 a      Alasia  eccl   2 d      Alesia  capellanus  42 g    
PO7-00044,Alba,none,07005,P56336813,DT07-00132,Albignac,château,commune d’Alba,07005,communes_fuzzy,,,,,
PO7-00045,Albane,none,73173,,,,,,,nulle,Savoie,73,Saint-Jean-de-Maurienne,dpt_fuzzy,     Albane     Savoie     con de Saint Jean de Maurienne       Albana  capellanus  460 b  curatus  466 d    
PO7-00046,Albenc,none,38004,,,,,,,nulle,Isère,38,Vinay,dpt_exact,     Albenc  l       Isère     con de Vinay       L Alben  capellanus  396 f      Albencium  eccl   400 a  capella Purgatorii  400 a      Albencum  368 a  Beata Maria  eccl   399 d    
PO7-00047,Albens,none,73010,,,,,,,nulle,Savoie,73,none,dpt_exact,     Albens     Savoie     arr  de Chambéry       Albencum  capellanus  325 f  cura  363 c  curatus  340 g      Herbens  capellanus  307 d    
PO7-00048,Alberges,Saint-Cassin,73228,,,,,,,nulle,Savoie,73,Chambéry,dpt_exact,     Alberges     Savoie     con de Chambéry     cne de Saint Cassin       Alberges  390 c      Alberge  capellanus  387 d  eccl   370 e    
PO7-00049,Albertville,none,73011,,,,,,,nulle,Savoie,73,none,dpt_exact,     Albertville     Savoie       Hospitalis prope Conflencium  eccl   249 d    
PO7-00051,Albiez Jeune,none,73012,,,,,,,nulle,Savoie,73,Saint-Jean-de-Maurienne,dpt_exact,     Albiez le Jeune     Savoie     con de Saint Jean de Maurienne       Albiacum Juvenis  capellanus  460 b  curatus  466 e      Albiciacum  prebenda  464 b    
PO7-00052,Albiez Vieux,none,73013,,,,,,,nulle,Savoie,73,Saint-Jean-de-Maurienne,dpt_fuzzy,     Albiez le Vieux     Savoie     con de Saint Jean de Maurienne       Albiacum vetus  capellanus  460 b  curatus  466 e    
PO7-00053,Alby,none,74002,,,,,,,nulle,Haute-Savoie,74,none,nulle,     Alby ou Alby sur Chéran     Haute Savoie     arr  d Annecy       Albiacum  304 c  352 k l  355 a  maladeria  353 j      Albie  347 e  348 c d      Albier  323 g      Albiez  322 b  323 b c  Sanctus Donatus  capellanus  313 h  323 c  cura  352 k  curatus  342 a  347 e  Sanctus Mauricius  Mauritius  capellanus  313 h  323 c  cura  352 l  355 a  curatus  342 c  348 d    
PO7-00054,Alencon,Roche-Saint-Secret,26276,P73164928,DT26-00086,Alencon,château ruiné,commune de la Roche-Saint-Secret,26276,localisationco_fuzzy,,,,,
PO7-00054,Alencon,Roche-Saint-Secret,26276,P34041280,DT26-01068,Blacons,anc. chapelle et cimetière,commune de la Roche-Saint-Secret,26276,localisationco_fuzzy,,,,,
PO7-00054,Alencon,Roche-Saint-Secret,26276,P66511519,DT26-00085,Alencon,hameau et château,commune de la Roche-Saint-Secret,26276,localisationco_fuzzy,,,,,
PO7-00054,Alencon,Roche-Saint-Secret,26276,P99318377,DT26-08690,Plan Blacons,ferme,commune de la Roche-Saint-Secret,26276,localisationco_fuzzy,,,,,
PO7-00054,Alencon,Roche-Saint-Secret,26276,P16682123,DT26-01069,Blacons,ferme,commune de la Roche-Saint-Secret,26276,localisationco_fuzzy,,,,,
PO7-00055,Alex,none,74003,,,,,,,nulle,Haute-Savoie,74,Annecy,dpt_exact,     Alex     Haute Savoie     con d Annecy       Alay  capellanus  313 e      Alaya  capellanus  323 a  curatus  341 f      Allaya  cura  352 g    
PO7-00056,Algolsheim,none,68001,,,,,,,nulle,Haut-Rhin,68,Neuf-Brisach,dpt_exact,     Algolsheim     Haut Rhin     con de Neuf Brisach       Altcolzhein  eccl   155 a    
PO7-00057,Alieze,none,39007,,,,,,,nulle,Jura,39,Orgelet,dpt_exact,     Alièze     Jura     con d Orgelet       Alesia  eccl   75 b      Aliuse  eccl   26 h      Allusia  capellanus  43 g    
PO7-00058,Alissas,none,07008,P30232241,DT07-00206,Anenias,mas,commune d’Alissas,07008,communes_fuzzy,,,,,
PO7-00059,Alixan,none,26004,P47875618,DT26-01085,Blancs,ferme,commune d’Alixan,26004,communes_fuzzy,,,,,
PO7-00062,Allemond,none,38005,,,,,,,nulle,Isère,38,Bourg-d’Oisans,dpt_exact,     Allemond     Isère     con du Bourg d Oisans       Alamo  eccl   379 c      Alemo  capellanus  381 c  Sanctus Nizesius  eccl   399 b      Lemo  capellanus  393 d    
PO7-00063,Allenjoie,none,25011,,,,,,,nulle,Doubs,25,Audincourt,dpt_exact,     Allenjoie     Doubs     con d Audincourt       Alenjoye  capellanus  59 d  eccl   66 d  95 a      Alomoia  7 var  c      Alomonia  7 var  c      Alongois  eccl   34 f      Alonjoia  eccl   7 b    
PO7-00064,Allevard,none,38006,,,,,,,nulle,Isère,38,none,dpt_exact,     Allevard     Isère     arr  de Grenoble       Alavardum  384 f  392 a  465 e  capellanus  382 c  394 f  hospitale Ierosolimitanum  391 a      Alavare  374 a  capella  374 b  Sanctus Marcellus de burgo  eccl   374 b    
PO7-00065,Alleves,none,74004,,,,,,,nulle,Haute-Savoie,74,Alby,dpt_exact,     Allèves     Haute Savoie     con d Alby       Aleves  cura  362 a      Alive  capellanus  313 h      Alleves  capellanus  324 d    
PO7-00066,Allex,none,26006,P17524868,DT26-00189,Argentelle,quartier,commune d’Allex,26006,communes_fuzzy,,,,,
PO7-00066,Allex,none,26006,P13731245,DT26-09438,Riaille,quartier,communes d'Allex et d'Eurre,26006,communes_fuzzy,,,,,
PO7-00066,Allex,none,26006,P53005828,DT26-09439,Riaille,ruisseau,communes d'Allex et d'Eurre,26006,communes_fuzzy,,,,,
PO7-00067,Allier,Bourg-Argental,42023,P68996303,DT42-11930,Tuiliere,hameau,commune de Bourg-Argental,42023,localisationco_fuzzy,,,,,
PO7-00067,Allier,Bourg-Argental,42023,P85641898,DT42-01969,Celle,maison isolée,commune de Bourg-Argental,42023,localisationco_fuzzy,,,,,
PO7-00067,Allier,Bourg-Argental,42023,P51211057,DT42-00349,Ballet,écart,Bourg-Argental,42023,localisationco_fuzzy,,,,,
PO7-00067,Allier,Bourg-Argental,42023,P99592084,DT42-03198,Colombier,,canton de Bourg-Argental,42023,localisationco_fuzzy,,,,,
