Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT43-02811,"Costebelle,",col,"
Alambre
",non,"
col, entre 
Alambre
 et le Mézenc, commune des Estables."
DT43-01716,"Chalet (Le),",,"
Alleret
",non,"à 
Alleret
, commune de Saint-Privat-du-Dragon."
DT43-06372,"Palet,",grange,"
Alleret
",non,"
grange d’
Alleret
, commune de Saint-Privat-du-Dragon."
DT43-01616,"Ceysse (La),",ruisseau,"
Augeac
",non,"
ruisseau, prend sa source à 
Augeac
, commune de Bains, traverse la commune de Ceyssac et se jette dans la Borne, en amont d’Espaly-Saint-Marcel."
DT43-03442,"Espalem (L’),",affluent,"
Bateau
",non,"
affluent de l’Allagnon au 
Bateau
, commune de Léotoing, prend naissance à Espalem."
DT43-02557,"Clergeat (Le),",affluent,"
Beauregard
",non,"
affluent de la Gazeille à 
Beauregard
, commune des Estables."
DT43-03874,"Font-Saint-Vosy,",,"
Bellevue
",non,"à 
Bellevue
, commune du Puy."
DT43-07506,"Rioutord (Le),",ruisseau,"
Bernarde
",non,"
ruisseau, affluent de la Borne, à la 
Bernarde
, commune d’Espaly-Saint-Marcel, prend sa source dans la commune de Sanssac-l’Église."
DT43-09247,"Vourzac (Le),",,"
Bœufs
",non,"prend sa source aux 
Bœufs
, commune de Bains, traverse la commune de Sanssac-l’Église et se jette dans la Borne près des Estreys, commune de Polignac."
DT43-03652,"Faye (La),",localité détruite,"
Bonnefont
",non,"
localité détruite, entre 
Bonnefont
 et les Couffours, commune de Saint-Front."
DT43-06676,"Pierre de Saint-Roch,",,"
Bournac
",non,"à 
Bournac
, commune de Saint-Front."
DT43-01105,"Borie (La),",quartier,"
Bouzols
",non,"
quartier de 
Bouzols
, commune de Coubon."
DT43-07976,"Sainte-Marguerite de la Séauve (Pierre de),",pèlerinage,"
Brosse
",non,"
pèlerinage, à la 
Brosse
, commune de Tence."
DT43-05405,"Martore,",lieu dit,"
Brunelet
",non,"
lieu dit, sous 
Brunelet
, commune de Brives-Charensac."
DT43-02534,"Clary (Le),",affluent,"
Chantel
",non,"
affluent de l’Allier à 
Chantel
, commune de Saint-Ilpize."
DT43-05472,"Massiac (Le),",affluent,"
Chapoule
",non,"
affluent de la Violette à la 
Chapoule
, commune de Grenier-Montgon, prend naissance dans la commune de Massiac (Cantal)."
