Vedette Longue (>30chars)
out:DT43-00458 Baraque-du-Bateau-d’Allier (La),
out:DT43-03700 Femme à la Chèvre (Pierres de la),
out:DT43-04419 Grange-Neuve-de-la-Fressange (La),
out:DT43-07976 Sainte-Marguerite de la Séauve (Pierre de),
out:DT43-07998 Saint-Geneys-près-Saint-Paulien,
out:DT43-08072 Saint-Paulien (Les Faubourgs de),
