article,output6.xml,DT07.xml
DT07-00002,commune de Désaignes.,commune de Desaignes.
DT07-00008,commune de La Chapelle-Graillouse.,commune de la Chapelle Graillouse.
DT07-00011,commune de Labastide-de-Virac.,commune de la Bastide de Virac.
DT07-00012,commune de Saint-Martin-d’Ardèche.,commune de St Martin d'Ardèche.
DT07-00013,commune de Bourg-Saint-Andéol.,commune de Bourg St Andéol.
DT07-00017,commune de Saint-Laurent-du-Pape,commune de St Laurent du Pape
DT07-00019,commune de Saint-Barthélemy-le-Pin.,commune de St Barthélémy le Pin.
DT07-00020,commune de Labastide-de-Juvinas.,commune de la Bastide de Juvinas.
DT07-00022,commune de Saint-Andéol-de-Berg,commune de St Andéol de Berg
DT07-00029,commune de Saint-Sauveur-de-Montagut,commune de St Sauveur de Montagut
DT07-00031,commune de Vallon-Pont-d’Arc.,commune de Vallon Pont d'Arc.
DT07-00032,commune de Saint-Montan.,commune de St Montan.
DT07-00038,commune de Boulieu-lès-Annonay.,commune de Boulieu les Annonay.
DT07-00040,commune de Saint-Félicien,commune de St Félicien
DT07-00050,commune de Saint-Apollinaire-de-Rias.,commune de St Apollinaire de Rias.
DT07-00051,commune de Saint-Barthélemy-le-Pin.,commune de St Barthélémy le Pin.
DT07-00052,commune de Saint-Joseph-des-Bancs.,commune de St Joseph des Bancs.
DT07-00053,commune de Saint-Martin-de-Valamas,commune de St Martin de Valamas
DT07-00054,commune de Saint-Mélany.,commune de St Mélany.
DT07-00057,commune de Sainte-Marguerite-Lafigère.,commune de Ste Marguerite Lafigère.
DT07-00059,commune de Vals-les-Bains.,commune de Vals.
DT07-00063,commune de La Souche.,commune de la Souche.
DT07-00064,commune de Saint-Alban-d’Ay,commune de St Alban d'Ay
DT07-00067,commune de Saint-Vincent-de-Barrès,commune de St Vincent de Barrès
DT07-00069,commune de Saint-Jean-de-Muzols.,commune de St Jean de Muzols.
DT07-00072,commune de Saint-Symphorien-de-Mahun,commune de St Symphorien de Mahun
DT07-00074,commune de Châteauneuf-de-Vernoux,commune de Châteauneuf de Vernoux
DT07-00075,commune de Saint-Remèze,commune de St Remèze
DT07-00076,commune de Saint-Sauveur-de-Cruzières.,commune de St Sauveur de Cruzières.
DT07-00077,commune de Saint-Genest-Lachamp,commune de St Genest Lachamp
DT07-00079,commune de Saint-Marcel-d’Ardèche.,commune de St Marcel d'Ardèche.
DT07-00082,commune de Saint-Julien-Labrousse,commune de St Julien Labrousse
DT07-00083,commune de Saint-Jean-de-Pourcharesse.,commune de St Jean de Pourcharesse.
DT07-00087,commune de Saint-Andéol-de-Vals,commune de St Andéol de Vals
DT07-00088,commune de La Souche.,commune de la Souche.
DT07-00091,commune de Sainte-Eulalie,commune de Ste Eulalie
DT07-00093,commune de Saint-Symphorien-sous-Chomérac,commune de St Symphorien sous Chomérac
DT07-00097,commune de Bourg-Saint-Andéol.,commune de Bourg St Andéol.
DT07-00107,commune de Bourg-Saint-Andéol,commune de Bourg St Andéol
DT07-00110,commune de Saint-André-de-Cruzières,commune de St André de Cruzières
DT07-00111,commune de Saint-Cirgues-en-Montagne,commune de St Cirgues en Montagne
DT07-00112,commune de Saint-Jean-Roure.,commune de St Jean Roure.
DT07-00113,commune de Sainte-Marguerite-Lafigère.,commune de Ste Marguerite Lafigère.
DT07-00114,commune de Vals-les-Bains,commune de Vals
DT07-00122,commune de Saint-Martin-sur-Lavezon.,commune de St Martin sur Lavezon.
DT07-00123,commune de Saint-Pierre-la-Roche,commune de St Pierre la Roche
DT07-00126,commune de Saint-Étienne-de-Lugdarès.,commune de St Étienne de Lugdarès.
DT07-00130,commune de Saint-Martin-de-Valamas,commune de St Martin de Valamas
DT07-00131,commune de Saint-Étienne-de-Lugdarès,commune de St Étienne de Lugdarès
DT07-00134,commune de Villeneuve-de-Berg,commune de Villeneuve de Berg
DT07-00135,canton de Saint-Pierreville,canton de St Pierreville
DT07-00136,commune de Saint-Julien-Labrousse.,commune de St Julien Labrousse.
DT07-00138,canton de Saint-Péray,canton de St Péray
DT07-00139,commune de Saint-Clément,commune de St Clément
DT07-00141,commune de Saint-Vincent-de-Barrès,commune de St Vincent de Barrès
DT07-00142,commune de Saint-Maurice-en-Chalencon.,commune de St Maurice en Chalencon.
DT07-00143,commune de Saint-Maurice-en-Chalencon,commune de St Maurice en Chalencon
DT07-00144,commune de Saint-Martin-d’Ardèche,commune de St Martin d'Ardèche
DT07-00145,commune de Saint-Symphorien-sous-Chomérac.,commune de St Symphorien sous Chomérac.
DT07-00146,commune de Colombier-le-Vieux,commune de Colombier le Vieux
DT07-00147,commune de Colombier-le-Vieux.,commune de Colombier le Vieux.
DT07-00155,commune de Saint-Cierge-sous-le-Cheylard,commune de St Cierge sous le Cheylard
DT07-00156,commune de Saint-Michel-de-Chabrillanoux,commune de St Michel de Chabrillanoux
DT07-00157,commune de Désaignes,commune de Desaignes
DT07-00158,commune de Saint-Julien-Boutières,commune de St Julien Boutières
DT07-00159,commune de Saint-Sauveur-de-Montagut,commune de St Sauveur de Montagut
DT07-00160,commune de Saint-Victor,commune de St Victor
DT07-00161,commune de La Rochette,commune de la Rochette
DT07-00171,commune de Saint-Agrève.,commune de St Agrève.
DT07-00175,commune de Saint-Jean-de-Pourcharesse.,commune de St Jean de Pourcharesse.
DT07-00177,commune de Saint-Thomé,commune de St Thomé
DT07-00181,commune de Saint-Julien-du-Gua.,commune de St Julien du Gua.
DT07-00182,commune de Saint-Martin-de-Valamas,commune de St Martin de Valamas
DT07-00187,commune de Saint-Martin-sur-Lavezon,commune de St Martin sur Lavezon
DT07-00188,commune de Saint-Félicien,commune de St Félicien
DT07-00189,commune de Saint-Péray,commune de St Péray
DT07-00193,commune de Saint-Étienne-de-Serre.,commune de St Étienne de Serre.
DT07-00197,commune de Saint-Lager-Bressac,commune de St Lager Bressac
DT07-00199,commune de Saint-Andéol-de-Vals.,commune de St Andéol de Vals.
DT07-00200,commune de Sainte-Eulalie.,commune de Ste Eulalie.
DT07-00201,commune de Saint-Étienne-de-Boulogne.,commune de St Étienne de Boulogne.
DT07-00207,commune de Saint-Pierreville,commune de St Pierreville
DT07-00210,commune de Saint-Julien-Vocance,commune de St Julien Vocance
DT07-00214,commune de Saint-Étienne-de-Lugdarès.,commune de St Étienne de Lugdarès.
DT07-00217,commune de La Chapelle-Graillouse.,commune de la Chapelle Graillouse.
DT07-00225,commune de Saint-Laurent-les-Bains,commune de St Laurent les Bains
DT07-00230,commune de Saint-Pierre-la-Roche,commune de St Pierre la Roche
DT07-00231,commune d’Usclades-et-Rieutord.,commune d'Usclades.
DT07-00232,commune de Saint-Germain,commune de St Germain
DT07-00236,commune de Saint-Jean-Chambre.,commune de St Jean Chambre.
DT07-00237,commune de La Rochette.,commune de la Rochette.
DT07-00239,commune de Saint-Barthélemy-le-Meil,commune de St Barthélémy le Meil
DT07-00244,commune de La Chapelle-sous-Aubenas.,commune de la Chapelle sous Aubenas.
DT07-00248,commune de Saint-Étienne-de-Boulogne,commune de St Étienne de Boulogne
DT07-00249,commune de Saint-Julien-en-Saint-Alban.,commune de St Julien en St Alban.
DT07-00250,commune de Saint-Andéol-de-Berg.,commune de St Andéol de Berg.
DT07-00251,commune de Boucieu-le-Roi.,commune de Boucieu le Roi.
DT07-00252,commune de Saint-Germain.,commune de St Germain.
DT07-00255,canton de Saint-Martin-de-Valamas,canton de St Martin de Valamas
DT07-00260,commune de Villeneuve-de-Berg,commune de Villeneuve de Berg
DT07-00265,commune de Vallon-Pont-d’Arc,commune de Vallon Pont d'Arc
DT07-00266,commune de Lachamp-Raphaël,commune de Lachamp Raphael
DT07-00267,commune de Saint-Julien-Labrousse.,commune de St Julien Labrousse.
DT07-00268,commune de La Rochette,commune de la Rochette
DT07-00270,commune de Saint-Jean-le-Centenier.,commune de St Jean le Centenier.
DT07-00271,commune de Saint-Martin-d’Ardèche.,commune de St Martin d'Ardèche.
DT07-00273,commune de Bourg-Saint-Andéol,commune de Bourg St Andéol
DT07-00275,commune de Villeneuve-de-Berg,commune de Villeneuve de Berg
DT07-00276,commune de Saint-Vincent-de-Barrès.,commune de St Vincent de Barrès.
DT07-00282,commune de Saint-Étienne-de-Lugdarès.,commune de St Étienne de Lugdarès.
DT07-00284,canton de Saint-Félicien,canton de St Félicien
DT07-00287,commune de Saint-Barthélemy-le-Pin,commune de St Barthélémy le Pin
DT07-00290,commune de Vals-les-Bains,commune de Vals
DT07-00292,commune de Saint-Martin-de-Valamas,commune de St Martin de Valamas
DT07-00302,commune de Saint-Michel-de-Chabrillanoux,commune de St Michel de Chabrillanoux
DT07-00306,commune de Saint-Agrève.,commune de St Agrève.
DT07-00307,commune de Saint-Jean-Roure.,commune de St Jean Roure.
DT07-00308,commune de Saint-Apollinaire-de-Rias,commune de St Apollinaire de Rias
DT07-00309,commune de Saint-Vincent-de-Barrès.,commune de St Vincent de Barrès.
DT07-00312,commune de Cellier-du-Luc,commune de Cellier du Luc
DT07-00315,commune de Saint-Julien-Vocance.,commune de St Julien Vocance.
DT07-00316,commune de Saint-Thomé,commune de St Thomé
DT07-00318,commune de Saint-Remèze,commune de St Remèze
DT07-00321,commune de Sainte-Eulalie,commune de Ste Eulalie
DT07-00322,commune de Saint-Pierre-de-Colombier,commune de St Pierre de Colombier
DT07-00326,commune de Saint-Péray,commune de St Péray
DT07-00327,commune de Saint-Thomé.,commune de St Thomé.
DT07-00328,commune de Saint-Montan,commune de St Montan
DT07-00331,commune de Saint-Romain-d’Ay,commune de St Romain d'Ay
DT07-00333,commune de Lafarre.,commune de la Farre.
DT07-00335,commune de Sagnes-et-Goudoulet.,commune de Sagnes et Goudoulet.
DT07-00338,commune de Saint-Privat.,commune de St Privat.
DT07-00339,commune de Saint-Agrève,commune de St Agrève
DT07-00346,commune de Saint-Agrève,commune de St Agrève
DT07-00358,commune de Saint-Basile.,commune de St Basile.
DT07-00359,commune de Bourg-Saint-Andéol,commune de Bourg St Andéol
DT07-00360,commune de Saint-Pierre-la-Roche,commune de St Pierre la Roche
DT07-00361,commune de Vals-les-Bains.,commune de Vals.
DT07-00365,commune de Gilhac-et-Bruzac,commune de Gilhac et Bruzac
DT07-00366,commune de Sagnes-et-Goudoulet.,commune de Sagnes et Goudoulet.
DT07-00368,commune de Saint-Basile.,commune de St Basile.
DT07-00373,commune de Saint-Julien-du-Gua,commune de St Julien du Gua
DT07-00374,commune de Saint-Barthélemy-le-Pin,commune de St Barthélémy le Pin
