ID	NomCommune	NomNormalise	NomCanton	INSEE	NCC
DT22-00131	Loguivy-Plougras	LOGUIVY-PLOUGRAS		22131	LOGUIVY-PLOUGRAS
DT22-00132	Lohuec	LOHUEC		22132	LOHUEC
DT22-00133	Loscouët-sur-Meu	LOSCOUET-SUR-MEU		22133	LOSCOUET-SUR-MEU
DT22-00134	Louannec	LOUANNEC		22134	LOUANNEC
DT22-00135	Louargat	LOUARGAT		22135	LOUARGAT
DT22-00136	Loudéac	LOUDEAC		22136	LOUDEAC
DT22-00137	Maël-Carhaix	MAEL-CARHAIX		22137	MAEL-CARHAIX
DT22-00138	Maël-Pestivien	MAEL-PESTIVIEN		22138	MAEL-PESTIVIEN
DT22-00139	Magoar	MAGOAR		22139	MAGOAR
DT22-00141	Mantallot	MANTALLOT		22141	MANTALLOT
DT22-00143	Matignon	MATIGNON		22143	MATIGNON
DT22-00145	Mégrit	MEGRIT		22145	MEGRIT
DT22-00146	Mellionnec	MELLIONNEC		22146	MELLIONNEC
DT22-00147	Merdrignac	MERDRIGNAC		22147	MERDRIGNAC
DT22-00148	Mérillac	MERILLAC		22148	MERILLAC
DT22-00149	Merléac	MERLEAC		22149	MERLEAC
DT22-00151	Meslin	MESLIN		22151	MESLIN
DT22-00152	Minihy-Tréguier	MINIHY-TREGUIER		22152	MINIHY-TREGUIER
DT22-00153	Moncontour	MONCONTOUR		22153	MONCONTOUR
DT22-00154	Morieux	MORIEUX		22154	MORIEUX
DT22-00156	Moustéru	MOUSTERU		22156	MOUSTERU
DT22-00158	Mûr-de-Bretagne	MUR-DE-BRETAGNE		22158	MUR-DE-BRETAGNE
DT22-00160	Noyal	NOYAL		22160	NOYAL
DT22-00161	Pabu	PABU		22161	PABU
DT22-00162	Paimpol	PAIMPOL		22162	PAIMPOL
DT22-00163	Paule	PAULE		22163	PAULE
DT22-00164	Pédernec	PEDERNEC		22164	PEDERNEC
DT22-00165	Penguily	PENGUILY		22165	PENGUILY
DT22-00166	Penvénan	PENVENAN		22166	PENVENAN
DT22-00167	Perret	PERRET		22167	PERRET
DT22-00168	Perros-Guirec	PERROS-GUIREC		22168	PERROS-GUIREC
DT22-00169	Peumerit-Quintin	PEUMERIT-QUINTIN		22169	PEUMERIT-QUINTIN
DT22-00170	Plaine-Haute	PLAINE-HAUTE		22170	PLAINE-HAUTE
DT22-00171	Plaintel	PLAINTEL		22171	PLAINTEL
DT22-00172	Plancoët	PLANCOET		22172	PLANCOET
DT22-00173	Planguenoual	PLANGUENOUAL		22173	PLANGUENOUAL
DT22-00174	Pléboulle	PLEBOULLE		22174	PLEBOULLE
DT22-00175	Plédéliac	PLEDELIAC		22175	PLEDELIAC
DT22-00176	Plédran	PLEDRAN		22176	PLEDRAN
DT22-00177	Pléguien	PLEGUIEN		22177	PLEGUIEN
DT22-00178	Pléhédel	PLEHEDEL		22178	PLEHEDEL
DT22-00179bis	Fréhel	FREHEL		22179	FREHEL
DT22-00180	Plélan-le-Petit	PLELAN-LE-PETIT		22180	PLELAN-LE-PETIT
DT22-00181	Plélauff	PLELAUFF		22181	PLELAUFF
DT22-00182	Plélo	PLELO		22182	PLELO
DT22-00183	Plémet	PLEMET		22183	PLEMET
DT22-00184	Plémy	PLEMY		22184	PLEMY
DT22-00185	Plénée-Jugon	PLENEE-JUGON		22185	PLENEE-JUGON
DT22-00186	Pléneuf-Val-André	PLENEUF-VAL-ANDRE		22186	PLENEUF-VAL-ANDRE
DT22-00187	Plérin	PLERIN		22187	PLERIN
DT22-00188	Plerneuf	PLERNEUF		22188	PLERNEUF
DT22-00189	Plésidy	PLESIDY		22189	PLESIDY
DT22-00190	Pleslin-Trigavou	PLESLIN-TRIGAVOU		22190	PLESLIN-TRIGAVOU
DT22-00191	Plessala	PLESSALA		22191	PLESSALA
DT22-00192	Plessix-Balisson	PLESSIX-BALISSON		22192	PLESSIX-BALISSON
DT22-00193	Plestan	PLESTAN		22193	PLESTAN
DT22-00194	Plestin-les-Grèves	PLESTIN-LES-GREVES		22194	PLESTIN-LES-GREVES
DT22-00195	Pleubian	PLEUBIAN		22195	PLEUBIAN
DT22-00196	Pleudaniel	PLEUDANIEL		22196	PLEUDANIEL
DT22-00197	Pleudihen-sur-Rance	PLEUDIHEN-SUR-RANCE		22197	PLEUDIHEN-SUR-RANCE
DT22-00198	Pleumeur-Bodou	PLEUMEUR-BODOU		22198	PLEUMEUR-BODOU
