article,output6.xml,DT55.xml
DT55-01082,commune de Froidos.,commune de Froidos>.
DT55-01350,commune de Saint-Jean-lez-Buzy.,commune de Saint Jean-lez-Buzy         .
DT55-01732,Nasium à Gravelotte et à Metz de ., de Nasium à Gravelotte et à Metz.
DT55-02147,commune de Burey-la-Côte.,commune de Beurey-la-Côte         .
DT55-02546,"communes d’Étain, Ménil-sur-Saulx, Moulotte, Pareid, Remennecourt, Vaudeville, Viéville.","communes d'Etain, Ménil-sur-Saulx, Moulotte, Pareid, Remennecourt, Vaudeville, Viéville."
DT55-02989,commune de Vaudoncourt.,commune de Vandoncourt         .
DT55-03550,commune d’Hannonville-sous-les-Côtes.,commune d'Annonville-sous-les-Côtes         .
DT55-03612,commune de Nixéville.,commune de Néxéville         .
DT55-03787,Creue.,            Creüe         .
DT55-04345,"communes de Broussey-en-Blois et de Vaucouleurs ; voie antique, dite aussi ","communes de Boussey-en-Blois et de Vaucouleurs ; voie antique, dite aussi "
DT55-04691,"territoires de Villeroy, Vaucouleurs, Chalaines, Rigny-Saint-Martin, Rigny-la-Salle  et Quatre-Vaux.","territoires de Villeroy, Vaucouleurs, Chalaines, les Rigny et Quatre-Vaux."
DT55-05081,commune de Burey-en-Vaux.,commune de Beurey-en-Vaux         .
DT55-05174,"étangs de la Grande et de la Petite-Parrois, à la sortie desquels il prend le nom de ","étangs de la Grande et de la Petite Parrois, à la sortie desquels il prend le nom de "
DT55-05360,territoire de Drillancourt.,commune de Drillancourt         .
DT55-05588,"communes de Damvillers, Foameix, Hannonville-sous-les-Côtes, Laimont, Mangiennes, Manheulles, Montfaucon, Stenay, Trémont, Varennes et Waly.","communes de Damvillers, Foameix, Hannonville-sous-les-Côtes, Laimont, Mangiennes, Menheulles, Montfaucon, Stenay, Trémont, Varennes et Waly."
DT55-05612,"Vacon et se jette dans la Meholle, après un cours de 3 kilomètres.","Vâcon et se jette dans la Meholle, après un cours de 3 kilomètres."
DT55-05951,Vacon.,            Vâcon         .
DT55-06002,commune de Flassigny ; cimetière antique.,commune de Flossigny          ; cimetière antique.
