article,output6.xml,DT24.xml
DT24-00034,commune de Sainte-Aulaye (B.).,commune de Saint-Aulaye          (B.).
DT24-00298,canton de Neuvic.,canton de Neuvie.
DT24-00337,commune de Saint-Germain-du-Salembre.,commune de Saint-Jean-du-Salembre         .
DT24-00355,commune de Lamothe-Montravel (B.).,commune de Monravel          (B.).
DT24-00457,commune de Champagnac-de-Belair.,commune de Champagnac         .
DT24-00589,commune de Sainte-Aulaye (B.).,commune de Saint-Aulaye          (B.).
DT24-00691,commune de Fougueyrolles.,commune de Fouguerolles         .
DT24-00881,commune de Champagnac-de-Belair.,commune de Champagnac         .
DT24-01014,commune de Sainte-Aulaye (B.).,commune de Saint-Aulaye          (B.).
DT24-01132,commune de Champagnac-de-Belair.,commune de Champagnac-de-Bel-Air         .
DT24-01135,commune de Champagnac-de-Belair.,commune de Champagnac         .
DT24-01660,commune de Champagnac-de-Belair.,commune de Champagnac-de-Bel-Air         .
DT24-01867,commune de Saint-Antoine-de-Breuilh.,commune de Saint-Antoine-de-Breuil         .
DT24-02197,commune de Fougueyrolles.,commune de Fauguerolles         .
DT24-02262,canton de Champagnac-de-Belair (B.).,canton de Champagnac (B.).
DT24-02283,commune de Saint-Antoine-de-Breuilh.,commune de Saint-Antoine-de-Breuil         .
DT24-02337,"commune de Saint-Antoine-de-Breuilh, ","commune de Saint-Antoine-de-Breuil         , "
DT24-02440,commune de Champagnac-de-Belair.,commune de Champagnac         .
DT24-02492,commune de Saint-Laurent-des-Hommes (cad.).,commune de Saint-Laurent des Hommes          (cad.).
DT24-02681,commune de Sainte-Aulaye (B.).,commune de Saint-Aulaye          (B.).
DT24-02693,commune de Larzac.,commune de Larsac         .
DT24-02736,commune de Larzac.,commune de Larsac         .
DT24-02930,commune de Fougueyrolles (B.).,commune de Fauguerolles          (B.).
DT24-02933,canton de Champagnac-de-Belair.,canton de Champagnac.
DT24-03339,commune de Coulaures (A. Jud.).,commune de Conlaures          (A. Jud.).
DT24-03395,commune de Sainte-Aulaye (B.).,commune de Saint-Aulaye          (B.).
DT24-03512,commune de Saint-Antoine-de-Breuilh (S. Post.).,commune de Saint-Antoine-de-Breuil          (S. Post.).
DT24-03526,canton de Sainte-Aulaye.,canton de Saint-Aulaye.
DT24-03657,commune de Gabillou (S. Post.).,commune de Gabillon          (S. Post.).
DT24-03696,canton de Champagnac-de-Belair.,canton de Champagnac.
DT24-03785,commune de Saint-Antoine-Cumond.,commune de Miran         .
DT24-03897,commune de Ribérac.,commune de Saint-Martial-de-Drone         .
DT24-04040,canton de Sainte-Aulaye.,canton de Saint-Aulaye.
DT24-04101,commune de Ribérac.,commune de Saint-Martial-de-Ribérac         .
DT24-04413,commune de Saint-Martin-le-Pin.,commune de Saint-Martin-le-Petit         .
DT24-04441,commune de Saint Saint-Martin-des-Combes (A. Jud.).,commune de Saint Martin-des-Combes          (A. Jud.).
DT24-04585,commune de Fougueyrolles (A. Jud.).,commune de Fouguerolles          (A. Jud.).
DT24-04609,canton de Champagnac-de-Belair.,canton de Champagnac.
DT24-04612,"commune de Saint-Antoine-de-Breuilh 
         ",commune de Saint-Antoine-du-Breuil                   
DT24-04635,commune de Fougueyrolles (A. Jud.).,commune de Fauguerolles          (A. Jud.).
DT24-04666,commune de Champagnac-de-Belair (A. Jud.).,commune de Champagnac-de-Bel          (A. Jud.).
DT24-04856,"commune de Champagnac-de-Belair ?
         
      ",commune de Champagnac ?               
DT24-04879,"Bouillac, Saint-Avit-Rivière, Montferrand, l'Espinassette, Saint-Sernin-des-Fossés, Banes, Bayac, et se jette dans la Dordogne après avoir traversé le ","Bouillac, Saint-Avit-Rivière, Montferrand, l'Espinassette, St-Sernin-des-Fossés, Banes, Bayac, et se jette dans la Dordogne après avoir traversé le "
DT24-04919,commune de Prigonrieu.,commune de Prigourieu         .
DT24-04987,canton de Saint-Antoine-de-Breuilh (S. Post.).,canton de Saint-Antoine (S. Post.).
DT24-05133,commune de Le Lardin-Saint-Lazare.,commune de Bersac-Beauregard         .
DT24-05230,"commune de Saint-Antoine-de-Breuilh, ","commune de Saint-Antoine         , "
DT24-05265,commune de Saint-Germain-et-Mons.,commune de Saint-Germain et Mons         .
DT24-05315,Saint-Avit-Senieur.,            Saint-Avit-Sénieur         .
DT24-05890,commune de Sainte-Natalène (cad.).,commune de Natalène          (cad.).
DT24-06064,commune de Gabillou (A. Jud.).,commune de Gabillon          (A. Jud.).
DT24-06255,commune de Le Lardin-Saint-Lazare.,commune de Bersac-Terrasson         .
DT24-06280,près de Saint-Antoine-Cumond.,près de Miran         .
DT24-06803,commune de Gabillou.,commune de Gabillon         .
DT24-07256,commune de Saint-Médard-d’Excideuil.,commune de Gandumas         .
DT24-07294,commune de Saint-Martial-de-Viveyrol (B.).,commune de Saint-Martin-de-Viveyrol          (B.).
DT24-07724,Borreze dans le ruisseau de ce nom.,Borrèze dans le ruisseau de ce nom.
DT24-07932,commune de Saint-Antoine-de-Breuilh.,commune de Saint-Antoine-de-Breuil         .
DT24-08056,commune de Le Lardin-Saint-Lazare.,commune de Bersac-Beauregard         .
DT24-08061,commune de Ribérac.,commune de Saint-Martial-de-Drone         .
DT24-08490,commune de Lenquais. (terr.).,commune de Lenq. (terr.).
DT24-08980,commune de Prigonrieu.,commune de Prigourdeu         .
DT24-08987,Saint-Avit-Senieur.,            Saint-Avit-Sénieur         .
DT24-09290,commune de Champagnac-de-Belair.,commune de Champagnac-de-Bel-Air         .
DT24-09446,commune de Saint-Jory-de-Chalais (S. Post.).,commune de Jory-de-Chalais          (S. Post.).
DT24-09496,commune de Ribérac.,commune de Saint-Martial-de-Drone         .
DT24-09913,commune de Salignac.,commune de Salaignac         .
DT24-10068,"commune de Le Lardin-Saint-Lazare 
         ",commune de Bersat-Beauregard                   
DT24-10473,commune de Le Lardin-Saint-Lazare.,commune de Bersat-Beauregard         .
DT24-10504,commune de Campagne.,commune de Campagnet         .
DT24-10560,commune de Champagnac-de-Belair (B.).,commune de Champagnac-de-Belvez          (B.).
DT24-10684,commune de Clermont-de-Beauregard (B.).,commune de Clermont-de-Beaurey          (B.).
DT24-11528,commune de Ribérac.,commune de Saint-Martin-de-Drone         .
DT24-11679,commune de Simeyrols (B.).,commune de Cimeyrol          (B.).
DT24-11731,commune de Champagnac-de-Belair.,commune de Champagnac         .
DT24-11834,commune de Mouzens (B.).,commune de Mou          (B.).
DT24-12299,commune de Saint-Antoine-de-Breuilh (B.).,commune de Saint-Antoine-de-Breuil          (B.).
DT24-12394,commune de Le Lardin-Saint-Lazare.,commune de Bersat-Beauregard         .
DT24-12427,auprès de Ribérac (B.).,auprès de Saint-Martial-de-Drone (B.).
DT24-12499,commune d’Augignac.,commune d'Angignac         .
DT24-12512,commune de Gabillou.,commune de Gabillon         .
DT24-12640,commune de Gabillou (terr. de Vaudre).,commune de Gabillon          (terr. de Vaudre).
DT24-13098,Negrondes.,            Négrondes         .
DT24-13145,"commune de Saint-Antoine-de-Breuilh, ","commune de Saint-Antoine         , "
DT24-13658,commune de Champagnac-de-Belair.,commune de Champagnac-de-Bel-Air         .
DT24-13903,commune de Gabillou.,commune de Gabillon         .
DT24-14052,commune de Savignac-Miremont.,commune de Savignac-de-Mireu         .
DT24-14139,commune de Champagnac-de-Belair.,commune de Champagnac         .
DT24-14241,commune de Salignac (S. Post.).,commune de Salaignac          (S. Post.).
DT24-14261,Saint-Germain-des-Pres et afflue à la Loue.,Saint-Germain-des-Prés et afflue à la Loue.
DT24-14297,commune de Larzac.,commune de Larzat         .
DT24-14674,"Saint-Priest-les-Fougeres, forme le vallon où se trouve ","            Saint-Priest-les-Fougères         , forme le vallon où se trouve "
DT24-14751,commune de Saint-Antoine-de-Breuilh.,commune de Saint-Antoine-de-Breuil         .
DT24-14878,Chanterac et se jette dans le Salembre un peu ,            Chantérac          et se jette dans le Salembre un peu 
DT24-14917,commune de Saint-Antoine-de-Breuilh.,commune de Saint-Antoine-du-Breuil         .
DT24-15007,commune de Champagnac-de-Belair.,commune de Champagnac-de-Bel-Air         .
DT24-15020,commune de Saint-Martial-de-Viveyrol (B.).,commune de Saint-Martin-de-Viveyrol          (B.).
DT24-15163,"commune de Connezac (Chapelle, Bell.).","commune de Conazac          (Chapelle, Bell.)."
DT24-15207,commune de Prigonrieu (A.J.).,commune de Prigourieu          (A.J.).
DT24-15336,canton de Champagnac-de-Belair.,canton de Champagnac.
DT24-15462,commune de Saint-Antoine-de-Breuilh.,commune de Saint-Antoine-de-Breuil         .
DT24-15485,Velines.,            Vélines         .
DT24-15548,"Tremolac, aujourd'hui en ruine.","            Trémolac         , aujourd'hui en ruine."
DT24-15550,"près de la chaussée du Périgueux, à ","près de la chaussée du Pont-Neuf         , à "
DT24-15838,canton de Champagnac-de-Belair.,canton de Champagnac.
DT24-15877,canton de Champagnac-de-Belair ?,canton de Champagnac ?
DT24-16117,commune de Gabillou (S. Post.).,commune de Gabillon          (S. Post.).
DT24-16161,commune de Fougueyrolles.,commune de Fouqueyrolles         .
DT24-16236,commune de Champagnac-de-Belair.,commune de Champagnac         .
DT24-16395,commune de Saint-Perdoux (S. Post.).,commune de Saint-Pardoux-d'Issigeac          (S. Post.).
DT24-16795,commune de Saint-Perdoux (S. Post.).,commune de Saint-Pardoux-Issigeac          (S. Post.).
DT24-17060,"commune de Larzac 
         ",commune de Larzat                   
DT24-17268,Sainte-Natalene.,            Sainte-Natalène         .
DT24-17445,commune de Saint-Antoine-de-Breuilh (S. Post.).,commune de Saint-Antoine-de-Breuil          (S. Post.).
DT24-17546,commune de Romain (S. Post.).,commune de Saint-Romain-Saint-Pardoux-la-Rivière          (S. Post.).
DT24-17719,canton de Champagnac-de-Belair.,canton de Champagnac.
DT24-17842,commune de Larzac (E.M.).,commune de Larsac          (E.M.).
DT24-17932,commune de la Motte-Monravel (B.).,commune de la Mothe-Mont-Caret          (B.).
DT24-17936,commune de Champagnac-de-Belair.,commune de Champagnac         .
DT24-18260,commune de Saint-Martial-de-Valette (E.M.).,commune de Saint-Martin-de-Valette          (E.M.).
DT24-18284,commune de Naussanes.,commune de Naussances         .
DT24-18289,commune de Champagnac-de-Belair.,commune de Champagnac         .
