Article,Vedette,Definition,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT37-00282,"Archers (le lieu des),","près du Vau-d’Enfer et du ruisseau de l’Étang, commune de Langeais.",Vau-d’Enfer
DT37-00310,Arènes (le lieu des).,"Un acte de 1740 donne ce nom à trois arpents de terre situés dans l’ancienne commune de Saint-Étienne-lez-Tours, près du pavé conduisant de Tours à Saint-Avertin.",Saint-Étienne-lez-Tours
DT37-00317,"Argenterie (Vinea apud),","près de la Roche, paroisse de Chanceaux-sur-Choisille (1469).",Roche
DT37-00342,"Arnière (l’),","ferme, commune de Marigny.",Marigny
DT37-00343,"Arnon (l’),","ferme, commune de la Celle-Guenand.",Celle-Guenand
DT37-00345,"Arpensais,","ferme, commune de la Celle-Guenand.",Celle-Guenand
DT37-00351,"Arrêté (bois de l’),","commune de Perrusson, près du Grand-Cormier.",Grand-Cormier
DT37-00356,"Artais (le lieu des),","commune de Savigny, près des moulins de Veaux.",Veaux
DT37-00360,"Arthèses (le lieu des),","commune de Saint-Germain-sur-Vienne, près du chemin de la Gaudrée à Saint-Germain.",Gaudrée
DT37-00365,"Asdillière (moulin de l’),",commune de Couesmes.,Couesmes
DT37-00366,Asdillière ou Ardillière (ruisseau de l’).,"Prend sa source dans la commune de Sonzay, arrose les communes de Brèches, de Couesmes et de Villiers-au-Boin, et se jette dans la Fare.",Brèches
DT37-00366,Asdillière ou Ardillière (ruisseau de l’).,"Prend sa source dans la commune de Sonzay, arrose les communes de Brèches, de Couesmes et de Villiers-au-Boin, et se jette dans la Fare.",Couesmes
DT37-00376,"Ateliers (les), ou Ateliers-des-Juliens,",paroisse de Cinq-Mars.,Cinq-Mars
DT37-00415,"Aubigny (ruisseau d’),","prend sa source dans la paroisse de Loché, près de la Perreterie, et passe dans la commune de Chemillé-sur-Indrois, où il se joint au ruisseau des étangs de Villiers, au lieu appelé la Taille-du-Bois-aux-Bœufs.",Perreterie
DT37-00430,"Aubinière (les landes de l’),","commune de Continvoir, situées près de l’étang de la Douce.",Douce
DT37-00436,"Aubœufs (le lieu des),","près de Bournigal, commune de Chemillé-sur-Indrois.",Bournigal
DT37-00448,"Aubrière (étang de l’),","dans la forêt de Brouard, commune d’Orbigny.",Brouard
DT37-00454,"Aubuis (le lieu des),","près de Saint-Louans, commune de Chinon.",Saint-Louans
