article,output6.xml,DT21.xml
DT21-00132,"Epoisses 
         ",            Époisses                   
DT21-00163,"commune de Gurgy-le-Château, arrose les territoires de Gurgy-la-Ville, des Goulles, quitte la Côte-d’Or par le territoire de Lignerolles et se jette dans l’Aube à Dancevoir (Haute-Marne).","commune de Gurgy-le-Château)         , arrose les territoires de Gurgy-la-Ville, des Goulles, quitte la Côte-d'Or par le territoire de Lignerolles et se jette dans l'Aube à Dancevoir (Haute-Marne)."
DT21-00316,"commune de Marey-sur-Tille
          
         ",commune de Marey sur-Tille                   
DT21-00324,commune de Dijon.,commune de Dijon)         .
DT21-00639,commune de Bure-les-Templiers.,commune de Bure-les Templiers         .
DT21-00875,canton de Fontaine-Française.,canton de Fontaine Française.
DT21-00958,"Brémur-et-Vaurois, canton de Châtillon-sur-Seine.","commune de Brémur-et-Vaurois, canton de Châtillon-sur-Seine."
DT21-01287,commune de Saint-Martin-de-la-Mer.,commune de Saint-Martin de la Mer         .
DT21-01595,près de Chaugey.,près de Changey         .
DT21-01620,"commune d’Aiserey, au finage de Potangy ","commune d'Aisey         , au finage de Potangy "
DT21-02083,commune de Concœur-et-Corboin.,commune de Concœur         .
DT21-02343,"Dampierre-et-Flée, canton de Fontaine-Française.","commune de Dampierre-et-Flée, canton de Fontaine-Française."
DT21-02682,commune de Saint-Nicolas.,commune de Saint Nicolas         .
DT21-02837,"communes d’Antigny-la-Ville, de Bèze, de la Chaume-lez-Baigneux 
         ","communes d'Antigny-la Ville, de Bèze, de la Chaume-lez-Baigneux          "
DT21-03336,près de Romanée.,près de Romanay         .
DT21-03635,"Echannay 
         ",            Échannay                   
DT21-03737,"communes de Diénay, de Villecomte et d’Épagny.","communes de Diénay, de Villecomte et d'Épailly."
DT21-04053,commune de Corgoloin.,commune de Gorgoloin         .
DT21-04254,canton de Vitteaux.,commune de Vitteaux         .
DT21-04315,Memont pour chef-lieu.,            Mémont          pour chef-lieu.
DT21-04453,"commune de la Roche-en-Brenil, érigé en ","commune de la Roche-en Brenil         , érigé en "
DT21-04511,"communes de Poiseul-lez-Saulx, de Diénay et de Vernot.","communes de Poiseul-lez-Saulx, de Diénav et de Vernot."
DT21-04872,commune de Thoires.,commune de Thoirey         .
DT21-04973,"Chateauneuf 
         ",            Châteauneuf                   
DT21-05230,"près de Meursauges, ou commune de Bellenot-sur-Origny.","près de Meursauges), ou commune de Bellenot-sur-Origny         ."
DT21-07211,commune de Villaines-en-Duesmois.,commune de Villaines-en Duesmois         .
DT21-07235,Epoisses.,            Époisses         .
DT21-07392,commune de Moloy.,commune de Molay         .
