article_id,vedette,vedette_orig,localisationde,dpt_code,canton_code,localisationco,localisationco_orig,NCCENR_orig,insee_code,method,reference
PO9-04763,Sauxillanges,Sauxillanges,Puy-de-Dôme,63,Issoire,none,none,Sauxillanges,Sauxillanges (63415),dpt_exact,     Sauxillanges     Puy de Dôme     con d Issoire     arrt d Issoire       Calsinie  prior  201 a  b      Celsinie  200 b  238 c  archipresbiteratus  198 201  225 226  237  cellerarius  225 e  curatus  226 a  prior  200 b  225 d  237 b  259 a  sacrista  225 f  Sanctus Martinus  200 b      Salcinie  prior  259 a  b      Selcinie  prior  camerarius  259 a  monasterium  261 c      Sarcinie  prior  205 c    
PO9-04767,Savennes,Savennes,Puy-de-Dôme,63,Bourg-Lastic,none,none,Savennes,Savennes (63416),dpt_exact,     Savennes     Puy de Dôme     con de Bourg Lastic       Savena  prior  222 d      Sevena  166 c    
PO9-04828,Sermentizon,Sermentizon,Puy-de-Dôme,63,Courpière,none,none,Sermentizon,Sermentizon (63418),dpt_exact,     Sermentizon     Puy de Dôme     con de Courpière       Charmantasos  193 b      Sermentazo  curatus  217 c    
PO9-04835,Servant,Servant,Puy-de-Dôme,63,Menat,none,none,Servant,Servant (63419),dpt_exact,     Servant     Puy de Dôme     con de Menat       Servant  170 c    
PO9-04848,Seychalles,Seychalles,Puy-de-Dôme,63,Lezoux,none,none,Seychalles,Seychalles (63420),dpt_exact,     Seychalles     Puy de Dôme     con de Lezoux       Seschala  191 b    
PO9-04854,Singles,Singles,Puy-de-Dôme,63,Tauves,none,none,Singles,Singles (63421),dpt_exact,     Singles     Puy de Dôme     con de Tauves       Sengles  166 b    
PO9-04861,Solignat,Solignat,Puy-de-Dôme,63,Issoire,none,none,Solignat,Solignat (63422),dpt_exact,     Solignat     Puy de Dôme     con d Issoire       Solinhat  154 g  203 c    
PO9-04903,Sugeres,Sugères,Puy-de-Dôme,63,Saint-Dier-d’Auvergne,none,none,Sugères,Sugeres (63423),dpt_exact,     Sugères     Puy de Dôme     con de Saint Dier d Auvergne       Saugeyras  194 c    
PO9-04917,Tallende,Tallende,Puy-de-Dôme,63,Veyre-Monton,none,none,Tallende,Tallende (63425),dpt_exact,     Tallende     Puy de Dôme     con de Veyre Monton       Talenda major  154 a      Talende supra Talende  205 a      Talenda minor  154 b      Thalande le Meneur  205 a    
PO9-04929,Tauves,Tauves,Puy-de-Dôme,63,Issoire,none,none,Tauves,Tauves (63426),dpt_exact,     Tauves     Puy de Dôme     con d Issoire     arrt d Issoire       Talvas  166 b      Talvae  prior  234 c    
PO9-04936,Teilhede,Teilhède,Puy-de-Dôme,63,Combronde,none,none,Teilhède,Teilhede (63427),dpt_exact,     Teilhède     Puy de Dôme     con de Combronde       Teilheda  prior  241 a      Telhedes  179 a      Telleda  prior  220 c    
