article_id,vedette,vedette_orig,localisationco,localisationco_orig,NCCENR_orig,insee_code,id,old-id,label,definition_typologie,definition_localisation,insee,method_dicotopo,localisationde,dpt_code,canton_code,method,reference
PO9-00001,Abbas,Abbas,Druelle,Druelle,Druelle,Druelle (12090),,,,,,,nulle,Aveyron,12,Rodez,dpt_exact,     Abbas     Aveyron     con de Rodez     cne de Druelle       Abbas  rectoria  302 a      Acbassium  291 b    
PO9-00002,Abbaye Nouvelle,Abbaye[-Nouvelle],Leobard,Léobard,Léobard,Leobard (46169),,,,,,,nulle,Lot,46,Salviac,dpt_exact,     Abbaye  Nouvelle   L       Lot     con de Salviac     cne de Léobard       Abbacia Nova  abbas  411 f  441 c    
PO9-00003,Abeille,Abeille,Chalus,Châlus,Châlus,Chalus (87032),,,,,,,nulle,Haute-Vienne,87,Châlus,dpt_exact,     Abeille  L       Haute Vienne     con de Châlus     cne de Châlus       Apis  prepositus  499 e    
PO9-00004,Abjat,Abjat,none,none,,Abjat Bandiat (24001) - Abjat-sur-Bandiat,,,,,,,nulle,Dordogne,24,Nontron,dpt_fuzzy,     Abjat     Dordogne     con de Nontron       Abgat  capellanus  500 a    
PO9-00005,Abloux,Abloux,Saint Gilles,Saint-Gilles,Saint-Gilles,Saint Gilles (36196),,,,,,,nulle,Indre,36,Saint-Benoît-du-Sault,dpt_exact,     Abloux     Indre     con de Saint Benoît du Sault     cne de Saint Gilles       Ablour  vicarius  88 a    
PO9-00006,Abrest,Abrest,none,none,Abrest,Abrest (03001),,,,,,,nulle,Allier,03,Vichy,dpt_exact,     Abrest     Allier     con de Vichy       Abret  185 c    
PO9-00007,Abzac,Abzac,none,none,Abzac,Abzac (16001),,,,,,,nulle,Charente,16,Confolens-sud,dpt_exact,     Abzac     Charente     con de Confolens sud       Azacus  capellanus  502 g    
PO9-00008,Acheres,Achères,none,none,Achères,Acheres (18001),,,,,,,nulle,Cher,18,Henrichemont,dpt_exact,     Achères     Cher     con d Henrichemont       Acherie  prior  59 e  prioratus  109 e    
PO9-00009,Affieux,Affieux,none,none,Affieux,Affieux (19001),,,,,,,nulle,Corrèze,19,Treignac,dpt_exact,     Affieux     Corrèze     con de Treignac       Affiou  var  Affieu   capellanus  494 b    
PO9-00010,Agen,Agen,none,none,Agen,Agen (47001),,,,,,,nulle,Lot-et-Garonne,47,none,dpt_exact,     Agen     Lot et Garonne       Agennense  capitulum  474 a    
PO9-00011,Agen Aveyron,Agen-d’Aveyron,none,none,Agen-d'Aveyron,Agen d Aveyron (12001),,,,,,,nulle,Aveyron,12,Pont-de-Salars,dpt_exact,     Agen d Aveyron     Aveyron     con de Pont de Salars       Agen  prioratus  rectoria Sancti Juliani  302 a      Agenium  325    
PO9-00012,Aglan,Aglan,Soturac,Soturac,Soturac,Soturac (46307),,,,,,,nulle,Lot,46,Puy-l’Évêque,dpt_exact,     Aglan     Lot     con de Puy l Évêque     cne de Soturac       Glan  436 c  capellanus  409 d    
PO9-00013,Agnat,Agnat,none,none,Agnat,Agnat (43001),,,,,,,nulle,Haute-Loire,43,Auzon,dpt_exact,     Agnat     Haute Loire     con d Auzon       Aunhiacus  curatus  267 e    
PO9-00014,Agonges,Agonges,none,none,Agonges,Agonges (03002),,,,,,,nulle,Allier,03,Souvigny,dpt_exact,     Agonges     Allier     con de Souvigny       Agongia  114 b  capellanus  36 a  88 f      Anonges  149 f    
PO9-00015,Agres,Agrès,Saint Parthem,Saint-Parthem,Saint-Parthem,Saint Parthem (12240),,,,,,,nulle,Aveyron,12,Decazeville,dpt_exact,     Agrès     Aveyron     con de Decazeville     cne de Saint Parthem       Agretz  285 h  298 d  cura  302 a    
PO9-00016,Agudour,Agudour,Voutezac,Voutezac,Voutezac,Voutezac (19288),,,,,,,nulle,Corrèze,19,Juillac,dpt_exact,     Agudour     Corrèze     con de Juillac     cne de Voutezac       Agudunum  523 d    
PO9-00017,Ahun,Ahun,none,none,Ahun,Ahun (23001),,,,,,,nulle,Creuse,23,Guéret,dpt_exact,     Ahun     Creuse     con de Guéret     arrt de Guéret       Ageduni castrum  capellanus  521 a  prior  481 b    
PO9-00018,Aigueperse,Aigueperse,Arrenes,Arrènes,Arrènes,Arrenes (23006),,,,,,,nulle,Creuse,23,Bénévent-l’Abbaye,dpt_exact,     Aigueperse     Creuse     con de Bénévent l Abbaye     cne d Arrènes       Aquasparsa  capellanus  522 f    
PO9-00019,Aigueperse,Aigueperse,none,none,Aigueperse,Aigueperse (63001),,,,,,,nulle,Puy-de-Dôme,63,Riom,dpt_exact,     Aigueperse     Puy de Dôme     con de Riom     arrt de Riom       Aquasparsa  capitulum  232 a  collegium  214 d  curatus  169 c  215 b  vicarius  169 c    
PO9-00020,Aigueperse,Aigueperse,Saint Bonnet Briance,Saint-Bonnet-Briance,Saint-Bonnet-Briance,Saint Bonnet Briance (87138),,,,,,,nulle,Haute-Vienne,87,Pierre-Buffière,dpt_exact,     Aigueperse     Haute Vienne     con de Pierre Buffière     cne de Saint Bonnet Briance       Aquasparsa  capellanus  498 b    
PO9-00021,Aiguilhe,Aiguilhe,none,none,Aiguilhe,Aiguilhe (43002),,,,,,,nulle,Haute-Loire,43,none,dpt_exact,     Aiguilhe     pic au Puy      Haute Loire       Sanctus Michael d Agulhe  capelle Sancti Clari de Aculea  Sancti Gabrielis  577 b    
PO9-00022,Aigurande,Aigurande,none,none,Aigurande,Aigurande (36001),,,,,,,nulle,Indre,36,La Châtre,dpt_exact,     Aigurande     Indre     con de La Châtre     arrt de La Châtre       Aguranda  5 a  110 f  capellanus  66 c      Agurande  146 a  vicaria  prior Beate Marie  5 a      Ayguranda  capellanus  48 f    
PO9-00023,Ainay Chateau,Ainay-le-Château,none,none,Ainay-le-Château,Ainay le Chateau (03003),,,,,,,nulle,Allier,03,Cérilly,dpt_exact,     Ainay le Château     Allier     con de Cérilly       Ainay Castellum  152 g      Aynayum  capellanus  79 c  vicarius  94 b      Ainayum Castri  capellanus  30 g  prioratus  21 j  prior  30 g      Anayum Castri  prioratus  31 b      Aynayum Castri  prior  93 g  vicarius Sancti Petri  94 c      Ynayum Castri  parochia Sancti Stephani  122 e  prioratus  122 f    
PO9-00024,Ainay Vieil,Ainay-le-Vieil,none,none,Ainay-le-Vieil,Ainay le Vieil (18002),,,,,,,nulle,Cher,18,Saulzais-le-Potier,dpt_exact,     Ainay le Vieil     Cher     con de Saulzais le Potier       Aisnay le Vieil  152 h      Aneyum Vetus  capellanus  29 g      Aynayum Vetus  capellanus  80 c      Ynayum Vetus  123 c    
PO9-00025,Aix,Aix,none,none,Aix,Aix (19002),,,,,,,nulle,Corrèze,19,Eygurande,dpt_exact,     Aix     Corrèze     con d Eygurande       Ayez  capellanus  487 c    
PO9-00026,Aix Angillon,Aix-d’Angillon,none,none,Aix-d'Angillon,Aix d Angillon (18003),,,,,,,nulle,Cher,18,Bourges,dpt_exact,     Aix d Angillon  Les      Cher     con de Bourges     arrt de Bourges       Aie  prior et capitulum  37 f  72 h  73 a  b  g  h      Aie Gillonis  capitulum  137 e  138 e      Aye  capitulum  23 d    
PO9-00027,Aixe Vienne,Aixe-sur-Vienne,none,none,Aixe-sur-Vienne,Aixe sur Vienne (87001),,,,,,,nulle,Haute-Vienne,87,Limoges,dpt_exact,     Aixe sur Vienne     Haute Vienne     con de Limoges     arrt de Limoges       Axia  capellanus  499 b  prior  499 b  518 a  helemosinarius  518 c    
PO9-00028,Aix Fayette,Aix-la-Fayette,none,none,Aix-la-Fayette,Aix la Fayette (63002),,,,,,,nulle,Puy-de-Dôme,63,Saint-Germain-l’Herm,dpt_exact,     Aix la Fayette     Puy de Dôme     con de Saint Germain l Herm       Ailhs  prior  225 f      Ayz  200 a    
PO9-00029,Aize,Aize,none,none,Aize,Aize (36002),,,,,,,nulle,Indre,36,Vatan,dpt_exact,     Aize     Indre     con de Vatan       Aises  126 a      Aizie  capellanus  42 e      Ayres  143 h      Azie  capellanus  70 e    
PO9-00030,Ajain,Ajain,none,none,Ajain,Ajain (23002),,,,,,,nulle,Creuse,23,Guéret,dpt_exact,     Ajain     Creuse     con de Guéret       Ajainh  prior et capellanus  511 e    
PO9-00031,Alayrac,Alayrac,Espalion,Espalion,Espalion,Espalion (12096),,,,,,,nulle,Aveyron,12,Espalion,dpt_exact,     Alayrac     Aveyron     con d Espalion     cne d Espalion       Alayrac  prioratus  303 a      Alayracus  281 c  296 a    
PO9-00032,Alayrac,Alayrac,Vindrac Alayrac,Vindrac-Alayrac,Vindrac-Alayrac,Vindrac Alayrac (81320),,,,,,,nulle,Tarn,81,Cordes,dpt_exact,     Alayrac     Tarn     con de Cordes     cne de Vindrac Alayrac       Alayrac  recteur  384 c      Alairacus  358 f      Aleyracus  370 b    
PO9-00033,Albagnac,Albagnac,Sauveterre Aveyron,Sauveterre-d’Aveyron,,12262,,,,,,,nulle,Aveyron,12,Sauveterre-d’Aveyron,nulle,     Albagnac     Aveyron     con de Sauveterre d Aveyron     cne de Sauveterre d Aveyron       Albanhac  308 d  prioratus et rectoria  302 b      Albanhacus  281 f  289 g    
PO9-00034,Alban,Alban,none,none,Alban,Alban (81003),,,,,,,nulle,Tarn,81,Albi,dpt_exact,     Alban     Tarn     con d Albi     arrt d Albi       Alban  claverie  387 388  prieuré  vicairie perpétuelle  387 a      Albanium  360 f      Albannium  367 c  prior  374 a    
PO9-00035,Albaret Comtal,Albaret-le-Comtal,none,none,Albaret-le-Comtal,Albaret le Comtal (48001),,,,,,,nulle,Lozère,48,Fournels,dpt_exact,     Albaret le Comtal     Lozère     con de Fournels       Albaret le Contal  prieuré Saint Flour  cure  559 c      Albaret lo Comptal  537 f      Albaretum Commitale  547 e    
