Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT27-00610	Becthomas,	Amfreville	non		
DT27-00717	Bersise,	Amfreville	non		
DT27-01506	Bourgtheroulde (Canton de),	Amfreville	non		
DT27-04517	Fouqueville,	Amfreville	non		
DT27-05250	Grostheil,	Amfreville	non		
DT27-05469	Harengère (La),	Amfreville	non		
DT27-05633	Haye-du-Theil (La),	Amfreville	non		
DT27-05834	Houlbec-près-le-Grostheil,	Amfreville	non		
DT27-06460	Louviers (Canton de),	Amfreville	non		
DT27-06643	Mandeville,	Amfreville	non		
DT27-07490	Monts-le-Comte (Forêt des),	Amfreville	non		
DT27-09089	Pyle (La),	Amfreville	non		
DT27-09670	Saint-Amand-des-Hautes-Terres,	Amfreville	non		
DT27-09784	Saint-Cyr-la-Campagne,	Amfreville	non		
DT27-09802	Saint-Didier-des-Bois,	Amfreville	non		
DT27-09871	Saint-Germain-de-Pasquier,	Amfreville	non		
DT27-10120	Saint-Mélain-du-Bosc,	Amfreville	non		
DT27-10172	Saint-Nicolas-du-Bosc,	Amfreville	non		
DT27-10189	Saint-Ouen-de-Pontcheuil,	Amfreville	non		
DT27-10248	Saint-Pierre-des-Cercueils,	Amfreville	non		
DT27-10250	Saint-Pierre-du-Boscguérard,	Amfreville	non		
DT27-10699	Thuit-Anger (Le),	Amfreville	non		
DT27-10701	Thuit-Signol (Le),	Amfreville	non		
DT27-10702	Thuit-Simer (Le),	Amfreville	non		
DT27-10807	Tourville (Canton de),	Amfreville	non		
DT27-10809	Tourville-la-Campagne,	Amfreville	non		
DT27-11621	Vraiville,	Amfreville	non		
DT27-00733	Berville-la-Campagne,	Beaumont	non		
DT27-01599	Bray,	Beaumont	non		
DT27-03769	Écardenville-la-Campagne,	Beaumont	non		
DT27-04292	Fontaine-la-Soret,	Beaumont	non		
DT27-04969	Goupillières,	Beaumont	non		
DT27-04997	Grammont (Saint-Étienne de),	Beaumont	non		
DT27-05219	Grosley,	Beaumont	non		
DT27-05858	Houssaye (La),	Beaumont	non		
DT27-06178	Launay,	Beaumont	non		
DT27-08395	Perriers-la-Campagne,	Beaumont	non		
DT27-09483	Rouge-Perriers,	Beaumont	non		
DT27-10060	Sainte-Marguerite-en-Ouche,	Beaumont	non		
DT27-10177	Sainte-Opportune-du-Bosc,	Beaumont	non		
DT27-09448	Rose (Rond de la),	Bizy	27681		
DT27-10525	Souci (Le),	Bizy	27681		
DT27-00173	Arcoussis (Les)	Bleu	non		
DT27-01967	Bulletons (Les),	Bleu	non		
DT27-02094	Calletots (Les),	Bleu	non		
DT27-02879	Clos-Paris,	Bleu	non		
DT27-03007	Coquereaumont,	Bleu	27533		
DT27-04927	Godebran,	Bleu	non		
DT27-05359	Haincrote,	Bleu	non		
DT27-05711	Héronnerie (La),	Bleu	non		
DT27-07406	Mont Gobren,	Bleu	non		
DT27-08334	le Petit),	Bleu	non		
DT27-10644	Tête-au-Prêtre (La),	Bleu	non		
DT27-11043	Val-Crespin,	Bleu	non		
DT27-11080	Val-Gorren,	Bleu	non		
DT27-11148	Vallée-Aullier,	Bleu	non		
DT27-11195	Val-le-Roy,	Bleu	non		
DT27-11235	Val-Richard (Le),	Bleu	non		
DT27-11439	Vieil-Vyvier,	Bleu	non		
DT27-01164	Bonport (La Haye de),	Bord	non		
DT27-06721	Marasse (La),	Bord	non		
DT27-11016	Val-à-Loup (Le),	Bord	non		
DT27-03406	Creusemare,	Bosc	non		
DT27-08037	Notre-Dame-de-Pitié,	Bosc	non		
DT27-05702	Prieuré de Saint-Maur,	Brotonne	non		
DT27-05860	Houssaye (La),	Brotonne	non		
DT27-07498	Mor (Haye du),	Brotonne	non		
DT27-10110	l’Ermitage,	Brotonne	non		
