article,output6.xml,DT30.xml
DT30-00008,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-00053,commune de Saint-Mamert.,commune de Saint-Mamet         .
DT30-00492,"commune d’Aigues-Mortes, aujourd'hui détruite.","commune d'Aiguesmortes         , aujourd'hui détruite."
DT30-00506,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-00671,commune de Saint-Mamert.,commune de Saint-Mamet         .
DT30-00797,commune de Sagriès.,commune de Sagriers         .
DT30-00826,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-00892,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-00912,commune de Laudun.,commune de Landun         .
DT30-00961,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-00988,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-01021,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-01048,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-01102,commune de Saint-Mamert.,commune de Saint-Mamet         .
DT30-01127,"commune de Saint-Mamert, aujourd'hui détruite.","commune de Saint-Mamet         , aujourd'hui détruite."
DT30-01221,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-01239,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-01351,commune d’Aigues-Mortes.,"commune d'Aiguesmortes, avec celui de Mauguio (Hérault)         ."
DT30-01368,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-01601,commune de Sainte-Cécile-d’Andorge.,commune de Sainte-Cécil-d'Andorge         .
DT30-01662,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-01663,"commune d’Aigues-Mortes, aujourd'hui détruite.","commune d'Aiguesmortes         , aujourd'hui détruite."
DT30-01888,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-01898,territoire d’Aigues-Mortes.,territoire d'Aiguesmortes.
DT30-01935,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-02022,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-02030,territoire de la commune de la Vic-le-Fesq.,territoire de la commune de Vic-le-Fesq.
DT30-02041,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-02086,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-02165,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-02170,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-02192,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-02238,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-02345,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-02368,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-02452,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-02471,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-02488,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-02679,commune de Villevieille.,commune de Vellevieille         .
DT30-02728,commune de Saint-Mamert.,commune de Saint-Mamet         .
DT30-02800,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-02995,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03009,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03012,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03014,"commune d’Aigues-Mortes, près de la chaussée de ","commune d'Aiguesmortes         , près de la chaussée de "
DT30-03159,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03160,"commune d’Aigues-Mortes, embouchure du Rhône-Mort.","commune d'Aiguesmortes         , embouchure du Rhône-Mort."
DT30-03201,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03219,commune de Saint-Mamert.,commune de Saint-Mamet         .
DT30-03224,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03231,commune de Saint-Mamert.,commune de Saint-Mamet         .
DT30-03335,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03337,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03351,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03352,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03358,commune de Saint-Mamert.,commune de Saint-Mamet         .
DT30-03392,"commune d’Aigues-Mortes, aujourd'hui détruite.","commune d'Aiguesmortes         , aujourd'hui détruite."
DT30-03537,commune de Saint-Mamert.,commune de Saint-Mamet         .
DT30-03538,territoire de la commune de Saint-Mamert.,territoire de la commune de Saint-Mamet.
DT30-03561,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03605,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03686,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03703,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03723,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03771,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-03774,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04094,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04126,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04148,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04208,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04220,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04227,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04258,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04272,commune de Sainte-Croix-de-Caderle.,commune de Saint-Croix-de-Caderle         .
DT30-04287,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04448,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04483,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04493,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04505,commune de Saint-Mamert.,commune de Saint-Mamet         .
DT30-04592,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04731,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04766,"commune de Balmelles (Lozère), sert de limite entre le Gard et la Lozère et se jette dans le Chassezac sur le ","commune de Balmelle          (Lozère), sert de limite entre le Gard et la Lozère et se jette dans le Chassezac sur le "
DT30-04781,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04911,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04971,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04985,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-04992,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-05049,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
DT30-05050,commune d’Aigues-Mortes.,commune d'Aiguesmortes         .
