,DT_input,DT_output(CF)
place(article),3926,3926
place.label(//vedette/sm),4190,4190
place.label(//sm) > 30,344,344
place.commune_insee_code(//insee),732,735
place.localization_commune_insee_code(//commune/@insee),2605,4705
codes insee non résolu(//commune[@insee='article_not_found']),154,0
place_comment.content (//commentaire),910,910
place_old_label (//forme_ancienne),6151,6151
place_description.content (//definition),3867,3867
place_feature_type.term(//typologie),2737,2737
place sans forme ancienne(//article[not(forme_ancienne)]) – total,2692,2692
place sans forme ancienne(//article[not(forme_ancienne)]) – %,0.6856851757514009,0.6856851757514009
article sans id (//article[not(@id)]),0,0
