Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT37-19307	Paradis (le lieu de),	Poitevinière	non		
DT37-01876	Berger (la taille du),	Poivrie	non		
DT37-12199	Gibaults (le lieu des),	Poizay	non		
DT37-10501	Fontaine-d’Angé (la), ou Fontaine-en-Dangé,	Poizay-le-Joli	86183		
DT37-12947	Grange (la),	Poizay-le-Joli	86183		
DT37-23221	Roche-Saint-Sulpice (la),	Poizay-le-Joly	86183		
DT37-18507	Mousseaux,	Poizay-le-Joly	86183		
DT37-21608	Pouzardière (la),	Poizay-le-Joly	86183		
DT37-15310	Landes (le lieu des),	Poizay-le-Joly	86183		
DT37-19131	Ouches (les),	Poizay-le-Joly	86183		
DT37-20491	Pin (le),	Poizay-le-Joly	86183		
DT37-17629	Monceaux, ou Mousseaux,	Poizay-le-Joly	86183		
DT37-23716	Ruau (le),	Poizay-le-Joly	86183		
DT37-07557	Clos-Jaunais (le lieu du),	Pommardière	non		
DT37-11027	Fosses-Rouges (le lieu des),	Pommeraye	non		
DT37-04122	Brilla (le lieu de),	Pommeraye	non		
DT37-25213	Toulon (bois de),	Pommier	non		
DT37-02270	Bisseuil (le lieu de),	Ponant	non		
DT37-08128	Côtes-de-Verrière (le lieu des),	Ponçay	non		
DT37-10223	Fief (la croix du),	Ponçay	non		
DT37-22801	Richemond (la dîme de),	Ponçay	37148		
DT37-21129	Pont (la métairie du),	Pont	non		
DT37-11898	Gaudasserie (le lieu de la),	Pont	non		
DT37-22128	Quelay (le lieu de),	Pont	non		
DT37-21144	Pont (la fontaine du),	Pont	non		
DT37-08661	Croix-Bardin (la),	Pont-au-Derouet	non		
DT37-18110	Mortier-Renaut (le lieu du),	Pont-Bidon	non		
DT37-08823	Croix-du-Gros-Fouteau (la),	Pont-Boutard	non		
DT37-08764	Croix-de-Lambinière (le lieu de la),	Pont-de-Gruteau	non		
DT37-21012	Poiriers (le lieu des),	Pont-Gauthier	non		
DT37-03837	Saint-Branchs (ruisseau de).	Pont-Germain	non		
DT37-08017	Corvas (le lieu des),	Pont-Joubert	non		
DT37-08918	Croix-Rocheron (le lieu de la),	Pont-Mallet	non		
DT37-18311	Moulin-à-Vent (le lieu du),	Pont-Neuf	non		
DT37-03110	Borde (le bois de la),	Pont-Pierre	non		
DT37-03183	Bordes (les Grandes et les Petites-),	Pontlevoy	41180		
DT37-02837	Bois-Roger,	Pontlevoy	41180		
DT37-16071	Mairé,	Pontlevoy	41180		
DT37-20492	Pin (le),	Pontlevoy	41180		
DT37-15220	Laleu, ou Lalleu,	Pontlevoy	41180		
DT37-04117	Brigaudières (le lieu des),	Pontreau	non		
DT37-19194	Pain-Béni (le lieu du),	Pontreau	non		
DT37-05161	Cassotte (le lieu de la),	Popluru	non		
DT37-07970	Cornaux (le lieu des),	Popluru	non		
DT37-11385	Frillouses (le lieu des),	Porcherie	non		
DT37-14431	Houssardières (le lieu des),	Porcherieux	non		
DT37-01713	Bellevault (le Grand-),	Pornay	37182	Pernay	
DT37-01683	Belle-Fontaine,	Porrets	non		
DT37-21106	Ponceau (le lieu du),	Port-Balby	non		
DT37-27050	Viviers (le lieu des),	Port-Balby	non		
DT37-14733	Jahan (la boire),	Port-Buron	non		
DT37-18126	Mortiers (le lieu des),	Port-Charbonnier	non		
DT37-06874	Cher (le Petit-),	Port-Cordon	non		
DT37-21643	Pré-Civier (le lieu de),	Port-des-Trains	non		
DT37-18117	Mortiers (le lieu des),	Port-Genièvre	non		
DT37-24309	Sept-Jeux (le lieu des),	Port-Guiot	non		
DT37-00859	Barbottes (le lieu des),	Port-Guyet	non		
DT37-07322	Saint-Claude (prairie de),	Port-Guyot	non		
DT37-17212	Mériaux (le lieux des),	Porte	non		
DT37-08125	Coteroge (le lieu de),	Porte	non		
DT37-23579	Rouis (le lieu de),	Porte	non		
DT37-26127	Vau (le lieu du),	Porte	non		
DT37-20419	Pigourie (le lieu de la),	Porteau	non		
DT37-01139	Bastonelle (le lieu de la),	Portes	non		
DT37-05682	Champ-de-la-Motte (le lieu du),	Portes	non		
DT37-13386	Grosse-Borne (le lieu de la),	Poste	non		
DT37-23928	Sablonnières (le lieu des),	Poste	non		
DT37-20323	Pierre-à-l’Huile (le lieu de la),	Pot	non		
DT37-06237	Chasseloup (le lieu de),	Poteau	non		
DT37-10596	Fontenailles,	Poterie	non		
DT37-12847	Grande-Trappe (le lieu de la),	Poterie	non		
DT37-11138	Four-à-Chaux (le lieu du),	Poterie	non		
DT37-12859	Grandes-Bossées (le lieu des),	Poterie	non		
DT37-09365	Doures (le lieu des),	Potteries	non		
DT37-00715	Balançons (le lieu des),	Pottier	non		
DT37-02269	Bisseuil (fontaine de),	Pouant	non		
DT37-18625	Natte (le lieu de la),	Pouchaizière	non		
DT37-22470	Rebertières (le lieu des),	Pouet	non		
DT37-08367	Cour-de-Villeneuve (le lieu de la),	Pougeroux	non		
DT37-03210	Bornes (le lieu des),	Poulaise	non		
DT37-17014	Maurines (le lieu des),	Poulette	non		
DT37-15590	Limbarderie (le lieu de la),	Poulie	non		
DT37-17197	Mercière (le lieu de la),	Poulinière	non		
DT37-10839	Fosse-Binard (le lieu de la),	Pourra	non		
DT37-09030	Cuinière (la),	Pousardières	non		
DT37-06898	Cherville (le lieu de),	Poussardière	non		
DT37-22736	Ribelan (le lieu de),	Poussinière	non		
DT37-04619	Butte-du-Trésor (le lieu de la),	Pouvray	non		
DT37-04809	Cantarsan (le lieu de),	Pouvreau	non		
DT37-04471	Buisson-Arbelet (le lieu du),	Pouzière	non		
DT37-18720	Nifteau (le bois de),	Pouzière	non		
DT37-08639	Croix (le bois de la),	Povinière	non		
DT37-11814	Gastelinière (la), ou Gatelinière,	Pozay-le-Vieil	86207		
DT37-00725	Balivières (le lieu des),	Pratoueille	non		
