ID	NomCommune	NomNormalise	NomCanton	INSEE	NCC
DT37-00012	Abilly	ABILLY	canton de la Haye	37001	ABILLY
DT37-00167	Ambillou	AMBILLOU	canton de Château-la-Vallière	37002	AMBILLOU
DT37-00170	Amboise	AMBOISE	chef-lieu de canton	37003	AMBOISE
DT37-00178	Anché	ANCHE	canton de l’Ile-Bouchard	37004	ANCHE
DT37-00194	Angé	ANGE	canton de Montrichard	41002	Angé-sur-Cher
DT37-00233	Antogny	ANTOGNY	canton de Sainte-Maure	37005	ANTOGNY-LE-TILLAC
DT37-00237	Saint-Antoine-du-Rocher	SAINT-ANTOINE-DU-ROCHER	canton de Neuillé-Pont-Pierre	37206	SAINT-ANTOINE-DU-ROCHER
DT37-00322	Argy	ARGY	canton de Buzançais	36007	ARGY
DT37-00357	Artannes	ARTANNES	canton de Montbazon	37006	ARTANNES-SUR-INDRE
DT37-00370	Assay	ASSAY	canton de Richelieu	37007	ASSAY
DT37-00377	Athée	ATHEE	canton de Bléré	37008	ATHEE-SUR-CHER
DT37-00418	Saint-Aubin	SAINT-AUBIN	canton de Neuvy-Roi	37207	SAINT-AUBIN-LE-DEPEINT
DT37-00571	Autrèche	AUTRECHE	canton de Châteaurenault	37009	AUTRECHE
DT37-00585	Auzouer	AUZOUER	canton de Châteaurenault	37010	AUZOUER-EN-TOURAINE
DT37-00599	Saint-Avertin	SAINT-AVERTIN	canton de Tours-sud	37208	SAINT-AVERTIN
DT37-00604	Avoine	AVOINE	canton et de l’arrondissement de Chinon	37011	AVOINE
DT37-00606	Avon	AVON	canton de l’Ile-Bouchard	37012	AVON-LES-ROCHES
DT37-00611	Avrillé	AVRILLE	canton de Langeais	37013	AVRILLE-LES-PONCEAUX
DT37-00620	Azay-le-Féron	AZAY-LE-FERON	canton de Mézières-en-Brenne	36010	AZAY-LE-FERRON
DT37-00622	Azay-le-Rideau	AZAY-LE-RIDEAU	arrondissement de Chinon	37014	AZAY-LE-RIDEAU
DT37-00623	Azay-sur-Cher	AZAY-SUR-CHER	canton de Bléré	37015	AZAY-SUR-CHER
DT37-00624	Azay-sur-Indre	AZAY-SUR-INDRE	canton et de l’arrondissement de Loches	37016	AZAY-SUR-INDRE
DT37-00720	Balesmes	BALESMES	canton de La Haye	37017	Balesmes
DT37-00729	Ballan	BALLAN	canton de Montbazon	37018	BALLAN-MIRE
DT37-01041	Barrou	BARROU	canton du Grand-Pressigny	37019	BARROU
DT37-01263	Saint-Bauld	SAINT-BAULD	canton et de l’arrondissement de Loches	37209	SAINT-BAULD
DT37-01362	Beaulieu	BEAULIEU	canton et de l’arrondissement de Loches	37020	BEAULIEU-LES-LOCHES
DT37-01397	Beaumont-en-Véron	BEAUMONT-EN-VERON	canton et de l’arrondissement de Chinon	37022	BEAUMONT-EN-VERON
DT37-01398	Beaumont-la-Ronce	BEAUMONT-LA-RONCE	canton de Neuillé-Pont-Pierre	37021	BEAUMONT-LA-RONCE
DT37-01400	Beaumont-Village	BEAUMONT-VILLAGE	canton de Montrésor	37023	BEAUMONT-VILLAGE
DT37-01792	Benais	BENAIS	canton de Bourgueil	37024	BENAIS
DT37-01834	Saint-Benoît	SAINT-BENOIT	canton d’Azay-le-Rideau	37210	SAINT-BENOIT-LA-FORET
DT37-01996	Berthenay	BERTHENAY	canton de Tours-sud	37025	BERTHENAY
DT37-02098	Betz	BETZ	canton du Grand-Pressigny	37026	BETZ-LE-CHATEAU
DT37-02356	Bléré	BLERE	arrondissement de Tours	37027	BLERE
DT37-03219	Bossay	BOSSAY	canton de Preuilly	37028	BOSSAY-SUR-CLAISE
DT37-03221	Bossée	BOSSEE	canton de Ligueil	37029	BOSSEE
DT37-03415	Boulay	BOULAY	canton de Châteaurenault	37030	BOULAY
DT37-03669	Bourgueil	BOURGUEIL	arrondissement de Chinon	37031	BOURGUEIL
DT37-03701	Bournan	BOURNAN	canton de Ligueil	37032	BOURNAN
DT37-03716	Bourré	BOURRE	canton de Montrichard	41023	BOURRE
DT37-03743	Boussay	BOUSSAY	canton de Preuilly	37033	BOUSSAY
DT37-03836	Saint-Branchs	SAINT-BRANCHS	canton de Montbazon	37211	SAINT-BRANCHS
DT37-03855	Braslou	BRASLOU	canton de Richelieu	37034	BRASLOU
DT37-03905	Braye-sous-Faye	BRAYE-SOUS-FAYE	canton de Richelieu	37035	BRAYE-SOUS-FAYE
DT37-03906	Braye-sur-Maulne	BRAYE-SUR-MAULNE	canton de Château-la-Vallière	37036	BRAYE-SUR-MAULNE
DT37-03912	Brèche	BRECHE	canton de Château-la-Vallière	37037	BRECHES
DT37-03935	Bréhémont	BREHEMONT	canton d’Azay-le-Rideau	37038	BREHEMONT
