Article,Vedette,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT15-00664,Baladou (Le),Chanet,15001,,Commune non reconnue dans le DT
DT15-00683,Baldutes ,Jou-sous-Montjou,15081,,
DT15-00685,Balestrie ,Chanet,15001,,Commune non reconnue dans le DT
DT15-00690,Balladour (Le),Chanet,15001,,Commune non reconnue dans le DT
DT15-00691,Balladour (Le),Chanet,15001,,Commune non reconnue dans le DT
DT15-00693,Ballat (Le),Labesserette,15084,,
DT15-00705,Baltie (Le Puy de la),Saint-Remy-de-Chaudesaigues,15209,Saint-Rémy-de-Chaudes-Aigues,
DT15-00724,Baniégères,Saint-Christophe,15153,,
DT15-00727,Bannat (La),Trémouille-Marchal,15240,,
DT15-00736,Banut (La),Marchal,15038,,
DT15-00737,Banut (Le),Trémouille-Marchal,15240,,
DT15-00740,Barade (La),Trémouille-Marchal,15240,,
DT15-00743,Baragade (La),Chanet,15001,,Commune non reconnue dans le DT
DT15-00748,Baraque (La),Arpajon,15012,Arpajon-sur-Cère,
DT15-00793,Baraque-de-Senilhes (La),Arpajon,15012,Arpajon-sur-Cère,
DT15-00806,Baraque-du-Serre (La),Viellespesse,15259,,
DT15-00812,Baraques (Les),Arpajon,15012,Arpajon-sur-Cère,
DT15-00837,Barbance (La),Trémouille-Marchal,15240,,
DT15-00844,Barbasse (La),Sarrus,15073,,
DT15-00851,Barboutes,Virargues,15263,,Commune non reconnue dans le DT
DT15-00857,Bardet,Ally,15003,,Commune non reconnue dans le DT
DT15-00876,Bargaire (La),Chanterelle,15040,,Commune non reconnue dans le DT
DT15-00877,Bargaires (Les),Saint-Bonnet-de-Marcenat,15173,,
DT15-00878,Bargayres (Les),Marchal,15038,,
DT15-00893,Barnèze (La),Vabres,15245,,Commune non reconnue dans le DT
DT15-00901,Baronne (La),Saint-Christophe,15153,,
DT15-00907,Barrade (La),Trémouille-Marchal,15240,,
DT15-00918,Barre (Le),Vabres,15245,,Commune non reconnue dans le DT
DT15-00935,Barrière (La),Arpajon,15012,Arpajon-sur-Cère,
DT15-00936,Barrière (La),Barriac,15018,,
DT15-00947,Barry (Le),Arpajon,15012,Arpajon-sur-Cère,
DT15-00950,Barry (Le),Ségur,15225,,
DT15-00965,Barthalane (La),Saignes,15169,,Commune non reconnue dans le DT
DT15-00975,Barthes (Les),Montmurat,15133,,
DT15-00979,Barthole (La),Arpajon,15012,Arpajon-sur-Cère,
DT15-00984,Bas (Le),Labesserette,15084,,
DT15-00985,Basaygues,Roussy,15257,Vezels-Roussy,Commune non reconnue dans le DT
DT15-00986,Basbourlès,Arpajon,15012,Arpajon-sur-Cère,
DT15-00990,Basset (Les Clausels de),Virargues,15263,,Commune non reconnue dans le DT
DT15-01002,Bastide (La),Anglars-de-Salers,15006,Anglards-de-Salers,
DT15-01003,Bastide (La),Arpajon,15012,Arpajon-sur-Cère,
DT15-01007,Bastide (La),Chanterelle,15040,,Commune non reconnue dans le DT
DT15-01011,Bastide (La),Cros-de-Montamat,15058,,
DT15-01030,Bastide (La),Sarrus,15073,,
DT15-01033,Bastide (La),Trémouille-Marchal,15240,,
DT15-01040,Bastro (Le),Saint-Girgues-de-Jordanne,15178,Saint-Cirgues-de-Jordanne,
DT15-01065,Baudou,Arpajon,15012,Arpajon-sur-Cère,
DT15-01087,Beaujarret,Saint-Christophe,15153,,
DT15-01088,Beaujarret d'Armande,Saint-Christophe,15153,,
DT15-01092,Beaulieu-Bas,Ruines,15168,Ruynes,
DT15-01093,Beaulieu-Haut,Ruines,15168,Ruynes,
DT15-01103,Beauregard,Ruines,15168,Ruynes,
DT15-01137,Bégus,Vabres,15245,,Commune non reconnue dans le DT
DT15-01176,Bel-Catra,Arpajon,15012,Arpajon-sur-Cère,
DT15-01180,Belestat,Saint-lllide,15191,,
DT15-01199,Belle-Fontaine (La),Ségur,15225,,
DT15-01210,Belle-Vue,Arpajon,15012,Arpajon-sur-Cère,
DT15-01213,Belle-Vue (La),Chanterelle,15040,,Commune non reconnue dans le DT
DT15-01218,Belle-Vue,Pierrefort,15152,,Commune non reconnue dans le DT
DT15-01220,Belle-Vue,Saignes,15169,,Commune non reconnue dans le DT
DT15-01237,Belmont,Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-01267,Bénomie (La),Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-01313,Berthou,Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-01325,Berty,Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-01331,Besque (Le Bois de),Arpajon,15012,Arpajon-sur-Cère,
DT15-01333,Bessade (La),Labesserette,15084,,
DT15-01342,Bessadoune (La),Saint-Christophe,15153,,
DT15-01356,Besse,Chaudesaigues,15045,Chaudes-Aigues,
DT15-01373,Besse (La),Sarrus,15073,,
DT15-01387,Besseire (La),Sarrus,15073,,
DT15-01410,Besseyre (La),Sarrus,15073,,
DT15-01418,Besseyrolles,Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-01430,Bessières (Les),Sanzac-Veinazès,15222,Sansac-Veinazès,
DT15-01442,Bessougade (Le Bois de la),Arpajon,15012,Arpajon-sur-Cère,
DT15-01445,Bétailles,Saint-Christophe,15153,,
DT15-01449,Bétasel,Saignes,15169,,Commune non reconnue dans le DT
DT15-01450,Béteil,Chanet,15001,,Commune non reconnue dans le DT
DT15-01451,Béteil,Chanet,15001,,Commune non reconnue dans le DT
DT15-01452,Béteil,Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-01472,Bex (Le),Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-01478,Bex (Le),Sarrus,15073,,
