article,output6.xml,DT15.xml
DT15-00002,commune d’Auriac-l’Église,commune d'Auriac-l'Eglise               
DT15-00141,commune de Capelle-Barrez,commune de Lacapelle-Barrez               
DT15-00195,commune de Saint-Paul-de-Salers,commune de Sainl-Paul-de-Salers               
DT15-00197,commune de Clavières,commune de Claviers               
DT15-00211,commune de Capelle-Barrez,commune de Lacapelle-Barrez               
DT15-00212,commune de Capelle-Barrez,commune de Lacapelle-Barrez               
DT15-00281,commune de Chaudes-Aigues,commune de Chaudes-aigues               
DT15-00387,commune de Capelle-del-Fraisse,commune de Lacapelle-del-Fraisse               
DT15-00476,commune d’Auriac-l’Église,commune d'Auriac-l'Eglise               
DT15-00503,commune de Capelle-Barrez,commune de Lacapelle-Barrez               
DT15-00567,commune de Vezels-Roussy,commune de Roussy               
DT15-00661,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-00705,commune de Saint-Rémy-de-Chaudes-Aigues,commune de Saint-Remy-de-Chaudesaigues               
DT15-00748,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-00793,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-00812,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-00935,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-00947,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-00979,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-00985,commune de Vezels-Roussy,commune de Roussy               
DT15-00986,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-01002,commune d’Anglards-de-Salers,commune d'Anglars-de-Salers               
DT15-01003,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-01040,commune de Saint-Cirgues-de-Jordanne,commune de Saint-Girgues-de-Jordanne               
DT15-01065,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-01092,commune de Ruynes,commune de Ruines               
DT15-01093,commune de Ruynes,commune de Ruines               
DT15-01103,commune de Ruynes,commune de Ruines               
DT15-01176,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-01210,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-01331,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-01356,commune de Chaudes-Aigues,commune de Chaudesaigues               
DT15-01430,commune de Sansac-Veinazès,commune de Sanzac-Veinazès               
DT15-01442,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-01553,commune de Vezels-Roussy,commune de Roussy               
DT15-01651,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-01673,commune de Chaudes-Aigues,commune de Chaudesaigues               
DT15-01780,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-01858,commune de Chaudes-Aigues,commune de Chaudesaigues               
DT15-02006,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02073,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02132,commune de Ruynes,commune de Ruines               
DT15-02159,canton de Ruynes,canton de Ruines      
DT15-02175,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02176,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02177,communes d'Arpajon-sur-Cère et de Roannes-Saint-Mary,communes d'Arpajon et de Roannes-Saint-Mary      
DT15-02198,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02219,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02265,commune de Chaudes-Aigues,commune de Chaudesaigues               
DT15-02274,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02280,communes de Roannes-Saint-Mary et d'Arpajon-sur-Cère,communes de Roannes-Saint-Mary et d'Arpajon      
DT15-02291,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02308,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02339,commune de Chaudes-Aigues,commune de Chaudesaigues               
DT15-02374,commune de Saint-Martin-sous-Vigouroux,commune de Saint-Martin-sous-Vigoureux               
DT15-02388,commune de Chaudes-Aigues,commune de Chaudesaigues               
DT15-02391,commune de Chaudes-Aigues,commune de Chaudesaigues               
DT15-02426,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02439,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02443,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02467,commune de Vezels-Roussy,commune de Roussy               
DT15-02524,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02527,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02598,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02709,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02716,commune de Vezels-Roussy,commune de Roussy               
DT15-02719,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02722,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02750,commune de Teissières-les-Bouliès,commune de Tessières-les-Bouliès               
DT15-02831,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02854,commune de Vezels-Roussy,commune de Roussy               
DT15-02900,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-02915,commune de Laroquevieille,commune de Laroque-vieille               
DT15-02955,commune d’Arpajon-sur-Cère,commune d'Arpajon               
DT15-03030,commune d’Arpajon-sur-Cère,commune d'Arpajon               
