article,ProblemeLocalisation ?
DT89-00331,communes de Villefranche et de Montcorbon (Loiret).,communes de Villefranche et de Moncorbon (Loiret).
DT89-00366,commune d'Escamps.,"communes d'Escamps, de Louesme, de Moulins-sur-Ouanne, de Vernoy et de Voisines."
DT89-00445,communes de Malicorne et de Marchais-Beton.,communes de Malicorne et de Marchais-Breton.
DT89-00628,commune de Villenavotte.,commune de Villevanotte         .
DT89-00717,commune de Massangis.,commune de Marsangis         .
DT89-00775,"commune de Pisy, où il prend sa source, et se jette dans le Serain à ","commune de Pissy         , où il prend sa source, et se jette dans le Serain à "
DT89-01022,"commune de Bleigny-le-Carreau, y prend sa source et se jette dans le ruisseau de Sinotte à ","commune de Bligny-le-Carreau         , y prend sa source et se jette dans le ruisseau de Sinotte à "
DT89-01122,commune de Saint-Brancher ; détruit.,commune de S            t-Brancher ; détruit.
DT89-01232,commune de Bleigny-le-Carreau.,commune de Bligny-le-Carreau         .
DT89-01254,commune de Champignelles.,"communes de Champignelles, Courtois, Escamps, Montillot."
DT89-01426,commune de Marchais-Beton.,commune de Marchais-Breton         .
DT89-01503,commune de la Chapelle-sur-Oreuse.,commune de la Chapelle-Saint-Oreuse         .
DT89-02342,commune de Ronchères.,commune de Rouchères         .
DT89-04194,commune de Courlon (Cassini) ; aujourd'hui le Port.,commune de Courlon          (Cassini) ; aujourd'hui 
DT89-04199,"commune de Mailly-le-Château, appelée aussi Plaisance.","commune de Mailly-le-Château         , appelée aussi "
DT89-04398,commune de Joux-la-Ville.,commune de Jouy-la-Ville         .
DT89-04440,communes de Taingy et de Sementron.,communes de Taigny et de Sementron.
DT89-05071,commune de Bleigny-le-Carreau.,commune de Bligny-le-Carreau         .
DT89-05409,commune de Cérilly.,commune de Gérilly         .
