article,ProblemeLocalisation ?
DT57-00188,"comté de Forbach, ",commune de Kerbach         .
DT57-00207,"sur le ruisseau de la Chenau, ",commune de Borny         .
DT57-00245,"ruisseau de Blanchefontaine, affluent de la Rotte, ",commune d'Arraincourt         .
DT57-00249,près de Flabeuville ,près de Labeuville                   
DT57-00382,"de Hesser, haute, basse et moyenne justice, qui comprenait les trois bans de Folschwiller, Lelling, Alling et Telting, ces deux derniers réunis en un seul, ","            seigneurie de Hesser         , haute, basse et moyenne justice, qui comprenait les trois bans de Folschwiller, Lelling, Alling et Telting, ces deux derniers réunis en un seul, "
DT57-00451,"ruisseau de Bruville, ",commune de Jarny         .
DT57-00485,"commune du Ban-Saint-Martin ; souvenir du siége de Metz, en ","commune du Ban-S            t-Martin ; souvenir du siége de Metz, en "
DT57-00500,"Thionville, construite par Cormontaigne.","            partie du fort de Thionville         , construite par Cormontaigne."
DT57-00577,Reims à ,            Metz         .
DT57-00619,canton de Verny.,canton de Veroy.
DT57-00650,"territoire de la commune de Clouange, dans un site très-pittoresque, et qui a un volume suffisant pour faire tourner un moulin dès sa sortie de terre.","territoire de la commune de Chouange         , dans un site très-pittoresque, et qui a un volume suffisant pour faire tourner un moulin dès sa sortie de terre."
DT57-00794,"de Schmittwiller, dont il fait aujourd’hui partie intégrante.","            village de Schmittwiller         , dont il fait aujourd'hui partie intégrante."
DT57-00813,"ruisseau de la Horne, ",commune de Rolbing         .
DT57-00903,Bistroff et de la ,            mairie de Bistroff          et de la 
DT57-00955,"sur la Chiers, ",commune de Charency         .
DT57-01004,"Metz, détruite en ","            portes de Metz         , détruite en "
DT57-01242,Grindorff ; il afflue à l’Hermerbach.,            Hermerbach         .
DT57-01258,commune de Bousbach.,commune de Bourbach         .
DT57-01296,"Theding, acquis en ",            domaine de Boulay         .
DT57-01372,canton de Gorze en partie et ,            canton de Gorze en partie et l'arrondissement de Briey         .
DT57-01448,"d’Alsting, annexe de cette commune.","            gauche de la Sarre         , à 1 kilom. d'Alsting, annexe de cette commune."
DT57-01663,Wolkrange.,            château de Wolkrange         .
DT57-01797,commune d’Othe.,commune d'Olhe         .
DT57-01844,"canton de Volmunster, entre ","canton de Volmunster, "
DT57-01844,la Horn et ,            entre la Horn et la Schwolb         .
DT57-02045,"Saint-Avold, annexe de cette ville.","            canal des Étangs de Saint-Avold         , annexe de cette ville."
DT57-02075,"territoire des communes de Rahling, Rohrbach, Montbronn et Bining-lez-Rohrbach.","territoire des communes de Rahling, Rohrbach, Montbronn et Béning-lez-Rohrbach."
DT57-02418,Metz.,            sous les murs de Metz         .
DT57-02419,"Metz, et détruit en ","            près de l'abbaye Saint-Clément, sous les murs de Metz         , et détruit en "
DT57-02528,"ruisseau de Conrois, ",commune de Neuchef         .
DT57-02637,Laumesfeldterritoire de la commune de .,territoire de la commune de Laumestroff         .
DT57-02739,"ruisseau de Clouange, ",commune de Vitry         .
DT57-02807,territoire de la Moselle et indication de leurs longueurs dans ce département :,territoire de la Moselle          et indication de leurs longueurs dans ce 
DT57-02842,Metz.,            sous les murs de Metz         .
DT57-02843,Metz.,            sous les murs de Metz         .
DT57-02861,"Metz, ","            sous les murs de Metz         , "
DT57-02951,Metz.,            sous les murs de Metz         .
DT57-02954,Metz.,            sous les murs de Metz         .
DT57-02965,"ban de Guiderkirch, ",commune d'Erching         .
DT57-02993,"Metz, près de la porte des Allemands.","            sous les murs de Metz, près de la porte des Allemands         ."
DT57-02999,"ban de Pétrange, proche ","            ban de Pétrange, proche Guenkirchen         , "
DT57-03073,"Lemberg, affectée à l’usage des verreries de Saint-Louis.","            nord de Lemberg         , affectée à l'usage des verreries de Saint-Louis."
DT57-03489,Reims à ,"            de Reims à Metz par Scarpone         , d'après la carte de Peutinger ("
DT57-03490,Metz à ,            de Metz à Trèves          par la rive gauche de la Moselle.
DT57-03491,Metz à ,            de Metz à Trèves          par la rive droite de la Moselle.
DT57-03492,Reims à ,            de Reims à Metz         .
DT57-03493,Metz à ,            de Metz à Strasbourg         .
DT57-03494,Metz à ,"            de Metz à Strasbourg         , second itinéraire."
