Article,Vedette,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT57-01477,"Hirtenhaus,",Stürtzelbronn,57661,,
DT57-01478,"Hobling,",Chémery-les-Deux,57136,,
DT57-01488,"Holbach-lez-Lemberg,",Schwolb,Non,,
DT57-01505,"Homeldange,",Cattenom,57124,,
DT57-01506,"Hondelange,",Longlaville,Non,,
DT57-01507,"Honnert,",Puttelange,57556,,
DT57-01522,"Hostudenhüll,",Puttelange,57556,,
DT57-01523,"Hottwiller,",Bliese,Non,,
DT57-01523,"Hottwiller,",Volmunster,57732,,
DT57-01526,"Houillère (La),",Carling,57123,,
DT57-01529,"Houillère (La),",Stiring-Wendel,57660,,Non identifié (art. 57-03209)
DT57-01532,"Houve de Merten (La),",Merten-Bibling,57460,,
DT57-01533,"Hübelhoff,",Sturtzelbronn,57661,,
DT57-01541,"Hunnerberg,",Puttelange,57556,,
DT57-01544,"Hussigny,",Longwy,54323,,
DT57-01547,"Hutzelhoff,",Sturtzelbronn,57661,,
DT57-01556,"Ingling,",Chémery-les-Deux,57136,,
DT57-01572,"Janan,",Bining,57083,,
DT57-01589,"Jouy (Arches de),",Sablon,57463,,
DT57-01604,"Kalenhoven Française (La),",Kerling,57361,,
DT57-01612,"Kanfen,",Cattenom,57124,,
DT57-01625,"Kettenborn,",Bambiderstroff,57047,,
DT57-01631,"Kirsbach,",Bining,57083,,
DT57-01655,"Kleinmühlenbach,",Sturtzelbronn,57661,,
DT57-01660,"Baraque aux Sabots,",Sturtzelbronn,57661,,
DT57-01664,"Welsch),",Sturtzelbronn,57661,,
DT57-01666,"Kodenwald,",Hombourg,57358,,
DT57-01668,"Koenigsberg,",Althorn,57250,,
DT57-01674,"Kontz-Basse,",Cattenom,57124,,
DT57-01675,"Kontz-Haute,",Cattenom,57124,,
DT57-01697,"Lacroix,",Marange,57444,,
DT57-01709,"Laix,",Longwy,54323,,
DT57-01725,"Lietschensweyer,",Sturtzelbronn,57661,,
DT57-01773,"Lengelsheim,",Volmunster,57732,,
DT57-01784,"Léxy,",Longwy,54323,,
DT57-01795,"Langensweiher,",Sturtzelbronn,57661,,
DT57-01797,"Ligny (La),",Olhe,54412,Othe,
DT57-01835,"Longwy-Haut,",Chiers,Non,,
DT57-01844,"Loutzwiller,",Volmunster,57732,,
DT57-01858,"Luzerailles,",Jouy,57350,,
DT57-01862,"Macquenom,",Yütz-Basse,57757,,
DT57-01880,"Maison-Brûlée (La),",Sablon,57463,,
DT57-01884,"Maison-Kusse (La),",Sierstahl,57651,,
DT57-01970,"Mausmühl,",Grande-Breistroff,57109,,
DT57-01974,"Maxe (La Petite-),",Grande-Maxe,57452,,
DT57-01978,"Mazagran,",Moulins,57487,,
DT57-02039,"Meyweyer,",Sturtzelbronn,57661,,
DT57-02056,"Molesme,",Longwy,54323,,
DT57-02065,"Mondorff,",Cattenom,57124,,
DT57-02068,"Monplaisir,",Seille,Non,,
DT57-02075,"Montbronn (Forêt de),",Béning-lez-Rohrbach,57083,Bining-lez-Rohrbach,
DT57-02077,"Mont-de-Chat (Le),",Longlaville,Non,,
DT57-02087,"Montoy (Le Haut-),",Montoy-Flanville,57482,,
DT57-02088,"Montoy (Le Petit-),",Montoy-Flanville,57482,,
DT57-02091,"Mont-Saint-Martin,",Longwy,54323,,
DT57-02098,"Morfontaine,",Longwy,54323,,
DT57-02120,"Moulaine,",Hautcourt,54254,,
DT57-02124,"Moulin (Le),",Auboué,54028,,
DT57-02126,"Moulin (Le),",Breistroff-Grande,57109,,
DT57-02136,"Moulin (Le),",Wahl-Ébersing,57684,,Non identifié (art. 57-03509)
DT57-02140,"Gross Mühl,",Pont-Pierre,57549,,
DT57-02161,"Moulin à Vapeur (Le),",Laning,57384,,
DT57-02175,"Moulin de Chémery-les-Deux (Le),",Chémery-les-Deux,57136,,
DT57-02192,"Moulin de Grandvaux (Le),",Saint-Jean-lez-Marville,54476,,
DT57-02203,"Moulin de Klabach (Le),",Gœtzembrück,57250,,
DT57-02206,"Moulin de la Grande-Faulx (Le),",Moncheux,57472,,
DT57-02252,"Moulin de Simbace (Le),",Grosbliederstrof,57260,,
DT57-02258,"Moulin de Vintring (Le),",Chémery-les-Deux,57136,,
DT57-02269,"Moulin Haut (Le),",Moncheux,57472,,
DT57-02315,"Mühlbach,",Sturtzelbronn,57661,,
DT57-02353,"Neudorff,",Grande-Bibiche,57079,,
DT57-02382,"Neuweyer,",Sturtzelbronn,57661,,
DT57-02409,"Nomeny,",Meurthe,Non,,"Nomeny non identifié (art. 57-02409), code 54400"
DT57-02453,"Œutrange,",Cattenom,57124,,
DT57-02486,"Ottange,",Cattenom,57124,,
DT57-02527,"Perl,",Saarburg,Non,,
DT57-02559,"Place Sainte-Marthe,",Stiring-Wendel,57660,,
DT57-02561,"Planchette (La),",Montoy-Flanville,57482,,
DT57-02603,"Erlenhütt,",Sturtzelbronn,57661,,
DT57-02613,"Preische,",Basse-Rentgen,57574,,
DT57-02621,"Prieuré (Le),",Longwy,54323,,
DT57-02627,"Pulventeux,",Longwy,54323,,
DT57-02629,"Puttelange-lez-Rodemack,",Cattenom,57124,,
DT57-02637,"Quatre-Seigneurs (Forêt des),",Laumestroff,57387,Laumesfeld,
DT57-02638,"Quatre-Vents,",Landrefang,57386,,
DT57-02640,"Quettepoule,",Suisse,57662,,
DT57-02668,"Rebsteckenkopf (Le),",Althorn,57250,,! Présence d'une balise <commune> dans le nom à localiser
DT57-02671,"Rédange,",Longwy,54323,,
DT57-02676,"Réhon,",Longwy,54323,,
DT57-02700,"Rentgen-Basse,",Cattenom,57124,,
DT57-02731,"Rivage,",Sablon,57463,,
DT57-02744,"Rochonvillers,",Cattenom,57124,,
DT57-02747,"Rodemack,",Cattenom,57124,,
DT57-02794,"Rouchelbach (Ruisseau de),",Grande-Breistroff,57109,,
DT57-02802,"Roussy-le-Village,",Cattenom,57124,,
DT57-02807,Routes nationales (Tableau des),Moselle,Non,,
DT57-02814,"Ruchelingen,",Spicheren,57659,,
DT57-02826,"Rushütt,",Sturtzelbronn,57661,,
DT57-02827,"Russange,",Longwy,54323,,
DT57-02845,"Saint-Arnuald,",Sarrebrück,Non,,
DT57-02856,"Saint-Christophe,",Bambiderstroff,57047,,
DT57-02857,"Saint-Christophe,",Condé-Northen,57150,,
DT57-02861,"Saint-Clément,",Sablon,57463,,
DT57-02869,"Saint-Genest,",Boudrezy,Non,,
DT57-02884,"Saint-Jean-aux-Bois,",Gondreville,Non,,
DT57-02888,"Saint-Jean-lez-Herny,",Herny,57319,,
DT57-02911,"Saint-Michel,",Beuvange-sous-Saint-Michel,Non,,
DT57-02938,"Saint-Remy,",Piedmont,Non,,
DT57-02948,"Saint-Siriacq,",Kirsch-lez-Luttange,Non,,
DT57-02952,"Saint-Symphorien (Le Pré),",Longeville,57412,,
DT57-02957,"Saint-Vincent,",Woimhaut,57728,,
DT57-02959,"Sainte-Agathe,",Sablon,57463,,
DT57-02970,"Sainte-Anne,",Stiring-Wendel,57660,,
DT57-02990,"Sainte-Croix,",Stiring-Wendel,57660,,
DT57-03004,"Sainte-Marie,",Bambiderstroff,57047,,
DT57-03015,"Sainte-Stéphanie,",Stiring-Wendel,57660,,
DT57-03042,"Basse),",Longwy,54323,,
DT57-03083,"Schœneck,",Stiring-Wendel,57660,,
DT57-03093,"Schustermühl,",Wiswiller,57745,,
DT57-03140,"Sentzig,",Cattenom,57124,,
DT57-03148,"Seutry,",Herny,57319,,
DT57-03160,"Silvange,",Marange,57444,,
DT57-03208,"Stiring (Le Vieux-),",Stiring-Wendel,57660,,
DT57-03229,"Suisse-Basse,",Rotte,Non,,
DT57-03273,"Thiergarten,",Puttelange,57556,,
DT57-03274,"Thil,",Longwy,54323,,
DT57-03284,"Tiercelet,",Longwy,54323,,
DT57-03287,"Titelberg,",Madeleine,Non,,
DT57-03289,"Tivoli,",Sablon,57463,,
DT57-03332,"Basse),",Host,57337,,
DT57-03341,"Tuilerie de Puttelange (La),",Puttelange,57556,,
DT57-03356,"Tuilerie de Willer (La),",Willer,57717,,
DT57-03370,"Uberkinger,",Kappelkinger,57357,,
DT57-03374,"Untermühl,",Bining,57083,,
DT57-03393,"Valette,",Host,57337,,
DT57-03402,"Vallières,",Tichémont,Non,,
DT57-03425,"Vercly,",Haute-Bévoy,Non,,
DT57-03431,"Verrerie-Sophie (La),",Stiring-Wendel,57660,,
DT57-03451,"Ville-au-Montois,",Longwy,54323,,
DT57-03453,"Ville-Houdlémont,",Longwy,54323,,
DT57-03464,"Villers-la-Montagne,",Longwy,54323,,
DT57-03472,"Villerupt,",Longwy,54323,,
DT57-03479,"Vintring,",Chémery-les-Deux,57136,,
DT57-03499,"Volmerange-lez-Œutrange,",Cattenom,57124,,
DT57-03508,"le Val,",Laning,57384,,
DT57-03523,"Wallachey,",Laning,57384,,
DT57-03532,"Warendt,",Creutzwald,57160,,
DT57-03535,"Warsberg (Château de),",Ham-sous-Warsberg,57288,,
DT57-03538,"Waucon,",Lorry,57415,,
DT57-03554,"Welschhoff,",Puttelange,57556,,
DT57-03559,"Wendelhoff,",Creutzwald,57160,,
DT57-03562,"Werange,",Nidange,Non,,
DT57-03587,"Willerwald (La),",Bibiche-Grande,57079,,
DT57-03593,"Wintring,",Chémery-les-Deux,57136,,
DT57-03593,"Wintring,",Hobling,Non,,
DT57-03637,"Yütz (Haute-),",Basse-Yütz,57757,,
DT57-03657,"Zondrange,",Marange,57444,,
DT57-03659,"Zoufftgen,",Cattenom,57124,,
