Vedette Longue (>30chars)
out:DT57-00023 Albe (le pays arrosé par l’Albe).
out:DT57-00032 Allendorff, Aldorf, Hallendorff,
out:DT57-00037 Allondrelle (Ruisseau de la Fontaine d’).
out:DT57-00060 Alzette (Ruisseau de la Petite-).
out:DT57-00077 Aneckersmühl, Eidenhemmermühl ou 
out:DT57-00121 Augny-à-la-Seille (Ruisseau d’).
out:DT57-00151 Banlieue de Metz (Les quatre quarts de la),
out:DT57-00155 Ban Saint-Martin de Sainte-Ruffine et de Vaux,
out:DT57-00194 Behren et Etzling (Ruisseau de).
out:DT57-00201 Belle-Croix (La Double-Couronne de),
out:DT57-00223 Béning-lez-Saint-Avold (Ruisseau de).
out:DT57-00259 Betting-lez-Saint-Avold (Ruisseau de).
out:DT57-00298 Bining-lez-Rohrbach (Ruisseau de).
out:DT57-00332 Bliesbrücken (Petit ruisseau de).
out:DT57-00354 Bonne-Fontaine (Ruisseau de la).
out:DT57-00378 Bouligny (Ruisseau de l’Étang de).
out:DT57-00429 Bremmenetzel-Graben (Ruisseau de).
out:DT57-00589 Châtelains (Ruisseau du Pré-des-).
out:DT57-00595 Châtel-Saint-Germain (Prieuré de).
out:DT57-00604 Chémery (Les Deux) : Vieille et 
out:DT57-00605 Chemin de la Pierre qui tourne (Le),
out:DT57-00704 Courcelles-Chaussy (Ruisseau de).
out:DT57-00851 Eguelshardt (Ruisseau de l’étang d’).
out:DT57-00909 Étang de Freistroff (Ruisseau de l’).
out:DT57-00912 Étang de Vallerange (Ruisseau de l’).
out:DT57-00931 Fabrique de Vaux (Ruisseau de la).
out:DT57-01018 Fontaine communale (Ruisseau de la).
out:DT57-01020 Fontaine de l’Étang (Ruisseau de la).
out:DT57-01022 Fontaine d’Escherange (Ruisseau de la).
out:DT57-01024 Fontaine-Wagot (Ruisseau de la) ou 
out:DT57-01042 Forges de Sainte-Fontaine (Les),
out:DT57-01065 Franzer-Guerelsbach (Ruisseau de).
out:DT57-01100 Froides-Fontaines (Ruisseau des).
out:DT57-01257 Grundwiller-Otterbach (Ruisseau de).
out:DT57-01433 Hermitage de Saint-Jacques (L’),
out:DT57-01434 Hermitage de Sainte-Catherine (L’),
out:DT57-01435 Hermitage du Mont Saint-Quentin (L’),
out:DT57-01605 Kalenhoven Lorraine (La Grande-),
out:DT57-01828 Longeville-lez-Saint-Avold (L’Abbaye de).
out:DT57-01829 Longeville-lez-Saint-Avold (Ruisseau de).
out:DT57-01838 Lorry-à-la-Seille (Ruisseau de).
out:DT57-01877 Mairies du Val-de-Metz (Les Quatre),
out:DT57-01929 Manufacture de canons de fusils,
out:DT57-01940 Mardigny-à-la-Seille (Ruisseau de).
out:DT57-02175 Moulin de Chémery-les-Deux (Le),
out:DT57-02210 Moulin de la Manufacture d’armes et de canons de fusils (Le),
out:DT57-02231 Moulin de Morsbach (Le), Lohmühl ou 
out:DT57-02296 Moulins (La Grande Forte Maison de),
out:DT57-02297 Moulins (La Petite Forte Maison de),
out:DT57-02301 Moulins de Faréberswiller (Les),
out:DT57-02302 Moulins de Forbach (Ruisseau des).
out:DT57-02426 Noussewiller-lez-Puttelange (Ruisseau de).
out:DT57-02428 Noussewiller-lez-Wolmunster (Ruisseau de).
out:DT57-02542 Petite-Rivière (Ruisseau de la).
out:DT57-02570 Platinerie de Saint-Louis (La) ou 
out:DT57-02586 Pont-à-Domangeville (La seigneurie du).
out:DT57-02630 Puttelange-lez-Rodemack (Ruisseau de).
out:DT57-02661 Ratzenhausen (Ruisseau de l’étang de).
out:DT57-02691 Rémich (grand-duché de Luxembourg).
out:DT57-02726 Ringrave (Ruisseau de l’Étang de).
out:DT57-02774 Rorhweisser-Graben (Ruisseau de).
out:DT57-02839 Sailly (Ruisseau de l’Étang de).
out:DT57-02904 Saint-Louis (Petit ruisseau de).
out:DT57-02910 Saint-Martin-lez-Metz (Abbaye de).
out:DT57-03014 Sainte-Ruffine (Le Haut Ban de).
out:DT57-03111 Schweivelinksbach (Ruisseau de).
out:DT57-03180 Sounenmüller-Graben (Ruisseau de).
out:DT57-03227 Sturzelthalerbach (Ruisseau de).
out:DT57-03337 Tuilerie de Mont-Saint-Martin (La),
out:DT57-03339 Tuilerie de Petit-Réderching (La),
out:DT57-03347 Tuilerie de Saint-Jean-Rohrbach (La),
out:DT57-03354 Tuilerie de Villers-lez-Plesnois (La),
out:DT57-03397 Vallerange (Ruisseau de l’Étang de).
out:DT57-03432 Verrerie-Sophie (Ruisseau de la).
out:DT57-03436 Vezon-à-la-Seille (Ruisseau de).

