article,ProblemeLocalisation ?
DT76-00096,"paroisses de Saint-Jacques-d'Aliermont, Notre-Dame-d'Aliermont, Saint-Nicolas-d'Aliermont, Sainte-Agathe-d'Aliermont et Croixdalle créées aux dépens de la forêt d'Aliermont qui se confondait presque avec la forêt d'Arques ","paroisses de Saint Jacques d'Aliermont, Notre-Dame d'Aliermont, Saint-Nicolas d'Aliermont, Sainte Agathe d'Aliermont et Croixdalle créées aux dépens de la forêt d'Aliermont qui se confondait presque avec la forêt d'Arques "
DT76-00102,commune de Daubeuf-Serville.,commune de Daubeuf-Berville.
DT76-00146,Ile-Lacroix.,Ile Lacroix.
DT76-00150,canton de Doudeville…,canton de Douville…
DT76-00223,commune de Senneville-sur-Fécamp.,commune de Senneville          sur Fécamp.
DT76-00237,commune de Saint-Aubin-Epinay ,commune de Saint-Martin-Epinay          
DT76-00278,commune de Morville-sur-Andelle.,commune de Norville-sur-Andelle         .
DT76-00289,commune de Jumièges.,commune de Jumiège         .
DT76-00454,commune de Sainte-Marguerite-d'Auchy ou sainte Marguerite lès Aumale et à l'abbaye de saint-Martin d'Auchy ou d'Aumale qui y fut fondée.,commune de sainte Marguerite d'Auchy ou sainte Marguerite lès Aumale et à l'abbaye de saint-Martin d'Auchy ou d'Aumale qui y fut fondée.
DT76-00484,communes du Petit-Quevilly et du Grand-Quevilly et de Petit-Couronne.,communes du Petit et du Grand-Quevilly et de Petit-Couronne.
DT76-00487,paroisses de Saint-Maurice et de Saint-Nicolas-de-Malaunay et ,paroisses de Saint-Maurice et de Saint Nicolas de Malaunay et 
DT76-00589,communes de Marques et de Nullemont.,communes de Marques et de Nullement.
DT76-00596,"paroisse de Saint-Laurent-d'Envermeu, ","paroisse de Saint Laurent d'Envermeu, "
DT76-00622,communes du Houlme et de Notre-Dame-de-Bondeville.,communes du Houlme et de Notre-Dame de Bondeville.
DT76-00625,commune de la Feuillie.,commune de la Feullie         .
DT76-00700,commune de Bosc-Guérard-Saint-Adrien.,commune de Boscguérard-Saint-Adrien         .
DT76-00707,"commune de Flamanville, ","commune de Flamaville         , "
DT76-00748,commune de Freneuse.,commune de Frebeuse         .
DT76-00772,communes du Héron et de Morville-sur-Andelle.,communes du Héron et de Norville-sur-Andelle.
DT76-00861,commune de Criquetot-l’Esneval.,commune de Criquetot-L'Esneval         .
DT76-00992,commune d’Anneville-sur-Seine.,commune d'Auneville-sur-Seine         .
DT76-01096,communes de Fresnay-le-Long et de la Houssaye-Béranger.,communes de Fresnoy-le-Long et de la Houssaye-Béranger.
DT76-01190,commune de Quincampoix.,commune de Quicampoix         .
DT76-01255,"paroisse Sainte-Ursule-de-Beaubec, ","paroisse Sainte Ursule de Beaubec, "
DT76-01303,commune de Sainte-Marguerite-sur-Mer.,commune de Sainte-Marguerite-sur-mer.
DT76-01516,"paroisses de Beaunay, Sainte-Geneviève-en-Caux et Heugleville-sur-Scie, ","paroisses de Beaunay, Sainte-Geneviève-en-Caux et Heugleville sur Scie, "
DT76-01520,commune de Saint-Pierre-Bénouville et l'ancienne ,commune de Saint Pierre-Bénouville          et l'ancienne 
DT76-01529,communes de Campneuseville et Vieux-Rouen.,communes de Campneuseville et Vieux Rouen.
DT76-01534,communes de Notre-Dame-de-Bliquetuit ou Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame de Bliquetuit ou Saint-Nicolas de Bliquetuit.
DT76-01541,près de la commune Sainte-Marie-au-Bosc.,près de la commune             Sainte Marie au Bosc         .
DT76-01555,commune de La Vieux-Rue.,commune de La Vieux Rue         .
DT76-01575,communes de Notre-Dame-de-Bliquetuit ou de Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame ou de Saint-Nicolas-de-Bliquetuit.
DT76-01604,"paroisses de Saint-Georges et Notre-Dame-de-Gravenchon, ","paroisses de Saint-Georges et Notre-Dame de Gravenchon, "
DT76-01751,communes de Belmesnil et Saint-Mards.,communes de Belmesnil et Saint Mards.
DT76-01785,"Saint-Martin-le-Blanc, ","Saint Martin-le-Blanc, "
DT76-01812,communes de Bois-Robert et de Saint-Germain-d'Etables.,communes de Bois-Robert et de Saint Germain d'Etables.
DT76-01813,Deville-les-Rouen.,            Déville-lès-Rouen         .
DT76-01832,"paroisses de la Trinité ou de Saint-Pierre-des-Jonquières, ","paroisses de la Trinité ou de Saint Pierre des Jonquières, "
DT76-01859,communes de Bourg-Dun et de Saint-Aubin-sur-Mer.,communes de Bourg-Dun et de Saint-Aubin sur-Mer.
DT76-01910,"communes de Ganzeville, Ygneauville et Tourville-les-Ifs.","communes de Gauzeville, Ygneauville et Tourville-les-Ifs."
DT76-01980,"commune de Villers-Ecalles, ","commune de Villiers-Ecalles         , "
DT76-02020,commune de Bosc-Guérard-Saint-Adrien.,commune de Boscguérard-Saint-Adrien         .
DT76-02026,communes de Notre-Dame-de-Bondeville et de Saint-Jean-du-Cardonnay.,communes de Notre-Dame-de-Bondeville et de Saint Jean du Cardonnay.
DT76-02044,commune de Villers-Ecalles.,commune de Villiers-Ecalles         .
DT76-02089,commune de Bosc-Guérard-Saint-Adrien ; ,commune de Boscguérard-Saint-Adrien          ; 
DT76-02100,"commune de Bosc-Guérard-Saint-Adrien, autrefois ","commune de Boscguérard-Saint-Adrien         , autrefois "
DT76-02103,communes de Ricarville-du-Val et de Saint-Vaast-d'Equiqueville.,communes de Ricarville-du-Val et de Saint Vaast-d'Equiqueville.
DT76-02131,commune Le Bec-aux-Cauchois.,commune Le-Bec-aux-Cauchois.
DT76-02134,communes de Gruchet-le-Valasse et de la Trinité-du-Mont,communes de Gruchet-le-Valasse et de la Trinité du Mont      
DT76-02140,commune de Bosc-Guérard-Saint-Adrien.,commune de Bosguérard-Saint-Adrien.
DT76-02239,commune de Bosc-Guérard-Saint-Adrien.,commune de Boscguérard-Saint-Adrien         .
DT76-02288,"paroisse de Saint-Pierre-d'Aumale, ","paroisse de Saint-Pierre d'Aumale, "
DT76-02340,communes du Bois-d'Ennebourg et de Saint-Jacques-sur-Darnétal.,communes du Bois-d'Ennebourg et de Saint Jacques-sur-Darnétal.
DT76-02352,commune de Bosc-Guérard-Saint-Adrien.,commune de Bosguérard-Saint-Adrien         .
DT76-02399,"commune de Saint-Martin-de-Boscherville, ","commune de Saint-Martin-du-Boscherville         , "
DT76-02425,communes de Paluel et de Saint-Riquier-ès-Plains.,communes de Paluel et de Saint-Riquier-ès-plains.
DT76-02520,communes de Roncherolles-en-Bray ou Mauquenchy.,communes de Roncherolles-en-Bray ou Maruquenchy.
DT76-02629,hameau de Sainte-Catherine.,hameau de Sainte Catherine.
DT76-02643,"commune de Saint-Martin-aux-Arbres,",commune de Saint-Martin-aux-Arbres               
DT76-02659,commune de Saint André-sur-Cailly et ,commune de Saint André sur Cailly et 
DT76-02665,commune d’Etaimpuis.,commune d'Eteimpuis         .
DT76-02735,communes de Lillebonne et de Saint-Jean-de-Folleville.,communes de Lillebonne et de Saint Jean de Folleville.
DT76-02770,communes de Gonneville-sur-Scie et Saint-Crespin.,communes de Gonneville-sur-Scie et Saint Crespin.
DT76-02866,communes de Catenay et de Saint-Germain-des-Essourts.,communes de Catenay et de Saint Germain des Essourts.
DT76-02891,commune de Canville-les-Deux-Eglises.,commune de Canville-les-deux-Eglises         .
DT76-03051,commune d’Ectot-les-Baons.,commune d'Etot-les-Baons         .
DT76-03119,commune de Haussez.,commune de Hassez         .
DT76-03192,devant l'Ile-Saint-Ouen.,devant l'Ile-saint-Ouen.
DT76-03198,"communes de Saint-Denis-sur-Scie, Cropus et Heugleville-sur-Scie, au ","communes de Saint Denis-sur-Scie, Cropus et Heugleville-sur-Scie, au "
DT76-03232,"paroisse Saint-Crespin-de-Becquet, ","paroisse Saint-Crespin de Becquet, "
DT76-03309,commune d’Anneville-sur-Seine.,commune d'Annouville-sur-Seine         .
DT76-03316,"paroisse de Saint-Benoît-de-Fécamp, ","paroisse de Saint-Benoît de Fécamp, "
DT76-03351,"paroisse de Sainte-Croix-de-Montivilliers, ","paroisse de Sainte-Croix de Montivilliers, "
DT76-03377,Saint-Laurent-de-Brevedent.,Saint-Laurent-de-Brévedent.
DT76-03390,communes de Bréauté et de Saint-Maclou-la-Brière ,communes de Bréauté et de Saint Maclou-la-Brière          
DT76-03407,commune de Sainte-Adresse.,commune de Saint-Adresse         .
DT76-03478,anciennement 149commune de Varvannes.,anc. 149commune de Varvannes.
DT76-03552,anciennement d'Eurville.,anc. d'Eurville.
DT76-03572,"communes de Vatteville, La Mailleraye-sur-Seine, Notre-Dame-de-Bliquetuit et Saint-Nicolas-de-Bliquetuit.","communes de Vatteville, La Mailleraye-sur-Seine, Notre-Dame et Saint-Nicolas-de-Bliquetuit."
DT76-03631,commune de Saint-Victor-L'Abbaye.,commune de Saint-Victor L'Abbaye         .
DT76-03649,"paroisses d'Octeville et de Saint-Barthélemy, ","paroisses d'Octeville et de Saint Barthélemy, "
DT76-03651,"paroisses de Saint-Supplix et d'Octeville, ","paroisses de Saint Supplix et d'Octeville, "
DT76-03666,communes des Grandes-Ventes et d'Ardouval.,communes des Grandes Ventes et d'Ardouval.
DT76-03684,commune de Sotteville-sous-le-Val.,commune de Sotteville-sur-le-Val         .
DT76-03709,communes des Grandes-Ventes et de Bellencombre en forêt d'Eawy.,communes des Grandes Ventes et de Bellencombre en forêt d'Eawy.
DT76-03712,commune d’Hugleville-en-Caux.,commune d'Heugleville-en-Caux         .
DT76-03721,communes de Saint-Valery-en-Caux ou de Manneville-ès-Plains.,communes de Saint-Valery-en-Caux ou de Manneville-es-Plains.
DT76-03786,commune 159de Saint-Aubin-Celloville.,commune 159de Saint Aubin-Celloville.
DT76-04022,communes de Notre-Dame-de-Franqueville ou Saint-Pierre-de-Franqueville,communes de Notre-Dame ou Saint-Pierre-de-Franqueville      
DT76-04027,commune d’Esclavelles.,commune d'Eclavelles         .
DT76-04150,commune de Fontaine-la-Mallet.,commune de Fontaine-La-Mallet         .
DT76-04185,commune de Saint-Martin-aux-Arbres.,commune de Saint-Martin-Aux-Arbres         .
DT76-04200,"commune d’Avesnes-en-Bray, ","commune d'Avessen-en-Bray         , "
DT76-04203,commune de Brémontier-Merval.,commune de Prémontier-Merval         .
DT76-04219,"commune de La Feuillie, ","commune de La Feullie         , "
DT76-04237,"commune de Saint-Pierre-Bénouville, ","commune de Saint-Pierre-Dénouville         , "
DT76-04275,"Saint-Laurent, Saâne, Saint-Just et Gonnetot.","Saint Laurent, Saâne, Saint-Just et Gonnetot."
DT76-04374,"communes d'Emanville, Limésy et Sainte-Austreberthe.","communes d'Emanville, Limésy et Sainte Austreberthe."
DT76-04452,communes d'Hénouville et de Saint-Pierre-de-Varengeville près du ,communes d'Hénouville et de Saint-Pierre de-Varengeville près du 
DT76-04534,"commune de Villers-sous-Foucarmont, ","commune de Villiers-sous-Foucarmont         , "
DT76-04618,commune de Saint-Léger-du-Bourg-Denis.,commune de Saint-Deger-du-Bourg-Denis         .
DT76-04619,commune de Mesnil-Esnard.,commune de Mesnil-Esmard         .
DT76-04629,commune de La Feuillie.,commune de La Feullie         .
DT76-04661,commune de La Feuillie ,commune de La Feullie                   
DT76-04671,commune Notre-Dame-de-Bliquetuit ou Saint-Nicolas-de-Bliquetuit.,commune Notre-Dame-ou Saint-Nicolas-de-Bliquetuit.
DT76-04709,"paroisse de Salmonville-l'Eavage, ","paroisse de Salmonville l'Eavage, "
DT76-04730,Saint-Saens.,            Saint-Saëns         .
