,DT_input,DT_output(CF)
place(article),20577,20577
place.label(//vedette/sm),20587,20587
place.label(//sm) > 30,881,403
place.commune_insee_code(//insee),218,218
place.localization_commune_insee_code(//commune/@insee),0,20662
codes insee non résolu(//commune[@insee='article_not_found']),0,0
place_comment.content (//commentaire),1032,1032
place_old_label (//forme_ancienne),1792,1792
place_description.content (//definition),20571,20571
place_feature_type.term(//typologie),19949,19949
place sans forme ancienne(//article[not(forme_ancienne)]) – total,19566,19566
place sans forme ancienne(//article[not(forme_ancienne)]) – %,0.9508674733926228,0.9508674733926228
article sans id (//article[not(@id)]),0,0
