article,ProblemeLocalisation ?
DT44-00699,commune de Notre-Dame-des-Landes.,commune de N.-D.-des-Landes.
DT44-01559,commune de Notre-Dame-des-Landes.,commune de N.-D.-des-Landes.
DT44-03284,commune de Saint-Lumine-de-Coutais.,commune de Sainte-Lumine-de-Coutais.
DT44-04092,commune de Saint-Lumine-de-Clisson.,commune de Sainte-Lumine-de-Clisson.
DT44-05451,commune de Saint-André-des-Eaux.,commune de Saint-Adré-des-Eaux.
DT44-05855,commune de Loroux-Bottereau.,commune de Lo-Bottereau.
DT44-06163,commune de Bouée.,commune de Boucé.
DT44-06654,commune de Bouée.,commune de Boucé.
DT44-07668,commune de Port-Saint-Père.,commune de Pont-Saint-Père.
DT44-08784,commune de Saint-Lyphard.,commune de Lyphard.
DT44-09490,commune de Sainte-Luce.,commune de Saint-Luce.
DT44-10598,commune de Guérande.,commune de Gérande.
DT44-11373,commune de Fay.,commune de Nantes.
DT44-12237,commune de Saint-Père-en-Retz.,commune de Sainte-Père-en-Retz.
DT44-12577,commune de Sainte-Luce.,commune de Saint-Luce.
DT44-12613,commune de Sainte-Pazanne.,commune de Saint-Pazanne.
DT44-12965,commune de Saint-Aubin-des-Châteaux.,commune de Sainte-Aubin-des-Châteaux.
DT44-16772,commune de Sainte-Anne-de-Cambon.,commune de Saint-Anne-de-Cambon.
DT44-17401,"commune d’Avessac, frairie de Linsac.","commune d'Aressac, frairie de Linsac."
DT44-19180,commune de Sainte-Pazanne.,commune de Saint-Pazanne.
DT44-20365,Nantes.,"Rezé, réunie au comté de Rezé en "
