article,output6.xml,DT64.xml
DT64-00649,commune d’Asson.,commune d'Arthez-d'Asson.
DT64-00814,commune d’Asson.,commune d'Arthez-d'Asson.
DT64-01165,commune d’Asson.,commune d'Arthez-d'Asson.
DT64-02276,commune d’Asson.,commune d'Arthez-d'Asson.
DT64-02362,commune d’Asson.,commune d'Arthez-d'Asson.
DT64-03929,commune de Lalonquette.,commune de Laloaquette.
DT64-04195,commune d’Asson.,commune d'Arthez-d'Asson.
DT64-04733,commune de Lanneplàa.,commune de Launeplàa.
DT64-05348,commune d’Ogeu.,commune d'Ogen.
