Vedette Longue (>30chars)
out:DT52-02734 Notre-Dame-de-la-Reconnaissance,
out:DT52-02753 Notre-Dame-sur-les-Murs-Fraicts,
out:DT52-03046 Quatre-Censes-de-Morimond (Les),
out:DT52-04084 « Villeneuve-des-Molieres (La) »,
out:DT52-04085 Villeneuve-en-Angoulancourt (La),
