article,output6.xml,DT52.xml
DT52-00110,commune de Meure.,commune de Meures         .
DT52-00255,commune de Villiers-au-Chêne.,commune de Villiers-aux-Chênes         .
DT52-00359,"commune de Choigne, section C.","commune de Choignes         , section C."
DT52-00467,"commune de Villiers-au-Bois, section A.","commune de Villiers-aux-Bois         , section A."
DT52-00525,"commune de Ville-au-Bois, section A.","commune de Ville-aux-Bois         , section A."
DT52-00549,commune de Chalvraines.,commune de Chalvraine         .
DT52-00692,commune de la Lavernoy.,commune de la Vernoy         .
DT52-00706,commune de Rouelles.,commune de Rouelle         .
DT52-00803,"commune de Villiers-au-Bois, section B.","commune de Villiers-aux-Bois         , section B."
DT52-00839,"commune de Brevannes, section A.","commune de Brevanne         , section A."
DT52-00861,"commune de la Neuville-au-Bois, section B.","commune de la Neuville-aux-Bois         , section B."
DT52-00869,"commune de la Ville-au-Bois, section A.","commune de la Ville-aux-Bois         , section A."
DT52-01000,"commune de Donjeux, section F.","commune de Dongeux         , section F."
DT52-01177,"commune de Chalvraines ; ancienne grange de l'abbaye de Morimond, devenue, dans le courant du ","commune de Chalvraine          ; ancienne grange de l'abbaye de Morimond, devenue, dans le courant du "
DT52-01292,"commune de Manois, section A.","commune de Menois         , section A."
DT52-01341,"commune de Courcelles-en-Montagne, section D.","commune Courcelles-en-Montagne, section D."
DT52-01370,"commune de Villiers-au-Bois, section A.","commune de Villiers-aux-Bois         , section A."
DT52-01392,commune de Frettes.,commune de Frette         .
DT52-01437,"commune de Heuilley-Coton, section A.","commune de Heuilley-Cothon         , section A."
DT52-01469,"commune de Dommartin-le-Saint-Père, section C.","commune de Dammartin-le-Saint-Père         , section C."
DT52-01509,commune de Heuilley-Coton.,commune de Heuilley-Cothon         .
DT52-01575,"commune de Heuilley-Coton, section A.","commune de Heuilley-Cothon         , section A."
DT52-01769,"commune de Melay, section A.","commune de Meslay         , section A."
DT52-01822,"commune de Villiers-au-Bois, section B.","commune de Villiers-aux-Bois         , section B."
DT52-01929,"commune de Dommarien, section F.","commune de Dommartin         , section F."
DT52-02084,"commune de Chalvraines, section A.","commune de Chalvraine         , section A."
DT52-02393,commune de Droye.,commune de Droyes         .
DT52-02519,commune de Chalvraines.,commune de Chalvraine         .
DT52-02548,commune de Plénoy.,commune de Plesnoy         .
DT52-02612,commune de Brevannes.,commune de Brevanne         .
DT52-02636,"commune de Saint-Thiébaud, section A.","commune de Saint-Thiébault         , section A."
DT52-02671,"commune de Heuilley-Coton, où l'on a trouvé de nombreux débris de constructions et des médailles romaines.","commune de Heuilley-Cothon         , où l'on a trouvé de nombreux débris de constructions et des médailles romaines."
DT52-02796,"commune de Montsaon ; ancien fief, provenant du prieuré de Sexfontaine.","commune de Mont-Saon          ; ancien fief, provenant du prieuré de Sexfontaine."
DT52-02823,"commune de Celles, au nord.","commune de Celle         , au nord."
DT52-02895,commune de Villiers-au-Chêne ; ancien fief.,commune de Villiers-aux-Chênes          ; ancien fief.
DT52-02924,communes d'Autigny-le-Grand et de Chatonrupt.,communes d'Antigny-le-Grand et de Chatonrupt.
DT52-02937,"commune de la Neuville-au-Bois, section A.","commune de la Neuville-aux-Bois         , section A."
DT52-03553,commune de Champigneulles.,commune de Champigneulle         .
DT52-03843,"commune de Villiers-au-Bois, section A.","commune de Villiers-aux-Bois         , section A."
DT52-04123,commune de Frettes.,commune de Frette         .
