article,ProblemeLocalisation ?
DT88-00128,"près Crainvillers, La Vacheresse-et-La-Rouillie, Saint-Ouën-lès-Parey, Aingeville, Malaincourt, Gendreville, Jainvillotte et pénètre sur le ","près Crainvillers, La Vacheresse-et-La Rouillie, Saint-Ouën-lès-Parey, Aingeville, Malaincourt, Gendreville, Jainvillotte et pénètre sur le "
DT88-00152,commune d’Hardancourt.,commune d'Hardoncourt         .
DT88-00993,commune de Saint-Benoît-la-Chipotte.,commune de Saint-Benoît-le-Chipotte         .
DT88-01562,commune de Dommartin-sur-Vraine.,commune de Dammartin-sur-Vraine         .
DT88-01733,commune d’Entre-Deux-Eaux.,commune d'Entre-deux-Eaux         .
DT88-01804,commune de Dommartin-lès-Remiremont.,commune de Dommartin lès-Remiremont         .
DT88-02612,"Eloyes, ","            Éloyes         , "
DT88-02668,"Badmenil-aux-Bois, ","            Badménil-aux-Bois         , "
DT88-03812,canton de Rambervillers.,canton de Bambervillers.
DT88-04049,commune d’Étival-Clairefontaine.,commune d'Étival Clairefontaine         .
DT88-04099,commune d’Entre-Deux-Eaux.,commune d'Entre-deux-Eaux         .
DT88-04531,commune d’Entre-Deux-Eaux.,commune d'Entre-deux-Eaux         .
DT88-04560,communes de Sans-Vallois et de Valfroicourt.,communes de Saint-Vallois et de Valfroicourt.
DT88-04840,commune de Rehaupal.,commune de Behaupal         .
DT88-05424,commune de Charmois-l’Orgueilleux.,commune de Charmois l'Orgueilleux         .
DT88-05472,"commune de Dommartin-lès-Remiremont, ","commune de Demmartin-lès-Remiremont         , "
DT88-05480,commune de Charmois-l’Orgueilleux.,commune de Charmois-l'Orgueilleuv         .
DT88-05542,commune de Charmois-l’Orgueilleux.,commune de Charmois-l'Orgeilleux         .
DT88-06120,commune d’Archettes.,commune d'Archelles         .
DT88-06436,commune d’Entre-Deux-Eaux.,commune d'Entre-deux-Eaux         .
DT88-06839,commune de Basse-sur-le-Rupt.,commune de Basse-sur-le Rupt         .
DT88-07033,Urimenil.,            Uriménil         .
DT88-07245,commune de Bertrimoutier.,commune de Bertimoutier         .
DT88-07480,commune de Dommartin-lès-Remiremont.,commune de Dammartin-lès-Remiremont         .
DT88-07646,commune de Rupt-sur-Moselle.,commune de Rapt-sur-Moselle         .
DT88-08061,commune d’Houécourt.,commune d'Houéecourt         .
DT88-08537,commune de Cornimont.,commune de Corniment         .
DT88-09454,"communes d’Ahéville, de Vaubexy et de Bazegney.","communes d'Ahéville, de Vaubexy et de Bazegey."
DT88-10027,commune de La Petite-Fosse.,commune de La Petite Fosse         .
DT88-10564,commune de Dommartin-lès-Remiremont.,commune de Dommartin-Remiremont         .
DT88-10794,communes de Bouzemont et Dompaire.,communes de Rougemont et Dompaire.
DT88-14333,communes de Gircourt-lès-Viéville et de Bettoncourt.,communes de Gironcourt-les-Viéville et de Bettoncourt.
DT88-14827,commune du Ménil.,commune du Mnil         .
DT88-15124,"Chatel-sur-Moselle, ","            Châtel-sur-Moselle         , "
DT88-15191,commune de Courcelles-sous-Châtenois comprend un lieu dit ,commune de Courcelles-sur-Châtenois comprend un lieu dit 
DT88-15255,commune de Ban-de-Sapt.,commune de Ban-de Sapt         .
DT88-15457,commune de Bois-de-Champ.,commune de Bois-de Champ         .
DT88-15640,"communes de Courcelles-sous-Châtenois, de Dolaincourt, de Vouxey et de Removille.","communes de Courcelles-sous-Châtenois, de Dolaincourt, de Vouvray et de Removille."
DT88-15662,commune d’Entre-Deux-Eaux.,commune d'Entre-deux-Eaux         .
DT88-15856,commune de Courcelles-sous-Châtenois.,commune de Courcelles-sur-Châtenois         .
DT88-15991,commune de Gugney-aux-Aulx.,commune de Gugney-aux-Eaux         .
DT88-16041,commune de Saint-Maurice-sur-Moselle.,commune de Saint-Maurice-sur-Mosellotte         .
DT88-16077,communes de Belmont-sur-Buttant et de Biffontaine.,communes de Belmont-sur-Bultant et de Biffontaine.
DT88-17180,commune de Cleurie.,commune de Cleuric         .
