,DT_input,DT_output(CF)
place(article),324,324
place.label(//vedette/sm),295,325
place.label(//sm) > 30,1,1
place.commune_insee_code(//insee),0,295
place.localization_commune_insee_code(//commune/@insee),0,27
codes insee non résolu(//commune[@insee='article_not_found']),0,0
place_comment.content (//commentaire),324,324
place_old_label (//forme_ancienne),1351,1351
place_description.content (//definition),0,29
place_feature_type.term(//typologie),0,0
place sans forme ancienne(//article[not(forme_ancienne)]) – total,25,25
place sans forme ancienne(//article[not(forme_ancienne)]) – %,0.07716049382716049,0.07716049382716049
article sans id (//article[not(@id)]),0,0
