article,output6.xml,DT77.xml
DT77-00211,"communes de Cerneux, Courtacon, Beton-Bazoches, Chevru, Marolles-en-Brie, Chailly-en-Brie ; il se jette dans le Grand-Morin à ","communes de Cerneux, Courtacon, Beton Bazoches, Chevru, Marolles-en-Brie, Chailly-en-Brie ; il se jette dans le Grand-Morin à "
DT77-00248,"à Ponthierry, commune de Saint-Fargeau.",commune de Ponthierry         .
DT77-00400,commune de Quincy-Ségy.,commune de Quincy-Sigy         .
DT77-00585,"à Lady, commune de Mormant.",commune de Lady         .
DT77-00783,"à Herbeauvilliers, commune de Buthiers.",commune d'Herbeauvilliers         .
DT77-01112,"à Busserrolles, commune de Saint-Ouen-sur-Morin.",commune de Busserolles         .
DT77-01224,"à Lourps, commune de Longueville.",commune de Lourps         .
DT77-01372,commune de Chamigny.,commune de Champigny         .
DT77-02327,"à Magny-Saint-Loup, commune de Boutigny.",commune de Magny-Saint-Loup         .
DT77-03091,"à Aubigny, commune de Montereau-sur-le-Jard.",commune d'Aubigny         .
DT77-03094,"à Montéty, commune de Lésigny.",commune de Montéty         .
DT77-03850,commune de Coutençon.,commune de Coutançon         .
DT77-04722,"à Puiselet, commune de Saint-Pierre-lès-Nemours.",commune de Puiselet         .
DT77-05770,"à Pecqueux, commune d’Aubepierre.",commune de Pecqueux         .
DT77-06461,territoire de la commune de la Chapelle-sur-Crécy.,territoire de la commune de La Chapelle-sur-Crécy         .
DT77-06775,près d’Échouboulains.,près d'Echouboulains         .
DT77-07616,commune de Longperrier.,commune de Longpérier         .
DT77-08096,commune de Bois-le-Roi.,commune de Bois-le-Boi.
DT77-08223,commune d’Aubepierre.,commune d'Aubeterre         .
DT77-08423,communes de Chamigny et de Sainte-Aulde.,communes de Champigny et de Sainte-Aulde.
DT77-08734,"à Busserrolles, commune de Saint-Ouen-sur-Morin.",communes de Busserolles et de Saint-Ouen-sur-Morin.
DT77-08813,"à Pierrelay, commune de Sancy-lès-Provins.",commune de Pierrelay         .
DT77-10593,commune de Rozay-en-Brie.,commune de Rezay-en-Brie         .
DT77-10753,"à Courtevroust, commune de Maison-Rouge.",commune de Courtevroust         .
DT77-11265,commune de Beauvoir.,commune de Beauvais         .
DT77-11416,"à Auxy, commune de Féricy.",commune d'Auxy         .
DT77-11441,"à Chambrefontaine, commune de Dammartin-en-Goële.",commune de Chambrefontaine         .
DT77-12046,"à Chambrefontaine, commune de Dammartin-en-Goële.",commune de Chambrefontaine         .
DT77-13092,"à Jacqueville, commune d’Amponville.",commune de Jacqueville         .
DT77-13751,commune de Sainte-Aulde.,commune de Saint-Aulde         .
DT77-14532,"à Pouilly-le-Fort, commune de Vert-Saint-Denis.",commune de Pouilly-le-Fort         .
DT77-15133,"à Magny-Saint-Loup, commune de Boutigny.",commune de Magny-Saint-Loup         .
DT77-16170,"à Lourps, commune de Longueville.",commune de Lourps         .
DT77-16866,"à Viercy, commune de Réau.",commune de Viercy         .
