Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT68-06826	Saint-Georges,	Alschwiller	Non		
DT68-06802	Sainte-Gertrude,	Altdorf	Non		
DT68-03327	Hospen,	Altkirch)	Non		
DT68-03864	Kilbertshag (Im),	Altkirch)	Non		
DT68-04412	Lerchenberg,	Altkirch)	Non		
DT68-05110	Möslen,	Altkirch)	Non		
DT68-05308	Muermatten,	Altkirch)	Non		
DT68-07247	Schmittacker,	Altkirch)	Non		
DT68-08004	Struethboden,	Altkirch)	Non		
DT68-09170	Ziehlbach,	Altkirch)	Non		
DT68-04007	Kohlhütte,	Altkirch) et Sainte-Croix-en-Plaine	Non et 68295		! Pb de segmentation
DT68-06828	Saint-Georges,	Bowoltsheim	Non		
DT68-00072	Altenberg,	Brunstatt	68056		Commune non identifiée (art. 68-00937)
DT68-00500	Bich,	Brunstatt	68056		
DT68-00660	Blutacker,	Brunstatt	68056		
DT68-00744	Bösenborn,	Brunstatt	68056		
DT68-00984	Burnen,	Brunstatt	68056		
DT68-01314	Damberg,	Brunstatt	68056		
DT68-01445	Dudely (Im),	Brunstatt	68056		
DT68-01535	Eichelberg,	Brunstatt	68056		
DT68-01894	Finsterwald,	Brunstatt	68056		
DT68-02071	Friedlinsberg,	Brunstatt	68056		
DT68-02142	Furth (Auf der),	Brunstatt	68056		
DT68-02159	Galgen,	Brunstatt	68056		
DT68-02226	Gangelberg,	Brunstatt	68056		
DT68-02236	Gantzenberg,	Brunstatt	68056		
DT68-02382	Girst,	Brunstatt	68056		
DT68-02652	Gugelman,	Brunstatt	68056		
DT68-02772	Hart (Auf der),	Brunstatt	68056		
DT68-02947	Helderleberg,	Brunstatt	68056		
DT68-02992	Herelen,	Brunstatt	68056		
DT68-02998	Hermannsgrund,	Brunstatt	68056		
DT68-03138	Hinter Willer,	Brunstatt	68056		
DT68-03276	Holtzgraben,	Brunstatt	68056		
DT68-03372	Hummel,	Brunstatt	68056		
DT68-03456	Hüttenberg,	Brunstatt	68056		
DT68-03487	Illberg,	Brunstatt	68056		
DT68-03634	Käferberg,	Brunstatt	68056		
DT68-03660	Kalberg,	Brunstatt	68056		
DT68-03754	Kädererhäusel,	Brunstatt	68056		
DT68-04208	Kutzelthal,	Brunstatt	68056		
DT68-04541	Löchelacker,	Brunstatt	68056		
DT68-04641	Louss,	Brunstatt	68056		
DT68-04646	Loussberg,	Brunstatt	68056		
DT68-05975	Pont-de-Dornach,	Brunstatt	68056		
DT68-06197	Reckholderberg,	Brunstatt	68056		
DT68-06253	Rennenberg,	Brunstatt	68056		
DT68-06320	Richertsägerten,	Brunstatt	68056		
DT68-06676	Ruedersbrunnen,	Brunstatt	68056		
DT68-06931	Sanct-Jacobsberg,	Brunstatt	68056		
DT68-06982	Sauloch,	Brunstatt	68056		
DT68-07058	Schatz (Im),	Brunstatt	68056		
DT68-07108	Schilckmatt,	Brunstatt	68056		
DT68-07189	Schlittenhubel,	Brunstatt	68056		
DT68-07389	Schwalmlöcher,	Brunstatt	68056		
DT68-07401	Schwartzengrund,	Brunstatt	68056		
DT68-07904	Stiegelgarten,	Brunstatt	68056		
DT68-08717	Wasemen,	Brunstatt	68056		
DT68-09005	Wog (An der),	Brunstatt	68056		
DT68-09016	Wolfenloch,	Brunstatt	68056		
DT68-00551	Birgelweg,	Cambes	Non		
DT68-06202	Reckwiller,	Capucins	Non		
DT68-08313	Trois-Pucelles (Les),	Champagney	70120		
DT68-02011	Fougeret,	Chavannatte	90024		
DT68-04819	Matraces (Les),	Dannemarie)	Non		
DT68-05019	Moissonette,	Dannemarie)	Non		
DT68-06006	Pré du Verrat,	Dannemarie)	Non		
DT68-06099	Raichênes,	Dannemarie)	Non		
DT68-06638	Rouellat (Bois),	Dannemarie)	Non		
DT68-06654	Rougières,	Dannemarie)	Non		
DT68-06703	Ruisseau de la Ville,	Dannemarie)	Non		
DT68-08139	Têtre (Le),	Dannemarie)	Non		
DT68-08533	Viannattes (Les),	Dannemarie)	Non		
DT68-08545	Vie-de-Suarce (La),	Dannemarie)	Non		
DT68-05277	Münchhof,	Deinheim	Non		
DT68-05763	Pâquis (Le),	Delle)	Non		
DT68-00061	Altebach,	Didenheim	68070		Commune non identifiée (art. 68-01355)
DT68-02424	Goldbach,	Didenheim	68070		
DT68-03345	Hübschenbühl,	Didenheim	68070		
DT68-03487	Illberg,	Didenheim	68070		
DT68-03660	Kalberg,	Didenheim	68070		
DT68-04300	Langenstein,	Didenheim	68070		
DT68-04396	Leitschenbrunn,	Didenheim	68070		
DT68-05669	Öhlacker,	Didenheim	68070		
DT68-06197	Reckholderberg,	Didenheim	68070		
DT68-08394	Ungehürenhöltzle,	Didenheim	68070		
DT68-08965	Wissengraben,	Didenheim	68070		
DT68-04207	Küttigen-Sträng,	Diefmatten	68071		
DT68-02211	Galgley,	Dintzheim	Non		
DT68-03386	Hundsbihne,	Dintzheim	Non		
DT68-00341	Barracken,	Dornach	68224		Commune non identifiée (art. 68-01414)
DT68-00887	Bristlen,	Dornach	68224		
DT68-01506	Egelessengraben,	Dornach	68224		
DT68-01634	Erlenmatten,	Dornach	68224		
DT68-01734	Fabrique Dollfus-Mieg,	Dornach	68224		
DT68-01767	Fabrique Thierry-Mieg,	Dornach	68224		
DT68-02288	Geisbühl,	Dornach	68224		
DT68-03146	Hirsacker,	Dornach	68224		
DT68-03158	Hirtzbach,	Dornach	68224		
DT68-03525	Isenholtz,	Dornach	68224		
DT68-04110	Kröslen,	Dornach	68224		
DT68-04311	Langenhag,	Dornach	68224		
DT68-05065	Moorjucherten,	Dornach	68224		
