article,ProblemeLocalisation ?
DT51-00505,commune de Sainte-Menehould.,commune de S            te-Menehould.
DT51-01101,commune de Ville-sous-Orbais.,commune de Ville-sur-Orbais         .
DT51-01700,commune de Vandeuil.,commune de Vendeuil         .
DT51-01790,commune de la Ville-sous-Orbais.,commune de la Ville-sur-Orbais         .
DT51-01990,près Sainte-Menehould.,près S            te-Menehould.
DT51-02056,communes de Cheminon-la-Ville et de Trois-Fontaines.,communes de Cheminon-la-Ville et de Trois Fontaines.
DT51-02092,commune d’Hauteville.,commune d'Hanteville         .
DT51-02328,commune de la Ville-sous-Orbais.,commune de la Ville-sur-Orbais         .
DT51-02457,"commune de Sézanne, aujourd'hui Sans-Souci.","commune de Sézanne         , aujourd'hui "
DT51-03338,commune de Vandeuil.,commune de Vendeuil         .
DT51-03744,commune de Vandeuil.,commune de Vaudeuil         .
DT51-03816,commune de Voilemont.,commune de Voilecomte         .
DT51-03861,commune de Bergères-lez-Vertus.,commune de Bergères lez-Vertus         .
DT51-04108,commune de la Ville-sous-Orbais.,commune de la Ville-sur-Orbais         .
DT51-04402,commune de la Ville-sous-Orbais.,commune de la Ville-sur-Orbais         .
DT51-04714,celui de Bouleuse.,>celui de Bouleuse.
DT51-05089,commune de Vandeuil (Cornet-Paulus).,commune de Vendeuil          (Cornet-Paulus).
