Vedette Longue (>30chars)
out:DT51-00013 Aigremonts (Ruisseau des), Ru Moriau ou 
out:DT51-00189 Barbarie (Chemin de la Petite-),
out:DT51-00657 Bouteillerie-aux-Bourgeois (La),
out:DT51-01886 Écluse du Pré-Saint-Martin (L'),
out:DT51-01976 Étang-de-la-Forêt (Ruisseau de l'),
out:DT51-01977 Étang-de-la-Pièce-Rouge (Ruisseau de l'),
out:DT51-01979 Étang-de-Lombroie (Ruisseau de l'),
out:DT51-01981 Étang-de-Montoy (Ruisseau de l'),
out:DT51-01982 Étang-de-Pargny (Ruisseau de l'),
out:DT51-01985 Étang-des-Franches-Saules (Ru de l'),
out:DT51-01989 Étang-des-Petits-Bâtis (Ru de l'),
out:DT51-01993 Étang-la-Vieille (Ruisseau de l'),
out:DT51-02001 Étangs-du-Bois-de-Châtrices (Ru des),
out:DT51-02029 Faligodon (La) ou mieux, peut-être 
out:DT51-02059 Femme-Noyée (Ruisseau de la) ou 
out:DT51-02238 Fontaine aux Bâtons (Ruisseau de la),
out:DT51-02241 Fontaine aux Ponceaux (Ruisseau de la),
out:DT51-02249 Fontaine de Favresse (Ruisseau de la),
out:DT51-02251 Fontaine de Lor (Ruisseau de la),
out:DT51-02253 Fontaine des Fées (Ruisseau de la),
out:DT51-02254 Fontaine des Fièvres (Ruisseau de la),
out:DT51-02263 Fontaine du Seigneur (Ruisseau de la),
out:DT51-02268 Fontaine Glérois (Ruisseau de la),
out:DT51-02269 Fontaine Lassin (Ruisseau de la),
out:DT51-02272 Fontaine Notre-Dame (Ruisseau de la),
out:DT51-02275 Fontaine Notre-Dame (Ruisseau de la),
out:DT51-02277 Fontaine Pissevache (Ruisseau de la),
out:DT51-02452 Franches-Saules (Bois et étang des),
out:DT51-02488 Gagnage-de-Claude-Mauclerc (Le),
out:DT51-02489 Gagnage-de-Dame-Anne (Le Petit-),
out:DT51-02581 Gorge des Massouillers (Ru de la),
out:DT51-02653 Grand-Moulin-de-la-Noue (Fief du),
out:DT51-02671 Grange-aux-Bains (Ruisseau de la),
out:DT51-02918 Hoirs Messire Geoffroy-d'Apremont (Fief des),
out:DT51-03385 Maisons-Éclusières-du-Canal (Les),
out:DT51-03529 Marais-de-Tranlais (Ruisseau du),
out:DT51-03541 Mare aux-Bœufs (Ruisseau de la),
out:DT51-03545 Mare-la-Converse (Ruisseau de la),
out:DT51-03729 Messire Rogue de Hangest (Fief de),
out:DT51-03858 Montagne-de-Reims (Forêt de la),
out:DT51-04223 Moulin-à-Vent-de-Sept-Saulx (Le),
out:DT51-04299 Moulin-de-Fontaine-sur-Coole (Fief du),
out:DT51-04318 Moulin-de-la-Fosse-aux-Larrons (Le),
out:DT51-04341 Moulin-de-la-Rue-aux-Vaches (Le),
out:DT51-04357 Moulin-de-l'Eswarel-de-Commenière (Le),
out:DT51-04359 Moulin-de-l'Étang (Ruisseau du),
out:DT51-04377 Moulin-de-Monsieur-de-Flavigny (Le),
out:DT51-04406 Moulin-des-Fourches (Au-dessus du),
out:DT51-04428 Moulin-de-Vauclerc (Ruisseau du),
out:DT51-04437 Moulin-du-Chemin-des-Vignes (Le),
out:DT51-04452 Moulin-du-Mont-de-la-Perche (Le),
out:DT51-04578 Moulins-de-Marne-la-Maison (Les),
out:DT51-04602 Moutons des Verrières (Cense des),
out:DT51-04898 Petite-Rivière (Ruisseau de la),
out:DT51-05017 Point-du-Jour-de-la-Montagne (Le),
out:DT51-05071 Pontrelet (Le) [ou mieux, sans doute, 
out:DT51-05176 Puits-du-Roy-de-la-Tournelle (Le),
out:DT51-05188 Quartiers-de-Saint-Thibaud (Les),
out:DT51-05480 Saint-Biez (La Pièce) ou plus correctement 
out:DT51-05963 Télégraphe-de-la-Côte-de-Biesme (Le),
out:DT51-06175 Tuilerie-des-Petites-Montagnes (La),
out:DT51-06176 Tuilerie-du-Chemin-de-Serzy (La),
out:DT51-06185 Tuileries (Les Bois et les Terres des),
out:DT51-06504 Villeneuve-Saint-Vistre-et-Villevotte,
out:DT51-00035Ay
out:DT51-00140Ay
out:DT51-00461Ay
out:DT51-00675Ay
out:DT51-01007Ay
out:DT51-01012Ay
out:DT51-01017Ay
out:DT51-01207Ay
out:DT51-01236Ay
out:DT51-01556Ay
out:DT51-01575Ay
out:DT51-01755Ay
out:DT51-01765Ay
out:DT51-01772Ay
out:DT51-01826Ay
out:DT51-02118Ay
out:DT51-02225Ay
out:DT51-02542Ay
out:DT51-02824Ay
out:DT51-02881Ay
out:DT51-03230Ay
out:DT51-03290Ay
out:DT51-03448Ay
out:DT51-03488Ay
out:DT51-03551Ay
out:DT51-03742Ay
out:DT51-04222Ay
out:DT51-04614Ay
out:DT51-04617Ay
out:DT51-04639Ay
out:DT51-05115Ay
out:DT51-05505Ay
out:DT51-05582Ay
out:DT51-05757Ay
out:DT51-05959Ay
out:DT51-06041Ay
out:DT51-06098Ay
out:DT51-06244Ay
out:DT51-06510Ay
