Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT51-00447	Bigotterie (La),	Ablois	51002		
DT51-00878	Cartonnerie (La),	Ablois	51002		
DT51-01323	Chemin des Gendarmes,	Ablois	51002		
DT51-02257	Fontaine de Sourdon (La),	Ablois	51002		
DT51-02524	Gaumarderie (La),	Ablois	51002		
DT51-05803	Saussaie,	Allemanche	51004		
DT51-00027	Allemanche-Launay-et-Soyer,	Allemanche-Launay	non		
DT51-00027	Allemanche-Launay-et-Soyer,	Anglure	non		
DT51-00150	Bagneux,	Anglure	non		
DT51-00196	Barbonne-et-Fayel,	Anglure	non		
DT51-00248	Baudement,	Anglure	non		
DT51-00341	Bellassise,	Anglure	51009		"Commune non reconnue (article id=""DT51-00052"""
DT51-00351	Belle-Idée (La),	Anglure	51009		
DT51-00355	Bellevue,	Anglure	51009		
DT51-00896	Celle-sous-Chantemerle (La),	Anglure	non		
DT51-01082	Chapelle-Lasson (La),	Anglure	non		
DT51-01417	Clesles,	Anglure	non		
DT51-01491	Conflans-sur-Seine,	Anglure	non		
DT51-01933	Esclavolles,	Anglure	non		
DT51-02711	Granges-sur-Aube,	Anglure	non		
DT51-03241	Lurey,	Anglure	non		
DT51-03537	Marcilly-sur-Seine,	Anglure	non		
DT51-03586	Marsangis,	Anglure	non		
DT51-05605	Saint-Just,	Anglure	non		
DT51-05722	Saint-Quentin-le-Verger,	Anglure	non		
DT51-05739	Saint-Saturnin,	Anglure	non		
DT51-05784	Saron,	Anglure	non		
DT51-06548	Villiers-aux-Corneilles,	Anglure	non		
DT51-06594	Vouarces,	Anglure	non		
DT51-04697	Nogent,	Antenay	51012		
DT51-00065	Arcis-Séverin,	Arcis-le-Ponsard	51014		
DT51-00219	Baslieux,	Arcis-le-Ponsard	51014		
DT51-01315	Chemin-de-Courville (Le),	Arcis-le-Ponsard	51014		
DT51-01403	Cinq-Piles (Bois des),	Arcis-le-Ponsard	51014		
DT51-02813	Haie-aux-Loups (La),	Arcis-le-Ponsard	51014		
DT51-02973	Igny,	Arcis-le-Ponsard	51014		
DT51-03487	Malmaison (La),	Arcis-le-Ponsard	51014		
DT51-04099	Moulin-à-Hotte (Le),	Arcis-le-Ponsard	51014		
DT51-04125	Moulin-à-Vent (Le),	Arcis-le-Ponsard	51014		
DT51-06095	Tuilerie (La),	Arcis-le-Ponsard	51014		
DT51-06222	Vallée-des-Bois (La),	Arcis-le-Ponsard	51014		
DT51-00070	Arembécourt (Ru d'),	Arembécourt	10010		
DT51-00095	Aube (L'),	Auberive	52023		
DT51-00869	Carmerie (La),	Auberive	51019		
DT51-01934	Espérance (L'),	Auberive	51019		
DT51-03447	Maladrerie (La),	Auberive	51019		
DT51-03758	Milianah,	Auberive	51019		
DT51-04800	Ounneterie (La),	Auberive	51019		
DT51-05181	Putigny,	Auberive	51019		
DT51-05931	Suzot,	Auberive	51019		
DT51-00761	Brugny-Vaudancourt,	Avize	non		
DT51-00873	Carrières (Les),	Avize	51029		"Commune non reconnue (article id=""DT51-00141"""
DT51-01304	Chavot,	Avize	non		
DT51-01426	Clos (Le),	Avize	51029		
DT51-01712	Cramant,	Avize	non		
DT51-01758	Cuis,	Avize	non		
DT51-02114	Flavigny,	Avize	non		
DT51-02554	Saint-Ferjeux,	Avize	non		
DT51-02724	Grauves,	Avize	non		
DT51-02997	Istres-et-Bury (Les),	Avize	non		
DT51-03028	Je-m'en-Moque,	Avize	51029		
DT51-03255	Madeleine (La),	Avize	51029		
DT51-03305	Maison-de-la-Carrière,	Avize	51029		
DT51-03396	Maladerie (La),	Avize	51029		
DT51-03507	Mancy,	Avize	non		
DT51-03662	Mazagran,	Avize	51029		
DT51-03727	Mesnil-sur-Oger (Le),	Avize	non		
DT51-03807	Molins,	Avize	non		
DT51-03993	Morangis,	Avize	non		
DT51-03994	Morangis (Le Petit-),	Avize	51029		
DT51-04766	Oger,	Avize	non		
DT51-04770	Oiry,	Avize	non		
DT51-05007	Plivot,	Avize	non		
DT51-06097	Tuilerie (La),	Avize	51029		
DT51-06271	Vaudancourt,	Avize	non		
DT51-06519	Villers-aux-Bois,	Avize	non		
DT51-00035	Ambonnay,	Ay	non		
DT51-00140	Avenay,	Ay	non		
DT51-00461	Bisseuil,	Ay	non		
DT51-00675	Bouzy,	Ay	non		
DT51-01007	Champerrier,	Ay	51030		"Commune non reconnue (article id=""DT51-00143"""
DT51-01012	Champguicher,	Ay	51030		
DT51-01017	Champillon,	Ay	non		
DT51-01207	Châtillon,	Ay	51030		
DT51-01236	Chaufour (Le),	Ay	51030		
DT51-01556	Cormoyeux-Romery,	Ay	non		
DT51-01575	Côte (La),	Ay	51030		
DT51-01755	Cubray (Le),	Ay	51030		
DT51-01765	Cumières,	Ay	non		
DT51-01772	Cuve (La),	Ay	51030		
DT51-01826	Dizy,	Ay	non		
DT51-02118	Fleury-la-Rivière,	Ay	non		
DT51-02225	Fontaine,	Ay	non		
DT51-02542	Germaine,	Ay	non		
DT51-02824	Ham (Le),	Ay	51030		
DT51-02881	Hautvillers,	Ay	non		
DT51-03230	Louvois,	Ay	non		
DT51-03290	Maison-Blanche (La),	Ay	51030		
DT51-03448	Maladrerie,	Ay	51030		
DT51-03488	Malmaison (La),	Ay	51030		
DT51-03551	Mareuil-sur-Ay,	Ay	non		
DT51-03742	Meurtet (Le),	Ay	51030		
DT51-04222	Moulin-à-Vent-de-la-Côte (Le),	Ay	51030		
DT51-04614	Mutigny,	Ay	non		
DT51-04617	Mutry,	Ay	non		
DT51-04639	Naux (La),	Ay	51030		
DT51-05115	Pré-de-Mars (Le),	Ay	51030		
DT51-05505	Sainte-Anne,	Ay	51030		
DT51-05582	Saint-Imoges,	Ay	non		
DT51-05757	Saint-Trésain,	Ay	51030		
DT51-05959	Tauxières,	Ay	51030		
DT51-06041	Tours-sur-Marne,	Ay	non		
DT51-06098	Tuilerie (La),	Ay	51030		
DT51-06244	Varmery,	Ay	51030		
DT51-06510	Villers (La),	Ay	51030		
DT51-01317	Chemin de la Reine (Le),	Barbonne-Fayel	51036		
DT51-06099	Tuilerie (Bois de la),	Barbonne-Fayel	51036		
DT51-00098	Auberive,	Beine	51046		
DT51-00406	Berru,	Beine	non		
DT51-00423	Bétheniville,	Beine	non		
DT51-00556	Bontemps,	Beine	51046		
DT51-00847	Californie (La),	Beine	51046		
DT51-00952	Cernay-lez-Reims,	Beine	non		
DT51-01837	Dontrien,	Beine	non		
DT51-01926	Époye,	Beine	non		
DT51-03265	Magenta,	Beine	51046		
DT51-03398	Maladerie (La),	Beine	51046		
DT51-04009	Moronvilliers,	Beine	non		
DT51-04043	Mouchery,	Beine	51046		
DT51-04636	Nauroy,	Beine	non		
DT51-04699	Nogent-l'Abbesse,	Beine	non		
DT51-04798	Oudéa,	Beine	51046		
DT51-05153	Prosnes,	Beine	non		
DT51-05160	Prunay,	Beine	non		
DT51-05456	Saint-Amand,	Beine	51046		
DT51-05578	Saint-Hilaire-le-Petit,	Beine	non		
DT51-05662	Saint-Martin-l'Heureux,	Beine	non		
DT51-05665	Saint-Masmes,	Beine	non		
DT51-05744	Saint-Souplet,	Beine	non		
DT51-05827	Selles,	Beine	non		
DT51-06245	Varsovie,	Beine	51046		
DT51-06275	Vaudesincourt,	Beine	non		
DT51-06440	Vieux-Moulin (Le),	Beine	51046		
DT51-06622	Witry-lez-Reims,	Beine	non		
DT51-01528	Coquenauderie (La),	Belval-sous-Châtillon	51048		
DT51-01608	Cour (La),	Belval-sous-Châtillon	51048		
DT51-01854	Drouinnerie (La),	Belval-sous-Châtillon	51048		
DT51-03163	Lingeries (Les),	Belval-sous-Châtillon	51048		
DT51-03356	Maison-Neuve (La),	Belval-sous-Châtillon	51048		
DT51-04041	Mouchard (Ru),	Belval-sous-Châtillon	51048		
DT51-04310	Moulin-de-la-Charmoise (Le),	Belval-sous-Châtillon	51048		
DT51-04557	Moulin-Poudra (Le),	Belval-sous-Châtillon	51048		
DT51-04952	Pierre-Moinerie (La),	Belval-sous-Châtillon	51048		
DT51-06073	Trois-Moulins (Les),	Belval-sous-Châtillon	51048		
DT51-03861	Mont-Aimé,	Bergères	51049	Bergères-lez-Vertus	
DT51-03449	Maladrerie (La),	Béru	51052		
DT51-03622	Masures (Les),	Béru	51052		
DT51-04136	Moulin-à-Vent (Le),	Béru	51052		
DT51-04233	Moulin-Bazin (Le),	Béru	51052		
DT51-04867	Perceuil,	Béru	51052		
DT51-05350	Romouty,	Béru	51052		
DT51-05388	Roussisson,	Béru	51052		
DT51-06468	Vieux-Moulin-à-Vent (Le),	Béru	51052		
DT51-00722	Briquerie (La),	Bettancourt-la-Longue	51057		
DT51-01164	Châtelet (Le),	Bettancourt-la-Longue	51057		
DT51-06103	Tuilerie (La),	Bettancourt-la-Longue	51057		
DT51-02077	Ferme-du-Château (La),	Bierges	51107		
DT51-01419	Clincarderie (La),	Binson-Orquigny	51063		
DT51-03929	Montigny,	Binson-Orquigny	51063		
DT51-04257	Quarré (Le),	Binson-Orquigny	51063		
DT51-04274	Moulin-d'Anthenay (Le),	Binson-Orquigny	51063		
DT51-04449	Moulin-du-Jour (Le),	Binson-Orquigny	51063		
DT51-04619	Mutry,	Binson-Orquigny	51063		
DT51-04690	Niards (Les),	Binson-Orquigny	51063		
DT51-04917	Petit-Moulin (Le),	Binson-Orquigny	51063		
DT51-04961	Pierre-Saint-Philippe (La),	Binson-Orquigny	51063		
DT51-05329	Rodemat (Bois de),	Binson-Orquigny	51063		
DT51-05510	Sainte-Bouboure,	Binson-Orquigny	51063		
DT51-02831	Hans (Ru de),	Bionne	51543		
DT51-03025	Jeanne-Lamy (Fief de),	Blaise	51277		
DT51-04870	Perles (Ruisseau de),	Blanzy	02091		
DT51-01803	Davigny (Le),	Blesme	51068		
DT51-03123	Leau,	Blesme	51068		
DT51-03311	Maison-de-Léans (La),	Blesme	51068		
DT51-04015	Motte (La),	Blesme	51068		
DT51-04792	Ormesay,	Blesme	51068		
DT51-00442	Biffontaine,	Boissy-le-Repos	51070		
DT51-01122	Charmotte (La),	Boissy-le-Repos	51070		
DT51-03743	Meuse,	Boissy-le-Repos	51070		
DT51-06260	Vaucelle (La Basse-),	Boissy-le-Repos	51070		
DT51-06261	Vaucelle (La Haute-),	Boissy-le-Repos	51070		
DT51-02090	Ferrières,	Boult-sur-Suippes	51074		
DT51-04016	Motte (La),	Brandonvillers	51080		
DT51-04923	Petit-Paris (Le),	Brandonvillers	51080		
DT51-00872	Carrière-Branscourt,	Branscourt	51081		"Commune non reconnue (article id=""DT51-00688"""
DT51-04011	Mortes-Eaux (Étang des),	Branscourt	51081		
DT51-04255	Moulin-Camus (Le),	Branscourt	51081		
DT51-04599	Moutier (Le),	Branscourt	51081		
DT51-00350	Bellefontaine,	Bréban	51084		
DT51-01269	Chaufours (Les),	Breuil-sur-Vesle	51086		
DT51-01324	Chemin des Huguenots,	Breuil-sur-Vesle	51086		
DT51-02275	Fontaine Notre-Dame (Ruisseau de la),	Breuil-sur-Vesle	51086		
DT51-03450	Maladrerie (La),	Breuil-sur-Vesle	51086		
DT51-04682	Neuville-aux-Bois (La),	Breuil-sur-Vesle	51086		
DT51-04793	Ormont,	Breuil-sur-Vesle	51086		
DT51-06249	Vassieux,	Breuil-sur-Vesle	51086		
DT51-06487	Ville-aux-Bois (La),	Breuil-sur-Vesle	51086		
DT51-06590	Voisin,	Breuil-sur-Vesle	51086		
DT51-00710	Brice,	Brugny	51093		
DT51-00727	Briqueterie (La),	Brugny	51093		
DT51-00761	Brugny-Vaudancourt,	Brugny	non		
DT51-01438	Cloterie (La),	Brugny	51093		
DT51-01824	Dieudonné,	Brugny	51093		
DT51-02106	Flacoterie (La),	Brugny	51093		
DT51-02403	Four-à-Chaux (Le),	Brugny	51093		
DT51-02775	Grosse-Ferme (La),	Brugny	51093		
DT51-03159	Limons (Les),	Brugny	51093		
DT51-04896	Petite-Ferme (La),	Brugny	51093		
DT51-04988	Pivants (Les),	Brugny	51093		
DT51-05020	Poissonnerie (La),	Brugny	51093		
DT51-05239	Ravine (La),	Brugny	51093		
DT51-06107	Tuilerie (La),	Brugny	51093		
