66023,REG_91,DEP_66,AR_66-3,CT_66-18,Bouleternère,"","(2.5837438888888893, 42.645766666666674)",3031169,Q189957,https://fr.wikipedia.org/wiki/Bouletern%C3%A8re,ark:/12148/cb15270934f,,,1919385,
66024,REG_91,DEP_66,AR_66-1,CT_66-03,Boulou,(Le),"(2.8348043999999994, 42.525280266666684)",6614557,Q8672,https://fr.wikipedia.org/wiki/Le_Boulou,ark:/12148/cb15270935s,,,18476,
66025,REG_91,DEP_66,AR_66-3,CT_66-13,Bourg-Madame,"","(1.9661237096774193, 42.43513822580643)",6615247,Q329276,https://fr.wikipedia.org/wiki/Bourg-Madame,ark:/12148/cb152709364,234771248,,1820709,
66026,REG_91,DEP_66,AR_66-2,CT_66-17,Brouilla,"","(2.8919889090909088, 42.58105863636364)",6450509,Q199840,https://fr.wikipedia.org/wiki/Brouilla,ark:/12148/cb15270937g,,,23237,
66027,REG_91,DEP_66,AR_66-3,CT_66-06,Cabanasse,(La),"(2.1128774545454543, 42.50510218181818)",6457018,Q190144,https://fr.wikipedia.org/wiki/La_Cabanasse,ark:/12148/cb15270938t,148389475,,2853759,
66028,REG_91,DEP_66,AR_66-2,CT_66-20,Cabestany,"","(2.9429313580246896, 42.676368888888895)",3029302,Q8970,https://fr.wikipedia.org/wiki/Cabestany,ark:/12148/cb152709395,157119619,,18328,
66029,REG_91,DEP_66,AR_66-2,CT_66-17,Caixas,"","(2.6572868864468844, 42.60336974358975)",6450511,Q1071950,https://fr.wikipedia.org/wiki/Caixas,ark:/12148/cb15270940c,,,24858,
66030,REG_91,DEP_66,AR_66-2,CT_66-30,Calce,"","(2.7527739583333335, 42.744948333333326)",3029144,Q530366,https://fr.wikipedia.org/wiki/Calce,ark:/12148/cb15270941q,,,1798944,
66032,REG_91,DEP_66,AR_66-1,CT_66-03,Calmeilles,"","(2.668856363636363, 42.5481180909091)",6450513,Q7963,https://fr.wikipedia.org/wiki/Calmeilles,ark:/12148/cb15270943d,,,27529,
66033,REG_91,DEP_66,AR_66-2,CT_66-17,Camélas,"","(2.6895988489208635, 42.63871568345324)",6450514,Q188282,https://fr.wikipedia.org/wiki/Cam%C3%A9las,ark:/12148/cb15270944r,,,24940,
66034,REG_91,DEP_66,AR_66-3,CT_66-10,Campôme,"","(2.3888921428571415, 42.64857650793651)",6450515,Q735024,https://fr.wikipedia.org/wiki/Camp%C3%B4me,ark:/12148/cb152709453,,,2820851,
66035,REG_91,DEP_66,AR_66-3,CT_66-16,Campoussy,"","(2.457153116883117, 42.70005610389612)",3028916,Q190098,https://fr.wikipedia.org/wiki/Campoussy,ark:/12148/cb15270946f,,,2818795,
66036,REG_91,DEP_66,AR_66-3,CT_66-07,Canaveilles,"","(2.224500485436894, 42.53320524271844)",6450517,Q603348,https://fr.wikipedia.org/wiki/Canaveilles,ark:/12148/cb15270947s,,,2913416,
66037,REG_91,DEP_66,AR_66-2,CT_66-31,Canet-en-Roussillon,"","(3.013608866666667, 42.68650753333333)",6614492,Q380514,https://fr.wikipedia.org/wiki/Canet-en-Roussillon,ark:/12148/cb152709484,245811728,,18350,
66038,REG_91,DEP_66,AR_66-2,CT_66-29,Canohès,"","(2.835643243243244, 42.650918378378364)",3028797,Q598624,https://fr.wikipedia.org/wiki/Canoh%C3%A8s,ark:/12148/cb15270949g,,,18316,
66039,REG_91,DEP_66,AR_66-2,CT_66-04,Caramany,"","(2.5628217999999983, 42.73387670000002)",3028672,Q379058,https://fr.wikipedia.org/wiki/Caramany,ark:/12148/cb15270950p,,,21638,1795fc38-6a42-40b7-a130-8bf51aafc73b
66040,REG_91,DEP_66,AR_66-3,CT_66-18,Casefabre,"","(2.6152531531531533, 42.61738747747748)",6450520,Q1071996,https://fr.wikipedia.org/wiki/Casefabre,ark:/12148/cb152709511,,,1918812,
66041,REG_91,DEP_66,AR_66-2,CT_66-12,Cases-de-Pène,"","(2.785336718750001, 42.782887187500016)",6450521,Q1093042,https://fr.wikipedia.org/wiki/Cases-de-P%C3%A8ne,ark:/12148/cb15270952c,155613142,,34167,
66042,REG_91,DEP_66,AR_66-2,CT_66-04,Cassagnes,"","(2.626362207792208, 42.74105350649348)",6450522,Q1093110,https://fr.wikipedia.org/wiki/Cassagnes_(Pyr%C3%A9n%C3%A9es-Orientales),ark:/12148/cb15270953q,,,1239463,
66043,REG_91,DEP_66,AR_66-3,CT_66-10,Casteil,"","(2.416623372093023, 42.501632209302315)",3028400,Q199756,https://fr.wikipedia.org/wiki/Casteil,ark:/12148/cb152709542,236112200,,2913877,
66044,REG_91,DEP_66,AR_66-2,CT_66-17,Castelnou,"","(2.7086340499999983, 42.613094849999996)",6450524,Q191094,https://fr.wikipedia.org/wiki/Castelnou,ark:/12148/cb15270955d,,,24457,
