id,commune_dt,insee,type,vedette,typologie
96,Canohès (Cànohes),66038,,Mas de les Coves,
97,Casefabre,66040,commune,Casefabre,commune
98,Casefabre (Casafabre),66040,,Sant Ponç de Candell,
99,Cases-de-Pène,66041,commune,Cases-de-Pène,commune
100,Castelnou,66044,commune,Castelnou,commune
101,Castelnou (Castellnou),66044,,Cubrí,
102,Castelnou (Castellnou),66044,,Santa Maria del Mercadal,
103,Cerbère,66048,commune,Cerbère,commune
104,Cerbère (Cervera),66048,,Queroig,
105,Claira,66050,commune,Claira,commune
106,Claira (Clayrà),66050,,Combusta,
107,Claira (Clayrà),66050,,Peracals,
108,Claira (Clayrà),66050,,Sant Pere del Vilar,
109,Les Cluses,66063,commune,Les Cluses,commune
110,Cluses,66063,,Sant Pere de Sureda,
111,Corbère,66055,commune,Corbère,commune
112,Corbère (Corbera),66055,,Els Cortals,
113,Corbère (Corbera),66055,,Sant Julià de Vallventosa,
114,Corbère (Corbera),66055,,Sant Pere del Bosch,
115,Corbère-les-Cabanes,66056,commune,Corbère-les-Cabanes,commune
116,Corbère-les-Cabanes (Corbera la Cabana),66056,,Font de la Dou,
117,Corneilla-la-Rivière,66058,commune,Corneilla-la-Rivière,commune
118,Corneilla-la-Rivière (Cornellà de la Ribera),66058,,Cornellanell,
119,,,,Corneilla-del-Vercol,
120,,,,Nostra Senyora de Paradís,
121,Collioure,66053,commune,Collioure,commune
122,Collioure (Cotlliure),66053,,El Mirador,
123,Collioure (Cotlliure),66053,,Nostra Senyora de Consolació,
124,Collioure (Cotlliure),66053,,Port d’Amunt,
125,Collioure (Cotlliure),66053,,Port d’Avall,
126,Collioure (Cotlliure),66053,,Sant Elm,
127,Collioure (Cotlliure),66053,,Torre de l’Estela ?,
128,Collioure (Cotlliure),66053,,Torre de la Colomina,
129,Collioure (Cotlliure),66053,,La Vila Vella,
130,Elne,66065,commune,Elne,commune
131,Elne (Elna),66065,,Bonit,
132,Elne (Elna),66065,,Buada,
133,Elne (Elna),66065,,Mossellons,
134,Elne (Elna),66065,,Palol d’Amunt,
135,Elne (Elna),66065,,Palol d’Avall,
136,Elne (Elna),66065,,Santa Eugènia de Tresmals,
137,Elne (Elna),66065,,Sant Martí de la Riba,
138,Elne (Elna),66065,,Senadors,
139,Espira-de-l'Agly,66069,commune,Espira-de-l'Agly,commune
140,Espira-de-l'Agly (Espirà de l’Aglí),66069,,Mas de la Dona Morta,
141,Espira-de-l'Agly (Espirà de l’Aglí),66069,,Nastes,
142,Estagel,66071,commune,Estagel,commune
143,Estagel (Estagell),66071,,Sant Vicenç,
144,Fourques,66084,commune,Fourques,commune
145,Fourques (Forques),66084,,Les Campanes,
146,Fourques (Forques),66084,,Darrera el Castell,
147,Fourques (Forques),66084,,La Montadella,
148,Fourques (Forques),66084,,Reixach,
149,Fourques (Forques),66084,,Sant Miquel,
150,Fourques (Forques),66084,,Sant Sebastià,
151,Fourques (Forques),66084,,Sant Vicenç,
152,Fourques (Forques),66084,,Tàpies,
153,Ille-sur-Têt,66088,commune,Ille-sur-Têt,commune
154,Ille-sur-Têt (Illa),66088,,Annes,
155,Ille-sur-Têt (Illa),66088,,Cases Noves,
156,Ille-sur-Têt (Illa),66088,,Reglella,
157,Ille-sur-Têt (Illa),66088,,Santa Maria del Remei,
158,Ille-sur-Têt (Illa),66088,,Sant Maurici de Greulera,
159,Ille-sur-Têt (Illa),66088,,Talaçà,
160,Llauro,66099,commune,Llauro,commune
161,Llupia,66101,commune,Llupia,commune
162,Llupia (Llupià),66101,,Llupia,
163,Llupia (Llupià),66101,,Sant Romà,
164,Llupia (Llupià),66101,,Sant Salvador de Vilarmilà,
165,Millas,66108,commune,Millas,commune
166,Millas (Millars),66108,,Mas de la Garriga,
167,Millas (Millars),66108,,Nostra Senyora de Força Real,
168,Millas (Millars),66108,,Nostra Senyora del Remei,
169,Millas (Millars),66108,,Sant Martí de la Riba,
170,Montauriol,66112,commune,Montauriol,commune
171,Montauriol,66112,,Caplou,
172,Montauriol,66112,,"Caratg, Caralp",
173,Montauriol,66112,,Sant Amans,
174,Montescot,66114,commune,Montescot,commune
175,Montescot,66114,,Avalri,
176,Montescot,66114,,Vila Seca,
177,Montesquieu-des-Albères,66115,commune,Montesquieu-des-Albères,commune
178,Montesquieu-des-Albères (Montesquiu),66115,,Nostra Senyora dels Agullons,
180,Montesquieu-des-Albères (Montesquiu),66115,,Valarqueix,
181,Montner,66118,commune,Montner,commune
182,Millas (Millars),66108,,Força Real,
182,Montner,66118,,Força Real,
183,Néfiach,66121,commune,Néfiach,commune
184,Oms,66126,commune,Oms,commune
185,Opoul,66127,commune,Opoul,commune
186,Opoul (Òpol),66127,,Perellós,
187,Opoul (Òpol),66127,,Valloriola,
188,Ortaffa,66129,commune,Ortaffa,commune
189,Ortaffa (Ortafà),66129,,Criag,
190,Ortaffa (Ortafà),66129,,Terrats,
191,Palau-del-Vidre,66133,commune,Palau-del-Vidre,commune
192,Palau-del-Vidre (Palau del Vidre),66133,,Batipalmes,
193,Palau-del-Vidre (Palau del Vidre),66133,,Santa Coloma d’Alemanys,
194,Palau-del-Vidre (Palau del Vidre),66133,,Vilaclara,
195,Peyrestortes,66138,commune,Peyrestortes,commune
196,Passa,66134,commune,Passa,commune
197,Passa (Passà),66134,,Monestir del Camp,
198,Passa (Passà),66134,,La Pedra Blanca,
199,Passa (Passà),66134,,Sant Esteve de les Vinyes,
200,Passa (Passà),66134,,Sant Lluch,
201,Perpignan,66136,commune,Perpignan,commune
202,Perpignan (Perpinyà),66136,,Bajoles,
203,Perpignan (Perpinyà),66136,,Castell — Rosselló,
204,Perpignan (Perpinyà),66136,,Codines ?,
205,Perpignan (Perpinyà),66136,,Les Comes,
206,Perpignan (Perpinyà),66136,,Les Coves,
207,Perpignan (Perpinyà),66136,,Fontcoberta,
208,Perpignan (Perpinyà),66136,,La Llavanera,
