Vedette Longue (>30chars)
in : DT42-00038 Aigue-Blanche (Ruisseau d').
in : DT42-00041 Aiguille (Plateau de l'),
in : DT42-00045 Aillanture (Ruisseau d'),
in : DT42-00130 Annonaicensis, Annonagicensis
in : DT42-00697 Belle-Rivière (Ruisseau de).
in : DT42-00747 Bérarde (Ruisseau de La).
in : DT42-00854 Bessonnes (Ruisseau des).
in : DT42-01098 Bois-de-la-Chataigneraie,
in : DT42-01099 Bois-de-la-Fleur-de-Lierre.
in : DT42-01148 Bois-des-Croix (Ruisseau du).
in : DT42-01296 Bonnet (Ruisseau de Chez).
in : DT42-01420 Bourbouillon (Ruisseau de).
in : DT42-01526 Brassières (Ruisseau de),
in : DT42-01571 Bretonnière (Ruisseau de La).
in : DT42-01663 Broutillet (Ruisseau de).
in : DT42-01722 Bruyère (Ruisseau de la).
in : DT42-01948 Catonnière (Ruisseau de la).
in : DT42-02033 Chaise, Chaize, Chèze, Chezi.
in : DT42-02125 Chambon-Feugerolles (Le),
in : DT42-02229 Chandonnet (Ruisseau de).
in : DT42-02307 Chantereine (Ruisseau de).
in : DT42-02351 Chapelle Notre-Dame-de-Leytra,
in : DT42-02378 Charavais (Fossé maitral des),
in : DT42-02975 Chiron (Le),
in : DT42-03268 Combe-de-Pierre-Martin (La),
in : DT42-03271 Combe-du-Grand-Val (Ruisseau de la).
in : DT42-03275 Combe-Mortière (Ruisseau de).
in : DT42-03278 Combenoire (Ruisseau de).
in : DT42-03279 Combe-Noire (Ruisseau de).
in : DT42-03302 Combe-Trève (Ruisseau de).
in : DT42-03553 Courbe, Corbière, Courbière.
in : DT42-03555 Courbillon (Ruisseau de).
in : DT42-03673 Creux-de-Piney (Ruisseau du).
in : DT42-03674 Creux-de-Pistrey (Ruisseau du).
in : DT42-03793 Croix-du-Martorey… du Marturet.
in : DT42-03907 Cruzille (Ruisseau de la).
in : DT42-04222 Écotteries (Ruisseau des).
in : DT42-04250 Émouloires (Ruisseau des).
in : DT42-04342 Essertines-en-Châtelneuf,
in : DT42-04386 Étang-de-Marcilly-le-Pavé.
in : DT42-04639 Feuillatey (Ruisseau de).
in : DT42-04711 Fol, Folle, Folhes, Folie, Follet.
in : DT42-04771 Fontaine-de-Saint-Austrilège,
in : DT42-04772 Fontaine-de-Saint-Fortunat,
in : DT42-04773 Fontaine-de-Saint-Léonard,
in : DT42-04774 Fontaine-de-Saint-Porcaire,
in : DT42-04781 Fontaine-Sainte-Marguerite,
in : DT42-04850 Fontfroide (Ruisseau de).
in : DT42-04895 Forensis (Pagus, Ager, Comitatus).
in : DT42-05084 Freidière (Ruisseau de la).
in : DT42-05487 Goelis (Sanctus Marcellus de).
in : DT42-05520 Gorges-de-la-Goutte-Fière.
in : DT42-05636 Goutte-d'Ifert (Ruisseau de).
in : DT42-05703 Goutte-Theyssonnière (La),
in : DT42-05779 Grandes-Marguerites (Les),
in : DT42-05782 Grandes-Roches (Ruisseau des).
in : DT42-05829 Grand-Valuy (Ruisseau du).
in : DT42-05859 Grange-de-l'Œuvre (Rue de la),
in : DT42-05884 Grange-Neuve (Ruisseau de la).
in : DT42-05939 Gratte-Jambe (Goutte de),
in : DT42-06076 Gueule-d'Enfer (Ruisseau de).
