Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT42-08046	Mottetières (Aux).	Abbatoir	non		
DT42-00022	Adrets (Ruisseau des).	Adrets	non		
DT42-00045	Aillanture (Ruisseau d'),	Aillant	non		
DT42-05007	Fourches (Le Puy des),	Albigneux	non		
DT42-05140	Furgirolles,	Albigneux	non		
DT42-09920	Puy Dolent,	Allézieux	non		
DT42-03814	Croix-Lugnier,	Allieux	42002	Ailleux	
DT42-04310	Escullieu (Le Peu),	Anézieux	non		
DT42-05240	Garde (La),	Anières et de la Loire	non		
DT42-08973	Peupeuilh,	Apchon	42199	Saint-André-d’Apchon	
DT42-01397	Bouillon,	Arcingues	42007		
DT42-07887	Mont Lune,	Arconsat	63008		
DT42-02007	Chabrespina,	Arcy	non		
DT42-00183	Argental (L'),	Argental	non		
DT42-00219	Asnieres (Ruisseau d').	Asnières	non		
DT42-10134	Reigneux (Goutte de),	Assieux	non		
DT42-07691	Mons,	Aurec	43012		
DT42-11287	Semène (La),	Aurec	43012		
DT42-02088	Chaluz (La),	Aurelle	non		
DT42-12200	Verdier (Le),	Auzon	non		
DT42-11806	Trente-Sous,	Aveize	non		
DT42-00270	Avez,	Avez	non		
DT42-02974	Chirins,	Babigny	42011		
DT42-01901	Carbonne (La),	Bachat-du-Plat	non		
DT42-03619	Crest-Saint-Martin (Le),	Ban	non		
DT42-00375	Banchet (Le),	Banchet	non		
DT42-00416	Bardon (Le),	Bardon	non		
DT42-06997	Maladière (La),	Barre	non		
DT42-08920	Petite-Barre (La),	Barre	non		
DT42-11810	Tres Fos,	Barrolière	non		
DT42-06052	Gua Neuf,	Bassines	non		
DT42-06677	Lestra,	Basson	non		
DT42-04299	Escharavay,	Bâtie	non		
DT42-09096	Pierre Martin,	Bayards	non		
DT42-07999	Morgonicus, ager.	Beaujeu	non		
DT42-00248	Auginet (L'),	Beauvoir	non		
DT42-00628	Beauvoir (Ruisseau de).	Beauvoir	non		
