article,output6.xml,DT72.xml
DT72-01542,commune de Montreuil-le-Chétif.,commune de Montreuit-le-Chétif         .
DT72-01803,commune de Pirmil.,commune de Primil         .
DT72-01846,commune de Gesnes-le-Gandelin.,commune de Gesnes-le-Gaudelin         .
DT72-02028,commune de Montbizot.,commune de Monthizot         .
DT72-02029,commune de Précigné ; ,commune de Qrécigné          ; 
DT72-03978,"commune de Mézières-sous-Lavardin
         ",commune de Mézières-sous-Lavardia                  
DT72-05040,section de Congé-des-Guérets).,Section de Congé-des-Guérets).
DT72-05042,"commune de Coulombiers, ","commune de Coulembiers         , "
DT72-05212,"commune de Saint-Mars-sous-Ballon
         ",commune de Saint-Mars-sous-Bellon                  
DT72-05254,commune de Montfort-le-Rotrou.,commune de Montfort-le-Rotron         .
DT72-05633,Marolles-les-Saint-Calais de ,            Marolles-lès-Saint-Calais          de 
DT72-06127,commune de Théligny.,commune de Théligné         .
DT72-06166,commune de Chemiré-en-Charnie.,commune de Cheminé-en-Charnie         .
DT72-06410,commune de Saint-Vincent-du-Lorouer.,commune de Saint-Vincent-de-Lorouer         .
DT72-07301,commune de Luché-Pringé.,commune de Luché-Prugé         .
DT72-07644,commune de Moulins-le-Carbonnel.,commune de Moulins-le-Carbonne         .
DT72-08566,commune de Rouessé-Vassé.,commune de Bouessé-Vassé         .
DT72-09227,commune d’Auvers-le-Hamon.,commune d'Anvers-le-Hamon         .
DT72-09251,commune de Verneil-le-Chétif.,commune de Verneuil-le-Chétif         .
DT72-09313,commune de Joué-en-Charnie.,commune de Joué-en-Charme         .
DT72-09738,"commune de Verneil-le-Chétif
         ",commune de Verneuil-le-Chétif                  
DT72-10570,"paroisse Saint-Ouen), ","paroisse S.-Ouen), "
DT72-10830,commune de Ruillé-en-Champagne.,commune de Ruillé-en-Champagnel         .
DT72-10848,commune de Pontvallain.,commune de Ponvallain         .
DT72-10971,commune de Saint-Aubin-de-Locquenay.,commune de Saint-Aubin-de-Locqenay         .
DT72-11413,commune de Saint-Mars-d’Outillé.,commune de Saint-Mars-l'Outillé         .
DT72-11965,commune de Rouessé-Vassé.,commune de Roussé-Vassé         .
DT72-12757,commune de Souvigné-sur-Sarthe (2 écarts).,commune de Souvigny-sur-Sarthe          (2 écarts).
DT72-12867,commune de Saint-Paul-le-Gaultier.,commune de Saint-Paul-de-Gaultier         .
DT72-13059,"prieuré de Mareil-en-Champagne
         , ","prieuré de Mareile-en-Champagne         , "
DT72-13694,"
            Pruillé-l’Éguilié
         .",            Ruillé-l'Éguilié         .
DT72-14727,commune de Vibraye.,commune de Vibrayr         .
DT72-15039,commune de Fyé.,commune de Fvé         .
DT72-15599,commune de Vaas.,commune de Vass         .
DT72-17048,section du Moulin-à-Vent).,Section du Moulin-à-Vent).
DT72-18546,commune de la Chapelle-Saint-Rémy.,commune de la Chapelle-Laint-Rémy         .
DT72-18560,commune de Savigné-l’Évêque.,commune de Sévigné-l'Évêque         .
DT72-19523,commune de Saint-Mars-d’Outillé.,commune de Sains-Mars-d'Outillé         .
DT72-21150,"paroisse Saint-Vincent), ","paroisse S.-Vincent), "
DT72-21358,"communes de Château-du-Loir, de Flée (Quincampoix) et de Luceau.","communes de Chateau-du-Loir, de Flée (Quincampoix) et de Luceau."
DT72-22244,"commune de la Fontaine-Saint-Martin, ","commune de la Fontaine-Saint-Mar-Martin         , "
DT72-22309,commune de Saint-Mars-de-Locquenay.,commune de Saint-Mars-le-Locquenay         .
DT72-22687,"châtellenie de Coulans, ","châtellerie de Coulans, "
DT72-23093,commune de Pruillé-l’Éguillé.,commune de Preuillé-l'Éguillé         .
DT72-23747,"commune de Pirmil, ","commune de Primil         , "
DT72-25092,"commune de Mareil-sur-Loir 
         ",commune de Mareil-sur-Loire                   
DT72-25818,commune de Soulitré.,commune de Soulibré         .
DT72-25868,commune de Pirmil.,commune de Primil         .
DT72-26111,"Chapelle-d’Aligné 
         ",Chapelle-d'Aliné          
DT72-26660,commune de Saint-Ouen-de-Mimbré.,commune de Seint-Ouen-de-Mimbré         .
DT72-27327,"Yvré-le-Polin 
         ",Yvré-le-Pôlin          
DT72-27833,commune de Pruillé-l’Éguillé.,commune de Preuillé-l'Éguillé         .
DT72-28092,canton de Montfort-le-Rotrou.,canton de Montfort-de-Rotrou.
DT72-28419,Laigne-en-Belin et ,            Laigné-en-Belin          et 
DT72-28819,chemin de Degré).,Chemin de Degré).
DT72-30169,"communes de Villaines-la-Carelle, Louzes et la Fresnaye.","communes de Villaines-la-Carelles, Louzes et la Fresnaye."
DT72-30173,commune de Saint-Biez-en-Belin.,commune de Saint-Briez-en-Belin         .
DT72-30532,"Souvigne-sur-Même 
         ",Souvigné-sur-Même          
DT72-31608,commune de Verneil-le-Chétif.,commune de Verneuil-le-Chétif         .
DT72-31770,commune de Sarcé.,commune de Sacré         .
DT72-32046,commune de Saint-Paul-le-Gaultier.,commune de Saint-Paul-le-Gautier         .
DT72-32229,commune de Clermont-Créans (Créans).,commune de Clermont-Cléans          (Créans).
