article,output6.xml,DT72.xml
DT72-33295,commune de Montreuil-le-Chétif.,commune de Montreuil-le-Chétil         .
DT72-33354,"Saint-Mars-d'Outille, ","Saint-Mars-d'Outillé, "
DT72-33384,commune de Saint-Christophe-en-Champagne.,commune de Saint-Christophe-ne-Champagne         .
DT72-34305,commune de Beillé.,commune de Baillé         .
DT72-34876,Champagne et ,Champagné et 
DT72-35847,Parigné-le-Polin.,            Parigné-le-Pôlin         .
DT72-36013,"commune de Pontvallain 
         ",commune de Pontvalain                   
DT72-36485,commune de Saint-Jean-de-la-Motte.,commune de Saint-Jean-de-La-Motte         .
DT72-37990,Yvré-le-Polin.,Yvré-le-Pôlin.
DT72-38107,commune de Chérancé.,commune de Chréancé         .
DT72-38885,commune de Saint-Gervais-en-Belin.,commune de Saint-Gervais-en-Belins         .
DT72-39988,"commune de Coulongé, ","commune de Coulangé         , "
DT72-40449,commune de Verneil-le-Chétif.,commune de Verneuil-le-Chétif         .
DT72-40559,"Téloche, ","Teloché, "
DT72-40562,commune de Saint-Mars-d’Outillé.,commune de Saint-Mars-l'Outillé         .
DT72-40881,commune d’Aulaines.,commune d'Aubaines         .
DT72-41266,commune de Duneau.,commune de Duneeu         .
DT72-42076,commune de Beaumont-Pied-de-Bœuf.,commune de Beaumont-Pied-de-Bœu         .
DT72-43178,"commune de Domfront, ","commune de Domfron         , "
DT72-44234,"commune du Petit-Oisseau, ","commune du Petit-Oiseau         , "
DT72-45565,domaine de Saint-Thorin au ,domaine de S. Thorin au 
DT72-45653,commune de Solesmes.,commune de Solesnes         .
DT72-45728,commune de Chassillé.,commune de Chassilé         .
DT72-46801,Beaumont-Pied-de-Boeuf (Mayenne) et ,Beaumont-Pied-de-Bœuf (Mayenne) et 
DT72-48270,"commune de Saint-Rigomer-des-Bois 
         ",commune de Saint-Rigomes-des-Bois                   
