Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire	
DT10-01203	Étang (L'),	Loge-Pont-Belin	10201	La Loge-Pomblin		
DT10-01204	Étang Crevé (L'),	Chauffour	10092			
DT10-01214	Etang-le-Beau (L'),	Herbigny	10344			
DT10-01217	Etang Neuf (L'),	Chauffour	10092			
DT10-01222	Étoile (L'),	Chapelle-Godefroy	10334			
DT10-01233	Fautrey,	Saint-Flavy	10339			
DT10-01234	Faux (Bois de),	Jully	10181			
DT10-01244	Fays,	Fay-Chapelle	10147			
DT10-01247	Fées (Fontaine aux),	Sivrey	non			
DT10-01252	Ferme du Château (La),	Chauffour	10092			
DT10-01269	Ferrones (Les),	Dierrey	10124			
DT10-01306	Fontaine aux Moines (La),	Dosches	10129	Doches		
DT10-01308	Fontaine-Chapelet (La),	Brienne	non			
DT10-01331	Foolz (Plaine de),	Jully	10181			
DT10-01343	Forêt-Beauregard (La),	Ervy	10140			
DT10-01353	Forges du Temple-lez-Vendeuvre (Les),	Vendeuvre	10401			
DT10-01369	Fosse-Marceline (La),	Jessains	10178			
DT10-01370	Fosse-Ronde (La),	Engentes	10137			
DT10-01399	Fresnoy,	Montpothier	10254			
DT10-01417	Gantier,	Grève	non			
DT10-01419	Garenne (La),	Jully	10181			
DT10-01443	Giberie (La),	Petit-Mesnil	10286		Commune de Petit-Mesnil non reconnue dans le DT	
DT10-01457	Gouffres,	Vendeuvre	10401			
DT10-01465	Grand'Cour (La),	Bailly	10026			
DT10-01500	Gravière (La),	Pont	10298			
DT10-01511	Grignon (Moulin de),	Marcilly	10223			
DT10-01512	Gril (Le),	Jully	10181			
DT10-01517	Grosse-Maison (La),	Racine	10312			
DT10-01526	Guéraude,	Ervy	10140			
DT10-01528	Gueudot (Le),	Vendeuvre	10401			
DT10-01545	Haut-Chêne (Le),	Fresnois	10162			
DT10-01553	Hautes-Hayes (Les),	Villiers-le-Brûlé	non			
DT10-01573	Heurtebise,	Montpothier	10254			
DT10-01596	Hyot-Millot,	Chauffour	10092			
DT10-01599	Île-du-Hameau (L'),	Marigny	10224			
DT10-01601	Isle (Bois de l'),	Perrigny-la-Rose	10284			
DT10-01645	Labbévaux,	Saulcy	10366		Commune de Saulcy non reconnue dans le DT	
DT10-01669	Laps (Le),	Davrey	10122		Commune de Davrey non reconnue dans le DT	
DT10-01680	Lavandière,	Dosches	10129	Doches		
DT10-01684	Lendilly,	Menois	10329			
DT10-01706	Lingey,	Avirey	10022			
DT10-01711	Lisières du Temple (Les),	Vendeuvre	10401			
DT10-01712	Livon (Le),	Marcilly	10223			
DT10-01714	des Nizoires,	Vendeuvre	10401			
DT10-01716	Loge (La),	Chauffour	10092			
DT10-01718	Loge-aux-Bourgeois (La),	Dosches	10129	Doches		
DT10-01720	Loge-aux-Convers (La),	Vendeuvre	10401			
DT10-01730	Loges (Étang des),	Chauffour	10092			
DT10-01757	Lussin (Bois de),	Trancault	10383			
