Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT18-02490,"Bourg-Canteau (Le),",faubourg,"
Chapelle-d’Angillon
",18047,"
faubourg de la 
Chapelle-d’Angillon
"
DT18-03210,"Canivas,",village,"
Charenton
",non,"
village, dont le territoire, situé dans la vicaria de 
Charenton
, comprenait une île du Sagonin"
DT18-00060,"Airin (L’),",rivière,"
Étang-Neuf
",non,"
rivière, affluent de l’Yévrette ; prend sa source à l’
Étang-Neuf
, commune de Tendron, et se jette dans l’Yévrette à Savigny"
DT18-03100,"Buteau-Jaune (Le),",îlot,"
Loire
",non,"
îlot de la 
Loire
, commune de Saint-Satur"
DT18-02333,"la Boule-Vive,",ruisseau,"
Pierrefitte
",41176,"
ruisseau, affluent de la Grande-Sauldre, dans laquelle il se jette à 
Pierrefitte
 (Loir-et-Cher), après avoir arrosé dans le département du Cher les communes de Sainte-Montaine et de Brinon-sur-Sauldre"
DT18-06346,"Entre-les-deux-Villes,",ancien faubourg,"
Saint-Amand-Mont-Rond
",18197,"
ancien faubourg de 
Saint-Amand-Mont-Rond
"
DT18-13038,"Queugne (La),",ruisseau,"
Viplaix
",3317,"
ruisseau, affluent du Cher, qui prend sa source à 
Viplaix
 (Allier) et arrose dans le département du Cher les communes d’Épineuil-le-Fleuriel et de Saint-Vitte"
DT18-13980,"Saint-Jean-la-Prehée,",ancienne chapelle,"baronnie de Châteauneuf
",non,"
ancienne chapelle de la baronnie de Châteauneuf
"
DT18-03050,"Buisson-Roussillon (Le),",ancien fief,"baronnie de Montfaucon
",non,"
ancien fief relevant de la baronnie de Montfaucon
"
DT18-04040,"Château-Colin (Le),",ancien fief,"baronnie de Montfaucon
",non,"
ancien fief de la baronnie de Montfaucon
"
DT18-06200,"Douges,",ancien fief,"baronnie de Montfaucon
",non,"
ancien fief de la baronnie de Montfaucon
"
DT18-07159,"Forêt-aux-Filles (La),",ancien fief,"baronnie de Montfaucon
",non,"
ancien fief de la baronnie de Montfaucon
"
DT18-08745,"Haut-Brisson,",ancienne forêt,"châtellenie de Châteaumeillant
",non,"
ancienne forêt de la châtellenie de Châteaumeillant
"
DT18-12987,"Quartet (Le),",ancien fief,"châtellenie de Châteaumeillant
",non,"
ancien fief de la châtellenie de Châteaumeillant
"
DT18-15560,"Ville-Bouffin,",ancienne seigneurie,"châtellenie de Montfaucon
",non,"
ancienne seigneurie de la châtellenie de Montfaucon
"
DT18-06731,"Filerie (La),",ancien domaine,châtellenie du Fief-Pot,non,"
ancien domaine de la châtellenie du Fief-Pot, paroisse de Menetou-Salon"
DT18-06822,"Foliot (Le Petit-),",ancien fief,comté de Sancerre,non,"
ancien fief du comté de Sancerre"
DT18-13188,"Ravechat,",domaine et moulin,"cure de Colombier
",18069,"
domaine et moulin, cure de Colombier
"
DT18-00241,"Arnon (L’),",rivière,département de l’Indre,non,"
rivière, affluent du Cher, prend sa source dans la commune de Saint-Marien (Creuse), entre dans le département du Cher par la commune de Sidiailles, baigne Culan, Ardenais, Lignieres, entre dans le département de l’Indre pour rentrer ensuite à Saint-Ambroix dans celui du Cher, et termine son cours dans la commune de Saint-Hilaire-de-Court"
DT18-14655,"Théol (La),",rivière,département de l’Indre,non,"
rivière qui se jette à Lazenay dans l’Arnon après avoir coulé dans le département de l’Indre"
DT18-00087,"Allier (L’),",rivière,département de la Nièvre,non,"
rivière, affluent de la Loire, qui prend sa source dans la forêt de Mercoire (Lozère) et arrose dans le département du Cher les communes de Mornay, Neuvy-le-Barrois, Apremont et Cuffy, qu’il sépare des communes limitrophes du département de la Nièvre"
DT18-01426,"Beuvron (Le),",rivière,département de Loir-et-Cher,non,"
rivière, affluent de la Loire, qui prend sa source dans la commune d’Argent-sur-Sauldre, entre ensuite dans le département du Loiret, puis sert de limite aux communes de Brinon-sur-Sauldre (Cher) et de Chaon (Loir-et-Cher) et coule ensuite dans le département de Loir-et-Cher"
DT18-00087,"Allier (L’),",rivière,département du Cher,non,"
rivière, affluent de la Loire, qui prend sa source dans la forêt de Mercoire (Lozère) et arrose dans le département du Cher les communes de Mornay, Neuvy-le-Barrois, Apremont et Cuffy, qu’il sépare des communes limitrophes du département de la Nièvre"
DT18-00241,"Arnon (L’),",rivière,département du Cher,non,"
rivière, affluent du Cher, prend sa source dans la commune de Saint-Marien (Creuse), entre dans le département du Cher par la commune de Sidiailles, baigne Culan, Ardenais, Lignieres, entre dans le département de l’Indre pour rentrer ensuite à Saint-Ambroix dans celui du Cher, et termine son cours dans la commune de Saint-Hilaire-de-Court"
DT18-00399,"Auron (L’),",rivière,département du Cher,non,"
rivière, affluent de l’Yèvre, qui prend sa source dans la commune de Cerilly (Allier), entre dans le département du Cher par la commune de Bessais-le-Fromental et se jette dans l’Yèvre sur la commune de Bourges"
DT18-03200,"Canal du Berry (Le),",canal,département du Cher,non,"
canal dont la principale branche part du canal latéral à la Loire dans la commune de Marseilles-lès-Aubigny, traverse le département du Cher en passant par Saint-Amand-Mont-Rond et le quitte par la commune de Thénioux ; cette branche emprunte les vallées de l’Aubois, de l’Auron et du Cher"
DT18-03201,"Canal latéral à la Loire (Le),",canal,département du Cher,non,"
canal qui suit la rive gauche de la Loire ; il entre dans le département du Cher par la commune de Cuffy et en sort par celle de Belleville"
DT18-04522,"Cher (Le),",rivière,département du Cher,non,"
rivière, qui entre dans le département du Cher par la commune d’Épineuil-le-Fleuriel et en sort par celle de Thenioux"
DT18-09627,"Loire (La),",fleuve,département du Cher,non,"
fleuve qui sépare le département du Cher depuis la commune de Cuffy jusqu’à celle de Belleville"
DT18-10361,"Marmande (La),",rivière,département du Cher,non,"
rivière qui entre dans le département du Cher à Charenton-sur-Cher et se jette dans le Cher à Orval"
DT18-12968,"Puy-Bouillard (Le Ruisseau de),",ruisseau,département du Cher,non,"
ruisseau qui entre dans le département du Cher par la commune de Saint-Vitte et se jette à Epineuil-le-Fleuriel dans la Queugne"
DT18-13038,"Queugne (La),",ruisseau,département du Cher,non,"
ruisseau, affluent du Cher, qui prend sa source à 
Viplaix
 (Allier) et arrose dans le département du Cher les communes d’Épineuil-le-Fleuriel et de Saint-Vitte"
DT18-14218,"Sauldre (La Grande-),",rivière,département du Cher,non,"
rivière, affluent du Cher, qui prend sa source à Humbligny et quitte le département du Cher après avoir traversé la commune de Brinon-sur-Sauldre"
DT18-14219,"Sauldre (La Petite-),",rivière,département du Cher,non,"
rivière, affluent de la Grande Sauldre, qui prend sa source à Parassy et quitte le département du Cher après avoir traversé la commune de Ménétréol-sur-Sauldre"
DT18-15246,"Venelle (La),",rivière,département du Cher,non,"
rivière, affluent de la Loire, qui a sa source dans la commune d’Assigny et quitte le département du Cher par la commune de Santranges"
DT18-01426,"Beuvron (Le),",rivière,département du Loiret,non,"
rivière, affluent de la Loire, qui prend sa source dans la commune d’Argent-sur-Sauldre, entre ensuite dans le département du Loiret, puis sert de limite aux communes de Brinon-sur-Sauldre (Cher) et de Chaon (Loir-et-Cher) et coule ensuite dans le département de Loir-et-Cher"
DT18-00200,"Arcueil (Ruisseau d’),",,départements du Cher et de l’Allier,non,"affluent de l’Aubois, qui prend sa source dans la commune de Lurcy (Allier) et parcourt la commune de Sancoins après avoir séparé sur une certaine étendue les départements du Cher et de l’Allier"
