Article,Vedette,type vedette,Candidat,INSEE,Definition,Correction,Commentaire
DT80-04741,"Seigneurville,",fief,"
            Mesnil-Trois-Fétus
         ",80578,"
         fief sis à 
            Mesnil-Trois-Fétus
         . Hameau détruit.",,
DT80-04755,"Serpinchon,",lieu dit,"
            Mézières-en-Santerre
         ",80545,"
         lieu dit à 
            Mézières-en-Santerre
         .",,
DT80-02153,Girafe,moulin,"
            Mézières-en-Santerre
         ",80545,"
         moulin dép. de 
            Mézières-en-Santerre
         .",,
DT80-03631,"Petit Mézières,",,"
            Mézières-en-Santerre
         ",80545,"dép. de 
            Mézières-en-Santerre
         , 22 habitants. Dén. Ordo.",,
DT80-04375,"S. Bonivillers,",,"
            Mézières-en-Santerre
         ",80545,"dép. de 
            Mézières-en-Santerre
         .",,
DT80-03238,"Mordencamps,",lieu dit,"
            Mezoutre
         ",80808,"
         lieu dit à 
            Mezoutre
         .",,
DT80-00447,"Bersacles,",,"
            Millencourt-en-Ponthieu
         ",80547,"dép. de 
            Millencourt-en-Ponthieu
         .",,
DT80-00821,"Bruquentin,",fief,"
            Milly
         ",80253,"
         fief sis à 
            Milly
         .",,
DT80-00183,"Aubigny-lès-Pierregot,",fief,"
            Molliens-au-Bois
         ",80553,"
         fief sis à 
            Molliens-au-Bois
         .",,
DT80-00489,"Bierval,",fief,"
            Molliens-Vidame
         ",80554,"
         fief sis à 
            Molliens-Vidame
         .",,
DT80-02522,"Houygne,",fief,"
            Molliens-Vidame
         ",80554,"
         fief sis à 
            Molliens-Vidame
         .",,
DT80-01383,"Coutincheul,",fief,"
            Molliens-Vidame
         ",80554,"
         fief sis à 
            Molliens-Vidame
         . — Dom Grenier.",,
DT80-01006,"Caronne,",fief,"
            Molliens-Vidame
         ",80554,"
         fief sis à 
            Molliens-Vidame
         . Dom Grenier.",,
DT80-01147,Chateau,habitation isolée,"
            Molliens-Vidame
         ",80554,"
         habitation isolée dép. de 
            Molliens-Vidame
         .",,
DT80-02596,Landon,rivière,"
            Molliens-Vidame
         ",80554,"
         rivière qui prend sa source à 
            Molliens-Vidame
         , coule du S. au N. par Dreuil, OISSY, RIENCOURT, le MESGE, SOUES et Hangest, jusqu’à la Somme.",,
DT80-02506,"Hôtellerie,",,"
            Molliens-Vidame
         ",80554,"dép. de 
            Molliens-Vidame
         , 36 habitants.",,
DT80-00039,"Aillemont,",,"
            Molliens-Vidame
         ",80554,"dép. de 
            Molliens-Vidame
         .",,
