Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT80-01887	FLUY	Molliens-Vidame	80554		
DT80-01240	CLAIRY-SAULCHOY	Molliens-Vidame	80554		
DT80-00735	BOVELLES	Molliens-Vidame	80554		
DT80-01886	FLOXICOURT	Molliens-Vidame	80554		
DT80-04044	REVELLES	Molliens-Vidame	80554		
DT80-03949	QUESNOY-SUR-AIRAINES	Molliens-Vidame	80554		
DT80-00677	BOUGAINVILLE	Molliens-Vidame	80554		
DT80-04062	RIENCOURT	Molliens-Vidame	80554		
DT80-01514	DRUCAT	Nord	non		
DT80-04104	Rivière de Domart.	Saint-Leger	80706	Saint-Léger	
DT80-01670	ESTREBŒUF	Saint-Valery	80721		
DT80-01067	CAYEUX-SUR-MER	Saint-Valery	80721		
DT80-00826	BRUTELLES	Saint-Valery	80721		
DT80-00553	BOISMONT	Saint-Valery	80721		
DT80-02594	LANCHÈRES	Saint-Valery	80721		
DT80-04371	SAINT BLIMONT	Saint-Valery	80721		
DT80-02030	FRANLEU	Saint-Valery	80721		
DT80-03116	MONS-BOUBERS	Saint-Valery	80721		
DT80-00154	ARREST	Saint-Valery	80721		
DT80-03565	PENDÉ	Saint-Valery	80721		
DT80-04340	SAIGNEVILLE	St-Valery	80721	Saint-Valery	
DT80-04937	Tombes,	Vers	80791		
DT80-02575	Justice	Villeroy (canton d’Oisemont)	80796		! Pb de segmentation
DT80-00888	Cabotière	Vraignes	80813		
