article,output6.xml,DT80.xml
DT80-00900,Cayeux-sur-Mer.,            Cayeux-sur-mer         .
DT80-01585,Chépy.,            Chepy         .
DT80-01639,Ugny-l'Équipée.,            Ugny-l'Equipée         .
DT80-01892,Béhencourt. — Défriché.,            Behencourt         . — Défriché.
DT80-01940,Longpré-les-Corps-Saints.,            Longpré-lès-Corps-Saints         .
DT80-02258,Saint-Quentin-la-Motte-Croix-au-Bailly.,            Saint-Quentin-La-Motte-Croix-au-Bailly         .
DT80-02360,"Hem-les-Doullens, 120 habitants.","            Hem-lès-Doullens         , 120 habitants."
DT80-02703,Buigny-lès-Gamaches.,            Buigny-les-Gamaches         .
DT80-02945,Halloy-lès-Pernois.,            Halloy-les-Pernois         .
DT80-03329,Béhen.,            Behen         .
DT80-03621,"Vers-Hébecourt, 6 habitants.","            Vers-Hébécourt         , 6 habitants."
DT80-03650,Vers-Hébecourt.,            Vers-Hébécourt         .
DT80-03662,Buigny-lès-Gamaches.,            Buigny-les-Gamaches         .
DT80-03761,Tilloy-lès-Conty à la Selle.,            Tilloy-les-Conty          à la Selle.
DT80-03944,Vers-Hébecourt.,            Vers-Hébécourt         .
DT80-03955,Halloy-lès-Pernois.,            Halloy-les-Pernois         .
DT80-04003,Montigny-lès-Jongleurs. Cad.,            Montigny-les-Jongleurs         . Cad.
DT80-04104,près de Saint-Léger.,près de Saint-Leger.
DT80-04171,Dreuil-lès-Molliens. ,            Dreuil-les-Molliens         . 
DT80-04187,entre Quend et Saint-Quentin.,entre Quend et S. Quentin.
DT80-04331,Béhen.,            Behen         .
DT80-04340,"canton de Saint-Valery), 542-601 habitants.","canton de St-Valery), 542-601 habitants."
DT80-04651,Montigny-lès-Jongleurs.,            Montigny-les-Jongleurs         .
DT80-04739,entre Colincamps et Saint-Léger.,entre Colincamps et S. Léger.
DT80-05053,Dreuil-lès-Molliens.,            Dreuil-les-Molliens         .
DT80-05211,Tilloy-lès-Conty.,            Tilloy-les-Conty         .
DT80-05274,Beaucourt-lès-Miraumont.,            Beaucourt-les-Miraumont         .
