,DT_input,DT_output(CF)
place(article),5379,5802
place.label(//vedette/sm),5399,5836
place.label(//sm) > 30,108,296
place.commune_insee_code(//insee),828,831
place.localization_commune_insee_code(//commune/@insee),4288,5791
codes insee non résolu(//commune[@insee='article_not_found']),4288,0
place_comment.content (//commentaire),1222,1219
place_old_label (//forme_ancienne),32732,32760
place_description.content (//definition),5353,5776
place_feature_type.term(//typologie),3030,3461
place sans forme ancienne(//article[not(forme_ancienne)]) – total,1763,2165
place sans forme ancienne(//article[not(forme_ancienne)]) – %,0.3277560884922848,0.37314719062392276
article sans id (//article[not(@id)]),0,0
