article,ProblemeLocalisation ?
DT86-00361,commune de Blanzay.,cne de Blanzay.
DT86-00843,commune de Magné.,cne de Magné.
DT86-00950,commune de Bonneuil-Matours.,cne de Bonneuil-Matours.
DT86-00985,commune de  Montmorillon.,cne de Montmorillon.
DT86-01401,commune de Liglet ;,cne de Liglet ;
DT86-01671,commune de Béruges.,cne de Béruges.
DT86-02353,commune de Mazeuil.,cne de Mazeuil.
DT86-02616,commune de Saint-Jean-de-Sauves.,commune de St-Jean-de-Sauves.
DT86-02926,commune de Leigne.,cne de Leigne.
DT86-03986,commune de Saint-Pierre-d’Exideuil.,commune de St-Pierre-d'Exideuil.
DT86-04600,commune de Bonnes.,cne de Bonnes.
DT86-04694,commune de Vellèche.,cne de Vellèche.
DT86-05082,commune d’Oiré.,cne d'Oiré.
DT86-05289,ville de Saint-Savin.,ville de St-Savin.
DT86-05316,"communes de Saint-Pierre-de-Maillé, la Puye et la Bussière.","communes de St-Pierre-de-Maillé, la Puye et la Bussière."
DT86-05321,commune de Sainte-Radegonde-en-Gâtine.,commune de Ste-Radegonde-en-Gâtine.
DT86-05613,commune de Sanxay.,cne de Sanxay.
DT86-06565,commune de Cloué.,cne de Cloué.
DT86-07251,commune de Saint-Léomer ; ,commune de St-Léomer ; 
DT86-07276,commune de Doussay.,cne de Doussay.
DT86-07299,commune de Saint-Remy-sur-Creuse.,commune de St-Remy-sur-Creuse.
DT86-08039,commune de Thuré.,cne de Thuré.
DT86-08115,commune de Veniers.,cne de Veniers.
DT86-08380,commune de Saix.,cne de Saix.
DT86-08618,commune de Journet.,cne de Journet.
DT86-08771,commune de Château-Garnier.,cne de Château-Garnier.
DT86-08943,commune de Luchapt.,cne de Luchapt.
DT86-09427,commune de Saire.,cne de Saire.
DT86-10146,commune de Roiffé.,cne de Roiffé.
DT86-10154,commune de Vellèche.,cne de Vellèche.
DT86-10532,commune de Saint-Sauvant.,cne de Saint-Sauvant.
DT86-10633,"commune de Saint-Pierre-d’Exideuil, ","commune de St-Pierre-d'Exideuil, "
DT86-11192,commune de Salles-en-Toulon.,cne de Salles-en-Toulon.
DT86-11609,commune de Moussac-sur-Vienne.,cne de Moussac-sur-Vienne.
