article,ProblemeLocalisation ?
DT58-73bis,"commune de Luzy, au pied du Mont Dône ; source de la rivière d'Haleine.","commune de Luxy         , au pied du Mont Dône ; source de            la rivière d'Haleine."
DT58-00300,Châteauneuf-Val-de-Bargis était le chef-lieu ; sa circonscription était à peu près la même que celle de la châtellenie de Châteauneuf.,            Châteauneuf-Val-de-Bargis          était le chef-lieu ; sa circonscription était à peu près la même que celle de la châtellenie de Châteauneuf 
DT58-635bis,commune de Saint-Benin-d’Azy.,commune de Saint-Benin-d'Axy         .
DT58-01443,"communes de Jailly, Saint-Saulge, Saxy-Bourdon, Rouy, Fleury-la-Tour, Crécy-sur-Canne, Saint-Cy, Montigny-sur-Canne, Saint-Gratien-Savigny et Cercy-la-Tour.","communes de Jailly, Saint-Saulge, Saxy-Bourdon, Rouy, Fleury-la-Tour, Crécy-sur-Canne, Saint-Cy, Montigny-sur-Canne, Saint-Gratien, Savigny et Cercy-la-Tour."
DT58-01671,commune de Dommartin.,commune de Dammartin         .
DT58-04304,"commune de Luzy, traverse les ","commune de Luxy         , traverse les "
DT58-06539,commune de Dompierre-sur-Nièvre.,commune de Dampierre-sur-Nièvre         .
DT58-07392,commune de Saint-Saulge.,commune de S            t-Saulge.
DT58-07992,commune de Gimouille.,commune de Gimonille         .
DT58-08076,"communes d’Oudan, la Chapelle-Saint-André, Corvol-l’Orgueilleux, Trucy-l’Orgueilleux, Breugnon et Clamecy et se jette dans le Beuvron au-dessous de Beaugy.","communes d'Oudan, la Chapelle-Saint-André, Corvol-l'Orgueilleux, Trucy-l'Orgueilleux, Brengnon et Clamecy et se jette dans le Beuvron au-dessous de Beaugy."
DT58-09142,canton de Saint-Benin-d’Azy.,canton de Saint Benin-d'Azy.
DT58-09166,"commune de Lucenay-les-Aix, mentionné en ","commune de Lucenay les-Aix         , mentionné en "
