Vedette Longue (>30chars)
out:DT58-00069 Ancien moulin de Fleury-la-Tour,
out:DT58-00123 Ardillon situm supra rippariam de Dinete (Molendinum de),
out:DT58-625bis Biez (Molendina, Pastorale sive Paasquie dou),
out:DT58-929bis Boscheto subter Montem-Onisium (Domus leprosorum de),
out:DT58-929ter Bosco Sancti-Gondulphi (capella de),
out:DT58-01046 Bourg-de-la-Villeneuve-lez-Donzy (Le),
out:DT58-1429bis Caldaquæ in pago Nivernensi (villa cujus vocabulum est),
out:DT58-01680 Champ-derrière-le-Château (Bois du),
out:DT58-01856 Chapelle de Notre-Dame-d’Argenou,
out:DT58-01997 Château de Dompierre-sur-Nièvre (Le),
out:DT58-02093 Chaume-de-la-Garenne-des-Levées (La),
out:DT58-03223 Estang-de-Moulin-de-la-Chapelle (L’),
out:DT58-03227 Estang-du-Moulin-de-Chonay (L’),
out:DT58-03229 Estang-du-Moulin-de-la-Planche (L’),
out:DT58-03231 Estang-Nottin-de-la-Guette (L’),
out:DT58-03252 Étang-de-Charrière (Ruisseau de l’),
out:DT58-03254 Étang-de-Germancy (Ruisseau de l’),
out:DT58-03257 Étang-des-Chouettes (Ruisseau de l’),
out:DT58-03455 Fontaine-aux-Loups (Bois de la),
out:DT58-03457 Fontaine-Barbier (Ruisseau de la),
out:DT58-03465 Fontaine-de-la-Vache (Ruisseau de la),
out:DT58-03467 Fontaine-de-Petot (Ruisseau a la),
out:DT58-03484 Fontaine-Saint-Jean (Ruisseau de la),
out:DT58-03486 Fontaine-Saint-Martin (Ruisseau de la),
out:DT58-03514 Fontis-de-Sancto-Salvio (Ecclesia),
out:DT58-03649 Four-de-Courvol-Saint-Maurice (Le),
out:DT58-03650 Four-de-Courvol-Saint-Vincent (Le),
out:DT58-04016 Grand-Domaine-de-l’Hôpital (Le),
out:DT58-04025 Grande-Fontaine (Ruisseau de la),
out:DT58-04108 Grange-de-Cosay-Saint-Georges (La),
out:DT58-04236 Gué-du-Bois-Chetet (Ruisseau du),
out:DT58-04352 Hôpital (Le grand domaine de l’),
out:DT58-04757 Lespignes (Villa dicta vulgariter),
out:DT58-04909 Aptannacus villa in pago nivernensi,
out:DT58-04925 Louagerie-de-l’Étang-de-Pinet (La),
out:DT58-05045 Maison de la Vallée-Charlon (La),
out:DT58-05645 Moncellum-desuper-Forgias-Cuciaci,
out:DT58-06047 Moulin-à-la-Villeneuve-les-Bouis (Le),
out:DT58-06749 Petit Moulin de Saint-Verain (Le),
out:DT58-07335 Quatre-Vents-de-Chassagne (Les),
out:DT58-07922 Saint-Martin-en-l’Haut-du-Beuvray,
out:DT58-07995 Sancti-Gundulphi (Grangia et Nemus),
out:DT58-08610 Tuilerie vers-le-Val-des-Rosiers (La),
out:DT58-08690 Vallée-de-l’Homme-Mort (Chemin de la),
