Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT58-00267	Banges,	Alluye	58004		
DT58-01102	Boux,	Alluye	58004		
DT58-00578	Bertrix,	Aunay	58017		
DT58-01214	Broin,	Aunay	58017		
DT58-01614	Chamizy,	Aunay	58017		
DT58-01647	Champ-Charmot,	Aunay	58017		
DT58-02192	Chausse,	Aunay	58017		
DT58-02477	Coing,	Aunay	58017		
DT58-02810	Crieure,	Aunay	58017		
DT58-03161	Égreuil,	Aunay	58017		
DT58-03244	Étang (L’),	Aunay	58017		
DT58-03692	Franay,	Aunay	58017		
DT58-04170	Grenouillère (La),	Aunay	58017		
DT58-04485	Huissier (L’),	Aunay	58017		
DT58-04621	Julien,	Aunay	58017		
DT58-04810	la Montagne,	Aunay	58017		
DT58-05314	Martigny,	Aunay	58017		
DT58-06401	Niroux,	Aunay	58017		
DT58-06403	Nissons (Les),	Aunay	58017		
DT58-07852	Saint-Franchy-lez-Aunay,	Aunay	58017		
DT58-08066	Sauvigny,	Aunay	58017		
DT58-08088	Savenay,	Aunay	58017		
DT58-08496	Trait (Le),	Aunay	58017		
DT58-08621	Turigny,	Aunay	58017		
DT58-08707	Vallots (Les),	Aunay	58017		
DT58-09173	Villette,	Aunay	58017		
DT58-00005	Abron (L’),	Avril	58020		
DT58-01270	Bruères-de-Crécy (Les),	Avril	58020		
DT58-01396	Bussy,	Avril	58020		
DT58-02059	Chaume (La),	Avril	58020		
DT58-02322	Chez-Bourg,	Avril	58020		
DT58-02532	Conaille (La),	Avril	58020		
DT58-03336	Ferme-de-Veau (La),	Avril	58020		
DT58-03366	Feuillets (Les),	Avril	58020		
DT58-03368	Feuilloux,	Avril	58020		
DT58-03424	Fond-aux-Vernes (La),	Avril	58020		
DT58-03565	Forge-Neuve,	Avril	58020		
DT58-03794	Garenne (La),	Avril	58020		
DT58-04895	Loire (La),	Avril	58020		
DT58-05441	Merlay,	Avril	58020		
DT58-06321	Mussy,	Avril	58020		
DT58-06922	Planquenay,	Avril	58020		
DT58-06954	Plessis-sur-Loire (Le),	Avril	58020		
DT58-07280	Prôle (La),	Avril	58020		
DT58-07482	Reot,	Avril	58020		
DT58-08614	Tuileries (Les),	Avril	58020		
DT58-09102	Villard,	Avril	58020		
DT58-00502	Bellevue,	Beaumont-la-Ferrière	58027		
DT58-01054	Bourgneuf,	Beaumont-la-Ferrière	58027		
DT58-01428	Caillots (Les),	Beaumont-la-Ferrière	58027		
DT58-01993	Château de Beaumont,	Beaumont-la-Ferrière	58027		
DT58-02400	Choulot,	Beaumont-la-Ferrière	58027		
DT58-02529	Comtes (Les),	Beaumont-la-Ferrière	58027		
DT58-02541	Conin (Bois de),	Beaumont-la-Ferrière	58027		
DT58-02688	Courcier (Bois de),	Beaumont-la-Ferrière	58027		
DT58-03010	Densus,	Beaumont-la-Ferrière	58027		
DT58-03178	En-Sus,	Beaumont-la-Ferrière	58027		
DT58-03559	Forge-de-Beaumont (La),	Beaumont-la-Ferrière	58027		
DT58-03783	Garenne (Bois de la),	Beaumont-la-Ferrière	58027		
DT58-04085	Grands-Coteaux (Bois des),	Beaumont-la-Ferrière	58027		
DT58-04093	Grands-Taillis (Les),	Beaumont-la-Ferrière	58027		
DT58-04162	Grenant,	Beaumont-la-Ferrière	58027		
DT58-04196	Gros-Bois (Bois de),	Beaumont-la-Ferrière	58027		
DT58-04202	Gros-Buissons (Bois des),	Beaumont-la-Ferrière	58027		
DT58-04272	Guiller (Bois),	Beaumont-la-Ferrière	58027		
DT58-04980	Machines (Les),	Beaumont-la-Ferrière	58027		
DT58-05229	Mare (Bois de la),	Beaumont-la-Ferrière	58027		
DT58-05239	Margie,	Beaumont-la-Ferrière	58027		
DT58-05433	Menuiseries (Bois des),	Beaumont-la-Ferrière	58027		
DT58-06566	Paquetterie (La),	Beaumont-la-Ferrière	58027		
DT58-07073	Ponts-de-Beaumont (Les),	Beaumont-la-Ferrière	58027		
DT58-08061	Sauvages,	Beaumont-la-Ferrière	58027		
DT58-08062	Sauvages (Le Petit-),	Beaumont-la-Ferrière	58027		
DT58-08588	Tuilerie (La),	Beaumont-la-Ferrière	58027		
DT58-08815	Vauvergy (Ruisseau de),	Beaumont-la-Ferrière	58027		
DT58-08832	Vaux (Bois de),	Beaumont-la-Ferrière	58027		
DT58-09046	Vigne (La),	Beaumont-la-Ferrière	58027		
DT58-01496	Cave (La),	Beaumont-sur-Sardolle	58028		
DT58-04045	Grand-Hugue,	Beaumont-sur-Sardolle	58028		
DT58-00721	Bois-Château,	Billy-Chevannes	58031		
DT58-00730	Bois-de-Billy,	Billy-Chevannes	58031		
DT58-00856	Bois-Rétif,	Billy-Chevannes	58031		
DT58-01052	Bourghiéraut,	Billy-Chevannes	58031		
DT58-02146	Chaumes-de-Billy (Les),	Billy-Chevannes	58031		
DT58-02288	Chevannes,	Billy-Chevannes	58031		
DT58-02314	Chevrins (Les),	Billy-Chevannes	58031		
DT58-02808	Criens,	Billy-Chevannes	58031		
DT58-03115	Dumphlun,	Billy-Chevannes	58031		
DT58-05689	Mont (Le),	Billy-Chevannes	58031		
DT58-06318	Mussier,	Billy-Chevannes	58031		
DT58-06332	Nanteuil,	Billy-Chevannes	58031		
DT58-06618	Pâtry,	Billy-Chevannes	58031		
DT58-06897	Plaine (La),	Billy-Chevannes	58031		
DT58-07169	Pranté,	Billy-Chevannes	58031		
DT58-07830	Sainte-Catherine,	Billy-Chevannes	58031		
DT58-08121	Semelin-Dessus,	Billy-Chevannes	58031		
DT58-08780	Vaugremeau,	Billy-Chevannes	58031		
DT58-00248	Baie (La),	Poussignol-Blismes	58034		
DT58-01272	Bruit (Le),	Poussignol-Blismes	58034		
DT58-01340	Buchot,	Poussignol-Blismes	58034		
DT58-01345	Buis (Les),	Poussignol-Blismes	58034		
DT58-01398	Bussy,	Poussignol-Blismes	58034		
DT58-01459	Carillon (Le),	Poussignol-Blismes	58034		
DT58-01771	Champrobé,	Poussignol-Blismes	58034		
